nSimulations;Delta_Antithetic;Delta_BS;Relative_Error
1000;0.762452;0.636831;0.197261
2000;0.589739;0.636831;0.0739461
3000;0.675925;0.636831;0.0613887
4000;0.566726;0.636831;0.110083
5000;0.812197;0.636831;0.275374
6000;0.83902;0.636831;0.317492
7000;0.632616;0.636831;0.00661824
8000;0.551752;0.636831;0.133597
9000;0.696714;0.636831;0.094033
10000;0.811837;0.636831;0.274808
11000;0.587992;0.636831;0.0766906
12000;0.675254;0.636831;0.0603353
13000;0.550061;0.636831;0.136252
14000;0.591156;0.636831;0.0717217
15000;0.549997;0.636831;0.136352
16000;0.641155;0.636831;0.0067908
17000;0.498703;0.636831;0.216899
18000;0.658647;0.636831;0.0342578
19000;0.595135;0.636831;0.0654731
20000;0.585246;0.636831;0.0810019
21000;0.676445;0.636831;0.062205
22000;0.645268;0.636831;0.0132491
23000;0.609051;0.636831;0.0436215
24000;0.595648;0.636831;0.0646684
25000;0.620131;0.636831;0.0262223
26000;0.571366;0.636831;0.102797
27000;0.633348;0.636831;0.00546841
28000;0.626042;0.636831;0.0169415
29000;0.611188;0.636831;0.0402662
30000;0.687629;0.636831;0.0797679
31000;0.61522;0.636831;0.0339348
32000;0.635034;0.636831;0.00282141
33000;0.613607;0.636831;0.0364668
34000;0.599808;0.636831;0.0581364
35000;0.565139;0.636831;0.112575
36000;0.684825;0.636831;0.0753642
37000;0.660231;0.636831;0.0367448
38000;0.682059;0.636831;0.0710206
39000;0.581559;0.636831;0.086791
40000;0.652434;0.636831;0.0245009
41000;0.663435;0.636831;0.0417762
42000;0.68265;0.636831;0.0719496
43000;0.565924;0.636831;0.111343
44000;0.639402;0.636831;0.00403697
45000;0.60012;0.636831;0.0576457
46000;0.703407;0.636831;0.104543
47000;0.659371;0.636831;0.0353947
48000;0.567587;0.636831;0.108732
49000;0.693309;0.636831;0.0886865
50000;0.632638;0.636831;0.00658434
51000;0.667404;0.636831;0.0480081
52000;0.65179;0.636831;0.023491
53000;0.625288;0.636831;0.0181245
54000;0.643443;0.636831;0.0103834
55000;0.672058;0.636831;0.0553164
56000;0.645823;0.636831;0.0141211
57000;0.706355;0.636831;0.109173
58000;0.625407;0.636831;0.0179379
59000;0.695002;0.636831;0.0913447
60000;0.65181;0.636831;0.0235219
61000;0.599061;0.636831;0.0593081
62000;0.652083;0.636831;0.0239503
63000;0.623807;0.636831;0.0204511
64000;0.626643;0.636831;0.0159981
65000;0.618382;0.636831;0.028969
66000;0.631422;0.636831;0.00849374
67000;0.641284;0.636831;0.00699347
68000;0.569207;0.636831;0.106187
69000;0.655679;0.636831;0.0295972
70000;0.647872;0.636831;0.0173387
71000;0.63535;0.636831;0.00232461
72000;0.636756;0.636831;0.000117144
73000;0.614584;0.636831;0.0349339
74000;0.652395;0.636831;0.0244401
75000;0.612647;0.636831;0.0379749
76000;0.66021;0.636831;0.0367123
77000;0.653845;0.636831;0.0267166
78000;0.64222;0.636831;0.00846294
79000;0.617478;0.636831;0.0303893
80000;0.621961;0.636831;0.0233487
81000;0.622275;0.636831;0.0228559
82000;0.668072;0.636831;0.0490582
83000;0.578007;0.636831;0.0923697
84000;0.638439;0.636831;0.00252599
85000;0.658682;0.636831;0.0343126
86000;0.681925;0.636831;0.0708098
87000;0.663723;0.636831;0.0422277
88000;0.675223;0.636831;0.0602862
89000;0.641182;0.636831;0.00683312
90000;0.665216;0.636831;0.0445736
91000;0.628467;0.636831;0.013134
92000;0.651611;0.636831;0.0232099
93000;0.67966;0.636831;0.0672535
94000;0.63123;0.636831;0.00879418
95000;0.663931;0.636831;0.0425553
96000;0.655227;0.636831;0.0288878
97000;0.614822;0.636831;0.0345596
98000;0.640931;0.636831;0.0064382
99000;0.621855;0.636831;0.0235165
100000;0.637384;0.636831;0.000868271
101000;0.632186;0.636831;0.00729353
102000;0.637506;0.636831;0.00106
103000;0.611423;0.636831;0.0398976
104000;0.654064;0.636831;0.0270618
105000;0.678583;0.636831;0.0655623
106000;0.678168;0.636831;0.0649108
107000;0.646471;0.636831;0.0151375
108000;0.676925;0.636831;0.0629585
109000;0.607227;0.636831;0.0464856
110000;0.643659;0.636831;0.0107224
111000;0.630867;0.636831;0.00936379
112000;0.644118;0.636831;0.011443
113000;0.636436;0.636831;0.000620436
114000;0.631435;0.636831;0.00847188
115000;0.620223;0.636831;0.026079
116000;0.649512;0.636831;0.0199128
117000;0.61967;0.636831;0.0269477
118000;0.648685;0.636831;0.0186146
119000;0.66194;0.636831;0.0394288
120000;0.659367;0.636831;0.0353878
121000;0.625926;0.636831;0.017123
122000;0.62353;0.636831;0.0208864
123000;0.635918;0.636831;0.00143353
124000;0.607322;0.636831;0.0463364
125000;0.62841;0.636831;0.013222
126000;0.592702;0.636831;0.0692943
127000;0.656939;0.636831;0.0315755
128000;0.647327;0.636831;0.0164818
129000;0.651308;0.636831;0.022734
130000;0.62809;0.636831;0.0137257
131000;0.660928;0.636831;0.0378402
132000;0.623661;0.636831;0.0206802
133000;0.595203;0.636831;0.0653672
134000;0.643342;0.636831;0.0102247
135000;0.638183;0.636831;0.00212351
136000;0.640986;0.636831;0.00652434
137000;0.611711;0.636831;0.0394453
138000;0.609614;0.636831;0.0427371
139000;0.6469;0.636831;0.0158109
140000;0.628813;0.636831;0.0125896
141000;0.637007;0.636831;0.000277571
142000;0.64633;0.636831;0.0149165
143000;0.662488;0.636831;0.0402893
144000;0.64342;0.636831;0.0103475
145000;0.609734;0.636831;0.0425498
146000;0.607976;0.636831;0.0453097
147000;0.618531;0.636831;0.0287355
148000;0.618952;0.636831;0.0280738
149000;0.643268;0.636831;0.0101091
150000;0.615615;0.636831;0.0333148
151000;0.634118;0.636831;0.00426001
152000;0.645074;0.636831;0.0129447
153000;0.611275;0.636831;0.0401297
154000;0.645333;0.636831;0.0133508
155000;0.653684;0.636831;0.0264644
156000;0.599305;0.636831;0.0589251
157000;0.637826;0.636831;0.00156299
158000;0.671448;0.636831;0.0543584
159000;0.65636;0.636831;0.0306668
160000;0.643201;0.636831;0.0100039
161000;0.602644;0.636831;0.0536822
162000;0.633202;0.636831;0.00569861
163000;0.62376;0.636831;0.0205242
164000;0.61899;0.636831;0.0280153
165000;0.628775;0.636831;0.0126501
166000;0.638425;0.636831;0.00250388
167000;0.651822;0.636831;0.0235412
168000;0.677213;0.636831;0.0634112
169000;0.615351;0.636831;0.0337296
170000;0.635917;0.636831;0.00143434
171000;0.61927;0.636831;0.0275753
172000;0.648639;0.636831;0.0185423
173000;0.649571;0.636831;0.0200059
174000;0.633683;0.636831;0.00494273
175000;0.666819;0.636831;0.0470899
176000;0.654155;0.636831;0.0272033
177000;0.634952;0.636831;0.00294988
178000;0.648492;0.636831;0.0183117
179000;0.659738;0.636831;0.0359714
180000;0.64298;0.636831;0.00965618
181000;0.6467;0.636831;0.0154977
182000;0.632065;0.636831;0.00748414
183000;0.640736;0.636831;0.00613315
184000;0.612666;0.636831;0.0379448
185000;0.660506;0.636831;0.0371776
186000;0.648026;0.636831;0.0175797
187000;0.652352;0.636831;0.0243723
188000;0.632988;0.636831;0.0060346
189000;0.642058;0.636831;0.00820882
190000;0.650544;0.636831;0.0215337
191000;0.629259;0.636831;0.0118903
192000;0.637268;0.636831;0.000686732
193000;0.639864;0.636831;0.0047632
194000;0.660039;0.636831;0.0364428
195000;0.631589;0.636831;0.00823075
196000;0.61997;0.636831;0.0264754
197000;0.629241;0.636831;0.0119173
198000;0.601941;0.636831;0.0547865
199000;0.638627;0.636831;0.00282011
200000;0.637098;0.636831;0.000420039
201000;0.634141;0.636831;0.00422279
202000;0.612872;0.636831;0.0376222
203000;0.651653;0.636831;0.0232754
204000;0.617956;0.636831;0.0296385
205000;0.666544;0.636831;0.0466582
206000;0.619507;0.636831;0.0272029
207000;0.657775;0.636831;0.0328884
208000;0.641449;0.636831;0.00725141
209000;0.636095;0.636831;0.0011559
210000;0.597291;0.636831;0.0620885
211000;0.627299;0.636831;0.0149677
212000;0.648906;0.636831;0.0189619
213000;0.642807;0.636831;0.00938486
214000;0.655403;0.636831;0.0291642
215000;0.652049;0.636831;0.0238964
216000;0.630934;0.636831;0.00925882
217000;0.648645;0.636831;0.0185522
218000;0.651398;0.636831;0.022875
219000;0.610758;0.636831;0.0409411
220000;0.629263;0.636831;0.0118829
221000;0.618819;0.636831;0.0282825
222000;0.626121;0.636831;0.0168167
223000;0.604377;0.636831;0.0509614
224000;0.62459;0.636831;0.019221
225000;0.648415;0.636831;0.0181899
226000;0.637786;0.636831;0.00150087
227000;0.626475;0.636831;0.0162611
228000;0.644247;0.636831;0.0116453
229000;0.589939;0.636831;0.0736336
230000;0.613372;0.636831;0.0368358
231000;0.662077;0.636831;0.0396436
232000;0.618768;0.636831;0.0283634
233000;0.625696;0.636831;0.0174845
234000;0.64812;0.636831;0.017728
235000;0.67793;0.636831;0.0645375
236000;0.615084;0.636831;0.0341481
237000;0.644063;0.636831;0.0113573
238000;0.621269;0.636831;0.0244365
239000;0.624896;0.636831;0.0187408
240000;0.638827;0.636831;0.00313419
241000;0.627414;0.636831;0.0147875
242000;0.625711;0.636831;0.0174612
243000;0.631199;0.636831;0.00884282
244000;0.63415;0.636831;0.00420933
245000;0.637013;0.636831;0.000285844
246000;0.630314;0.636831;0.0102328
247000;0.629064;0.636831;0.012196
248000;0.621056;0.636831;0.0247713
249000;0.621838;0.636831;0.0235431
250000;0.645731;0.636831;0.0139755
251000;0.638144;0.636831;0.00206173
252000;0.617266;0.636831;0.0307225
253000;0.629682;0.636831;0.0112258
254000;0.633958;0.636831;0.00451028
255000;0.643813;0.636831;0.0109645
256000;0.651653;0.636831;0.0232747
