nSimulations;Delta_MC;Delta_BS;Relative_Error
1000;0.401088;0.636831;0.370182
2000;0.611117;0.636831;0.040377
3000;0.390624;0.636831;0.386612
4000;0.655823;0.636831;0.0298229
5000;0.800836;0.636831;0.257534
6000;0.746848;0.636831;0.172758
7000;0.708541;0.636831;0.112605
8000;0.635467;0.636831;0.00214106
9000;0.496956;0.636831;0.219642
10000;0.786057;0.636831;0.234327
11000;0.531338;0.636831;0.165653
12000;0.617436;0.636831;0.0304544
13000;0.446252;0.636831;0.299261
14000;0.56476;0.636831;0.113171
15000;0.604604;0.636831;0.0506052
16000;0.557488;0.636831;0.12459
17000;0.599578;0.636831;0.0584965
18000;0.616069;0.636831;0.0326021
19000;0.667987;0.636831;0.0489248
20000;0.612394;0.636831;0.038372
21000;0.633671;0.636831;0.00496153
22000;0.64379;0.636831;0.0109279
23000;0.629617;0.636831;0.011328
24000;0.56729;0.636831;0.109198
25000;0.579156;0.636831;0.0905659
26000;0.623642;0.636831;0.0207093
27000;0.604304;0.636831;0.0510754
28000;0.638742;0.636831;0.00300158
29000;0.580554;0.636831;0.0883692
30000;0.643029;0.636831;0.00973234
31000;0.476742;0.636831;0.251383
32000;0.555581;0.636831;0.127584
33000;0.561887;0.636831;0.117683
34000;0.631667;0.636831;0.00810893
35000;0.645883;0.636831;0.0142153
36000;0.717712;0.636831;0.127006
37000;0.650985;0.636831;0.022227
38000;0.718343;0.636831;0.127997
39000;0.701154;0.636831;0.101006
40000;0.592264;0.636831;0.0699815
41000;0.68638;0.636831;0.0778057
42000;0.608215;0.636831;0.0449343
43000;0.609035;0.636831;0.0436463
44000;0.757981;0.636831;0.190239
45000;0.672582;0.636831;0.056139
46000;0.58615;0.636831;0.0795824
47000;0.607483;0.636831;0.0460833
48000;0.635886;0.636831;0.00148282
49000;0.603899;0.636831;0.0517117
50000;0.606003;0.636831;0.0484077
51000;0.662766;0.636831;0.0407254
52000;0.667944;0.636831;0.0488568
53000;0.62876;0.636831;0.0126737
54000;0.685327;0.636831;0.0761529
55000;0.654624;0.636831;0.0279406
56000;0.624412;0.636831;0.0195002
57000;0.613572;0.636831;0.0365223
58000;0.624698;0.636831;0.0190509
59000;0.596604;0.636831;0.0631663
60000;0.660072;0.636831;0.036495
61000;0.712631;0.636831;0.119028
62000;0.679977;0.636831;0.0677521
63000;0.642154;0.636831;0.00835855
64000;0.606366;0.636831;0.0478379
65000;0.634206;0.636831;0.00412099
66000;0.673815;0.636831;0.0580761
67000;0.696881;0.636831;0.0942957
68000;0.646414;0.636831;0.0150486
69000;0.686619;0.636831;0.0781821
70000;0.665174;0.636831;0.0445064
71000;0.69467;0.636831;0.0908235
72000;0.606775;0.636831;0.047196
73000;0.660678;0.636831;0.0374467
74000;0.590085;0.636831;0.0734041
75000;0.690243;0.636831;0.0838728
76000;0.650463;0.636831;0.021406
77000;0.614395;0.636831;0.0352302
78000;0.652436;0.636831;0.0245055
79000;0.680329;0.636831;0.0683045
80000;0.60216;0.636831;0.0544417
81000;0.615557;0.636831;0.0334055
82000;0.615725;0.636831;0.0331412
83000;0.652068;0.636831;0.0239275
84000;0.583801;0.636831;0.0832705
85000;0.597025;0.636831;0.0625066
86000;0.61422;0.636831;0.0355044
87000;0.642738;0.636831;0.00927555
88000;0.639325;0.636831;0.00391656
89000;0.62881;0.636831;0.0125951
90000;0.660632;0.636831;0.0373742
91000;0.69862;0.636831;0.0970261
92000;0.685074;0.636831;0.0757556
93000;0.73098;0.636831;0.147841
94000;0.575487;0.636831;0.096326
95000;0.718335;0.636831;0.127984
96000;0.636858;0.636831;4.30724e-05
97000;0.648638;0.636831;0.0185406
98000;0.647483;0.636831;0.0167277
99000;0.564166;0.636831;0.114104
100000;0.628633;0.636831;0.0128733
101000;0.625491;0.636831;0.0178062
102000;0.613579;0.636831;0.036512
103000;0.632353;0.636831;0.00703157
104000;0.636043;0.636831;0.00123669
105000;0.589703;0.636831;0.0740033
106000;0.624986;0.636831;0.0185989
107000;0.629203;0.636831;0.0119783
108000;0.637512;0.636831;0.00106995
109000;0.63112;0.636831;0.0089666
110000;0.628318;0.636831;0.0133674
111000;0.603347;0.636831;0.0525787
112000;0.604912;0.636831;0.0501206
113000;0.624921;0.636831;0.0187022
114000;0.680274;0.636831;0.068218
115000;0.641748;0.636831;0.00772203
116000;0.669797;0.636831;0.0517665
117000;0.593499;0.636831;0.0680426
118000;0.661665;0.636831;0.0389967
119000;0.660591;0.636831;0.03731
120000;0.714977;0.636831;0.122711
121000;0.673619;0.636831;0.057768
122000;0.650497;0.636831;0.0214594
123000;0.615392;0.636831;0.0336642
124000;0.595927;0.636831;0.06423
125000;0.637261;0.636831;0.000676218
126000;0.621232;0.636831;0.0244939
127000;0.589803;0.636831;0.0738459
128000;0.681912;0.636831;0.0707904
129000;0.645089;0.636831;0.0129686
130000;0.677433;0.636831;0.0637567
131000;0.602719;0.636831;0.0535646
132000;0.682382;0.636831;0.0715275
133000;0.634743;0.636831;0.00327799
134000;0.623574;0.636831;0.0208168
135000;0.686758;0.636831;0.078399
136000;0.607968;0.636831;0.0453231
137000;0.626799;0.636831;0.0157523
138000;0.649632;0.636831;0.0201024
