nSimulations;MC_Price;Relative_Error
1000;10.0889;0.0346136
2000;10.3267;0.0118568
3000;10.8221;0.0355515
4000;10.7056;0.0244038
5000;10.7135;0.0251605
6000;10.381;0.00666303
7000;10.4016;0.00468984
8000;10.7993;0.033372
9000;10.4536;0.000291596
10000;10.5757;0.0119712
11000;10.2785;0.0164707
12000;10.5127;0.00594117
13000;10.5343;0.00800997
14000;10.5149;0.00615446
15000;10.4435;0.000679845
16000;10.6877;0.0226904
17000;10.383;0.00646262
18000;10.3925;0.00555523
19000;10.4832;0.00311729
20000;10.4215;0.00278368
21000;10.3655;0.00814538
22000;10.3492;0.00970504
23000;10.4436;0.000665131
24000;10.4361;0.00138605
25000;10.4387;0.00113276
26000;10.3547;0.00917276
27000;10.3866;0.00612337
28000;10.3758;0.00715363
29000;10.3653;0.00816044
30000;10.4814;0.0029473
31000;10.4327;0.00170791
32000;10.326;0.0119225
33000;10.5238;0.00701002
34000;10.5101;0.00569681
35000;10.4938;0.00413946
36000;10.5964;0.0139526
37000;10.3681;0.0078882
38000;10.5431;0.00885016
39000;10.4395;0.00105713
40000;10.3785;0.00689619
41000;10.3552;0.00912469
42000;10.398;0.00502919
43000;10.2917;0.0152002
44000;10.3897;0.00582598
45000;10.3512;0.00951318
46000;10.4352;0.00146886
47000;10.2849;0.0158523
48000;10.3313;0.0114163
49000;10.4154;0.0033627
50000;10.4279;0.00216667
51000;10.462;0.0010948
52000;10.4073;0.00414586
53000;10.4953;0.00428063
54000;10.4208;0.00285021
55000;10.422;0.00273734
56000;10.5679;0.0112236
57000;10.4862;0.00340704
58000;10.4415;0.000866405
59000;10.3639;0.00829067
60000;10.155;0.0282822
61000;10.465;0.00137766
62000;10.4644;0.00132594
63000;10.361;0.00857517
64000;10.4293;0.00203461
65000;10.4202;0.00290278
66000;10.4427;0.000751174
67000;10.3764;0.00710265
68000;10.4983;0.00456794
69000;10.4614;0.00103539
70000;10.3983;0.00500236
71000;10.4463;0.000410899
72000;10.5269;0.00729914
73000;10.3839;0.00638398
74000;10.5184;0.00648558
75000;10.4309;0.00188131
76000;10.4896;0.00373732
77000;10.3395;0.0106321
78000;10.4585;0.000759933
79000;10.4598;0.000881707
80000;10.4372;0.00128247
81000;10.3168;0.0128056
82000;10.3683;0.00786926
83000;10.4531;0.000238178
84000;10.504;0.00511034
85000;10.4567;0.000588681
86000;10.5498;0.00949176
87000;10.3721;0.00751378
88000;10.4869;0.0034771
89000;10.4866;0.00344722
90000;10.4968;0.00442321
91000;10.5564;0.0101298
92000;10.4535;0.000278834
93000;10.404;0.00445636
94000;10.4637;0.0012511
95000;10.4732;0.00216195
