nSimulations;MC_Price_Control_Variate;Relative_Error
1000;9.9409;0.0487706
2000;9.9409;0.0487706
3000;9.9409;0.0487706
4000;9.9409;0.0487706
5000;9.9409;0.0487706
6000;9.9409;0.0487706
7000;9.9409;0.0487706
8000;9.9409;0.0487706
9000;9.9409;0.0487706
10000;9.9409;0.0487706
11000;9.9409;0.0487706
12000;9.9409;0.0487706
13000;9.9409;0.0487706
14000;9.9409;0.0487706
15000;9.9409;0.0487706
16000;9.9409;0.0487706
17000;9.9409;0.0487706
18000;9.9409;0.0487706
19000;9.9409;0.0487706
20000;9.9409;0.0487706
21000;9.9409;0.0487706
22000;9.9409;0.0487706
23000;9.9409;0.0487706
24000;9.9409;0.0487706
25000;9.9409;0.0487706
26000;9.9409;0.0487706
27000;9.9409;0.0487706
28000;9.9409;0.0487706
29000;9.9409;0.0487706
30000;9.9409;0.0487706
31000;9.9409;0.0487706
32000;9.9409;0.0487706
33000;9.9409;0.0487706
34000;9.9409;0.0487706
35000;9.9409;0.0487706
36000;9.9409;0.0487706
37000;9.9409;0.0487706
38000;9.9409;0.0487706
39000;9.9409;0.0487706
40000;9.9409;0.0487706
41000;9.9409;0.0487706
42000;9.9409;0.0487706
43000;9.9409;0.0487706
44000;9.9409;0.0487706
45000;9.9409;0.0487706
46000;9.9409;0.0487706
47000;9.9409;0.0487706
48000;9.9409;0.0487706
49000;9.9409;0.0487706
50000;9.9409;0.0487706
51000;9.9409;0.0487706
52000;9.9409;0.0487706
53000;9.9409;0.0487706
54000;9.9409;0.0487706
55000;9.9409;0.0487706
56000;9.9409;0.0487706
57000;9.9409;0.0487706
58000;9.9409;0.0487706
59000;9.9409;0.0487706
60000;9.9409;0.0487706
61000;9.9409;0.0487706
62000;9.9409;0.0487706
63000;9.9409;0.0487706
64000;9.9409;0.0487706
65000;9.9409;0.0487706
66000;9.9409;0.0487706
67000;9.9409;0.0487706
68000;9.9409;0.0487706
69000;9.9409;0.0487706
70000;9.9409;0.0487706
71000;9.9409;0.0487706
72000;9.9409;0.0487706
73000;9.9409;0.0487706
74000;9.9409;0.0487706
75000;9.9409;0.0487706
76000;9.9409;0.0487706
77000;9.9409;0.0487706
78000;9.9409;0.0487706
79000;9.9409;0.0487706
80000;9.9409;0.0487706
81000;9.9409;0.0487706
82000;9.9409;0.0487706
83000;9.9409;0.0487706
84000;9.9409;0.0487706
85000;9.9409;0.0487706
86000;9.9409;0.0487706
87000;9.9409;0.0487706
88000;9.9409;0.0487706
89000;9.9409;0.0487706
90000;9.9409;0.0487706
91000;9.9409;0.0487706
92000;9.9409;0.0487706
93000;9.9409;0.0487706
94000;9.9409;0.0487706
95000;9.9409;0.0487706
96000;9.9409;0.0487706
97000;9.9409;0.0487706
98000;9.9409;0.0487706
99000;9.9409;0.0487706
100000;9.9409;0.0487706
101000;9.9409;0.0487706
102000;9.9409;0.0487706
103000;9.9409;0.0487706
104000;9.9409;0.0487706
105000;9.9409;0.0487706
106000;9.9409;0.0487706
107000;9.9409;0.0487706
108000;9.9409;0.0487706
109000;9.9409;0.0487706
110000;9.9409;0.0487706
111000;9.9409;0.0487706
112000;9.9409;0.0487706
113000;9.9409;0.0487706
114000;9.9409;0.0487706
115000;9.9409;0.0487706
116000;9.9409;0.0487706
117000;9.9409;0.0487706
118000;9.9409;0.0487706
119000;9.9409;0.0487706
120000;9.9409;0.0487706
121000;9.9409;0.0487706
122000;9.9409;0.0487706
123000;9.9409;0.0487706
124000;9.9409;0.0487706
125000;9.9409;0.0487706
126000;9.9409;0.0487706
127000;9.9409;0.0487706
128000;9.9409;0.0487706
129000;9.9409;0.0487706
130000;9.9409;0.0487706
131000;9.9409;0.0487706
132000;9.9409;0.0487706
133000;9.9409;0.0487706
134000;9.9409;0.0487706
135000;9.9409;0.0487706
136000;9.9409;0.0487706
137000;9.9409;0.0487706
138000;9.9409;0.0487706
139000;9.9409;0.0487706
140000;9.9409;0.0487706
141000;9.9409;0.0487706
142000;9.9409;0.0487706
143000;9.9409;0.0487706
144000;9.9409;0.0487706
145000;9.9409;0.0487706
146000;9.9409;0.0487706
147000;9.9409;0.0487706
148000;9.9409;0.0487706
149000;9.9409;0.0487706
150000;9.9409;0.0487706
151000;9.9409;0.0487706
152000;9.9409;0.0487706
153000;9.9409;0.0487706
154000;9.9409;0.0487706
155000;9.9409;0.0487706
156000;9.9409;0.0487706
157000;9.9409;0.0487706
158000;9.9409;0.0487706
159000;9.9409;0.0487706
160000;9.9409;0.0487706
161000;9.9409;0.0487706
162000;9.9409;0.0487706
163000;9.9409;0.0487706
164000;9.9409;0.0487706
165000;9.9409;0.0487706
166000;9.9409;0.0487706
167000;9.9409;0.0487706
168000;9.9409;0.0487706
169000;9.9409;0.0487706
170000;9.9409;0.0487706
171000;9.9409;0.0487706
172000;9.9409;0.0487706
173000;9.9409;0.0487706
174000;9.9409;0.0487706
175000;9.9409;0.0487706
176000;9.9409;0.0487706
177000;9.9409;0.0487706
178000;9.9409;0.0487706
179000;9.9409;0.0487706
180000;9.9409;0.0487706
181000;9.9409;0.0487706
182000;9.9409;0.0487706
183000;9.9409;0.0487706
184000;9.9409;0.0487706
185000;9.9409;0.0487706
186000;9.9409;0.0487706
187000;9.9409;0.0487706
188000;9.9409;0.0487706
189000;9.9409;0.0487706
190000;9.9409;0.0487706
191000;9.9409;0.0487706
192000;9.9409;0.0487706
193000;9.9409;0.0487706
194000;9.9409;0.0487706
195000;9.9409;0.0487706
196000;9.9409;0.0487706
197000;9.9409;0.0487706
198000;9.9409;0.0487706
199000;9.9409;0.0487706
200000;9.9409;0.0487706
201000;9.9409;0.0487706
202000;9.9409;0.0487706
203000;9.9409;0.0487706
204000;9.9409;0.0487706
205000;9.9409;0.0487706
206000;9.9409;0.0487706
207000;9.9409;0.0487706
208000;9.9409;0.0487706
209000;9.9409;0.0487706
210000;9.9409;0.0487706
211000;9.9409;0.0487706
212000;9.9409;0.0487706
213000;9.9409;0.0487706
214000;9.9409;0.0487706
215000;9.9409;0.0487706
216000;9.9409;0.0487706
217000;9.9409;0.0487706
218000;9.9409;0.0487706
219000;9.9409;0.0487706
220000;9.9409;0.0487706
221000;9.9409;0.0487706
222000;9.9409;0.0487706
223000;9.9409;0.0487706
224000;9.9409;0.0487706
225000;9.9409;0.0487706
