nSimulations;MC_Price_Antithetic;Relative_Error
1000;10.3917;0.00563461
2000;10.508;0.0054946
3000;10.1814;0.02576
4000;10.243;0.0198633
5000;10.7281;0.0265529
6000;10.3952;0.00530409
7000;10.4977;0.00450372
8000;10.3504;0.00958932
9000;10.4006;0.00478419
10000;10.5187;0.00651675
11000;10.4323;0.00174684
12000;10.4488;0.000167628
13000;10.3318;0.0113689
14000;10.5222;0.00684943
15000;10.3505;0.00957372
16000;10.4847;0.00326681
17000;10.4646;0.00134149
18000;10.3783;0.00691427
19000;10.4762;0.00244955
20000;10.3594;0.00872592
21000;10.5299;0.0075929
22000;10.4925;0.00401277
23000;10.4916;0.0039206
24000;10.4933;0.00409204
25000;10.3675;0.00795102
26000;10.4023;0.00462458
27000;10.4297;0.00199367
28000;10.4411;0.000903606
29000;10.3445;0.0101482
30000;10.3886;0.00593325
31000;10.434;0.00158502
32000;10.469;0.00176085
33000;10.5395;0.00850775
34000;10.3782;0.00692469
35000;10.4287;0.00209518
36000;10.5604;0.0105123
37000;10.3886;0.00593229
38000;10.5109;0.0057671
39000;10.4739;0.00223163
40000;10.4696;0.00182235
41000;10.4629;0.00117436
42000;10.4341;0.0015793
43000;10.462;0.00109364
44000;10.484;0.00319376
45000;10.4043;0.00443328
46000;10.4657;0.00144303
47000;10.4844;0.00323784
48000;10.5312;0.00771752
49000;10.4417;0.000847318
50000;10.4652;0.00140272
51000;10.4591;0.000810226
52000;10.4799;0.00280292
53000;10.5232;0.00694437
54000;10.4333;0.00164965
55000;10.4633;0.00121755
56000;10.4472;0.000322749
57000;10.5276;0.00736715
58000;10.4184;0.00308162
59000;10.458;0.000713775
60000;10.4801;0.00282899
61000;10.5052;0.00523055
62000;10.4498;7.24377e-05
63000;10.4063;0.00424197
64000;10.5127;0.00594219
65000;10.4032;0.00453137
66000;10.5164;0.00629554
67000;10.3859;0.00618838
68000;10.4253;0.00241931
69000;10.4906;0.00382857
70000;10.4322;0.00175924
71000;10.465;0.00138239
72000;10.4024;0.00460779
73000;10.4576;0.000667961
74000;10.4998;0.00470741
75000;10.4329;0.00168805
76000;10.4673;0.0016026
77000;10.4871;0.00349791
78000;10.425;0.0024441
79000;10.4162;0.00328831
80000;10.4614;0.00103324
81000;10.4324;0.00174039
82000;10.4207;0.00285917
83000;10.4282;0.00214325
84000;10.4492;0.000135002
85000;10.3647;0.00821995
86000;10.4399;0.00101897
87000;10.3974;0.00509296
88000;10.4661;0.00148213
89000;10.4628;0.00117246
90000;10.422;0.00273223
91000;10.4055;0.00431185
92000;10.47;0.00186012
93000;10.4624;0.00113464
94000;10.4906;0.00383374
95000;10.4688;0.00174191
96000;10.4836;0.00315777
97000;10.439;0.00110562
98000;10.4205;0.00288027
99000;10.4546;0.000381634
100000;10.3919;0.00561507
101000;10.4706;0.00191225
102000;10.3869;0.00609154
103000;10.4764;0.00246926
104000;10.4356;0.00143304
105000;10.4127;0.00362976
106000;10.4287;0.00209389
107000;10.3918;0.00562091
108000;10.4232;0.00262506
109000;10.4752;0.00235618
110000;10.446;0.000442149
111000;10.4936;0.00411158
112000;10.3957;0.0052476
113000;10.423;0.00264195
114000;10.4519;0.000122317
115000;10.4639;0.00127424
116000;10.4749;0.00232368
117000;10.4456;0.000476583
118000;10.4318;0.00179723
119000;10.4332;0.00165956
120000;10.4854;0.00333399
121000;10.3409;0.0104922
122000;10.4392;0.00109249
123000;10.4578;0.000688491
124000;10.4242;0.00252123
125000;10.4895;0.00371948
126000;10.4351;0.00148128
127000;10.4451;0.000521963
128000;10.4258;0.00236895
129000;10.4519;0.000127751
130000;10.4476;0.000288076
131000;10.3933;0.0054781
132000;10.4288;0.00208474
133000;10.4561;0.000528899
134000;10.4298;0.00199114
135000;10.5074;0.00543326
136000;10.4925;0.00400631
137000;10.47;0.00185707
138000;10.4648;0.00136318
139000;10.4535;0.000275975
140000;10.481;0.0029138
141000;10.4537;0.000299386
142000;10.4282;0.00213988
143000;10.4965;0.00439568
144000;10.4431;0.00071499
145000;10.4552;0.000446364
146000;10.4247;0.00247457
147000;10.4166;0.00324775
148000;10.4305;0.0019183
149000;10.4568;0.000598494
150000;10.4586;0.000766345
151000;10.4456;0.000480063
152000;10.4762;0.00245039
153000;10.4394;0.00107102
154000;10.4862;0.00340437
155000;10.4729;0.00213149
156000;10.4257;0.00238011
157000;10.4357;0.00142863
158000;10.4532;0.000245671
159000;10.4266;0.00229216
160000;10.4091;0.00396981
161000;10.4734;0.00218731
162000;10.4521;0.000140647
163000;10.5008;0.00480499
164000;10.4529;0.000219141
165000;10.4709;0.00194555
166000;10.432;0.001781
167000;10.3492;0.00969866
168000;10.4393;0.00107546
169000;10.4727;0.00211505
170000;10.446;0.00043625
171000;10.442;0.000820214
172000;10.4293;0.00203609
173000;10.4298;0.00198563
174000;10.4876;0.00354551
175000;10.4486;0.000187831
176000;10.4241;0.00253038
177000;10.4638;0.00126544
178000;10.4527;0.000204074
179000;10.501;0.00482015
180000;10.468;0.00166642
181000;10.4532;0.000251335
182000;10.463;0.00118542
183000;10.4502;3.49463e-05
184000;10.4605;0.000946398
185000;10.4126;0.00363176
186000;10.4448;0.000556279
187000;10.4491;0.00014129
188000;10.4471;0.000337545
189000;10.4216;0.00277221
190000;10.4504;2.01111e-05
191000;10.4651;0.00138695
192000;10.4363;0.00136908
193000;10.4148;0.00342759
194000;10.4509;2.88696e-05
195000;10.444;0.000633698
196000;10.4634;0.00122659
197000;10.4465;0.000391447
198000;10.4791;0.00273188
199000;10.4578;0.000694836
200000;10.4499;6.28033e-05
201000;10.4602;0.000919896
202000;10.4241;0.00253131
203000;10.4392;0.00109147
204000;10.5003;0.00475918
205000;10.4121;0.00368619
206000;10.4571;0.000619499
207000;10.4798;0.00279229
208000;10.4366;0.00133446
209000;10.4508;2.24987e-05
210000;10.4398;0.00103328
211000;10.4277;0.00219374
212000;10.4216;0.00277263
213000;10.3886;0.00593405
214000;10.4677;0.0016356
215000;10.493;0.00405399
216000;10.4637;0.00125975
217000;10.4454;0.000499403
218000;10.4392;0.00109115
219000;10.4815;0.00295633
220000;10.4458;0.000459991
221000;10.4478;0.000263639
222000;10.4834;0.00314258
223000;10.4174;0.00317567
224000;10.4614;0.00103508
225000;10.4577;0.000679885
226000;10.4609;0.000991791
227000;10.4353;0.00146307
228000;10.4445;0.00058599
229000;10.4628;0.00116517
230000;10.4574;0.000651699
231000;10.4431;0.000716952
232000;10.4512;6.23904e-05
233000;10.4657;0.0014509
234000;10.4648;0.00136327
235000;10.4545;0.000377643
236000;10.4058;0.00428407
237000;10.4621;0.00110034
238000;10.4757;0.00240183
239000;10.4579;0.000703583
240000;10.4471;0.000336855
241000;10.4262;0.00233347
242000;10.4557;0.000491897
243000;10.4427;0.000753109
244000;10.3972;0.00510344
245000;10.4333;0.00165359
246000;10.4267;0.00228494
247000;10.4421;0.00081101
248000;10.4194;0.00298709
249000;10.4881;0.00359323
250000;10.44;0.00101489
251000;10.4915;0.00391712
252000;10.4609;0.000987385
253000;10.4695;0.0018128
254000;10.4493;0.000119512
255000;10.4358;0.00141784
256000;10.4371;0.00129237
257000;10.4712;0.0019698
258000;10.4351;0.0014857
259000;10.4414;0.000875282
260000;10.4257;0.00237694
261000;10.4546;0.000386762
262000;10.4715;0.00199847
263000;10.4659;0.00146696
264000;10.4435;0.000675653
265000;10.4381;0.00119858
266000;10.4642;0.00129968
267000;10.4503;3.11561e-05
268000;10.4898;0.00374831
269000;10.4556;0.000479749
270000;10.4408;0.000940049
271000;10.4505;7.12875e-06
272000;10.4682;0.00169037
273000;10.4553;0.00044977
274000;10.47;0.00185544
275000;10.4428;0.000744189
276000;10.4277;0.0021899
277000;10.4313;0.00184718
278000;10.4595;0.00085386
279000;10.4437;0.000656655
280000;10.4509;3.27472e-05
281000;10.4494;0.000115993
282000;10.4533;0.000255238
283000;10.4792;0.00273474
284000;10.4442;0.000609519
285000;10.4632;0.00121151
286000;10.4597;0.000876936
287000;10.4675;0.0016201
288000;10.435;0.00149378
289000;10.4459;0.00044405
290000;10.4149;0.00341913
291000;10.4629;0.00118026
292000;10.4665;0.00152353
293000;10.4242;0.00252905
294000;10.4309;0.00188521
295000;10.4548;0.000405432
296000;10.4447;0.000561574
297000;10.4582;0.000731769
298000;10.4413;0.000889003
299000;10.4332;0.00166145
300000;10.4337;0.00161745
301000;10.4362;0.00137326
302000;10.4403;0.000983578
303000;10.412;0.00369193
304000;10.4562;0.000539286
305000;10.4066;0.00420699
306000;10.4765;0.00248038
307000;10.4454;0.000496189
308000;10.4705;0.00190477
309000;10.4375;0.00125465
310000;10.4552;0.000439326
311000;10.4567;0.000584683
312000;10.4588;0.000785691
313000;10.4784;0.00266358
314000;10.4506;2.01379e-06
315000;10.4463;0.000412181
316000;10.4523;0.000164976
317000;10.4378;0.00121919
318000;10.4615;0.00104076
319000;10.4604;0.000943571
320000;10.4217;0.00276248
321000;10.4542;0.000347481
322000;10.4509;2.75808e-05
323000;10.4446;0.00057453
324000;10.4266;0.00229917
325000;10.4624;0.0011276
326000;10.4364;0.00135636
327000;10.4633;0.00121695
328000;10.4644;0.00132143
329000;10.4257;0.00237715
330000;10.4515;8.34627e-05
331000;10.436;0.0013917
332000;10.4715;0.00200139
333000;10.4177;0.00314375
334000;10.4336;0.00162589
335000;10.4615;0.00104373
336000;10.4464;0.000396772
337000;10.4602;0.000921685
338000;10.4515;9.07955e-05
339000;10.4554;0.000460013
340000;10.4377;0.00123308
341000;10.4614;0.00103402
342000;10.4704;0.00190062
343000;10.4515;9.12011e-05
344000;10.4657;0.00145083
345000;10.4663;0.00150554
346000;10.4794;0.0027617
347000;10.4226;0.00268089
348000;10.4463;0.00041243
349000;10.4633;0.00121802
350000;10.4528;0.000213426
351000;10.4388;0.00112999
352000;10.4277;0.00218504
353000;10.4657;0.00144259
354000;10.446;0.000443237
355000;10.4117;0.0037219
356000;10.4478;0.000265239
357000;10.4627;0.00115618
358000;10.439;0.00111239
359000;10.4692;0.00177793
360000;10.4208;0.00285452
361000;10.4724;0.00208662
362000;10.4667;0.00154225
363000;10.4158;0.00333021
364000;10.4514;7.46596e-05
365000;10.44;0.00101725
366000;10.4407;0.000942981
367000;10.4467;0.000374333
368000;10.4526;0.000190872
369000;10.4369;0.00131308
370000;10.4181;0.00311037
371000;10.4583;0.000737645
372000;10.4626;0.00115335
373000;10.4544;0.000364668
374000;10.4664;0.0015131
375000;10.4438;0.000645576
376000;10.4812;0.00293005
377000;10.4505;3.50277e-06
378000;10.4201;0.00291592
379000;10.4352;0.00147515
380000;10.4555;0.00047355
381000;10.4171;0.00320486
382000;10.4685;0.00171366
383000;10.4856;0.00335149
384000;10.4568;0.00059163
385000;10.4274;0.00221473
386000;10.458;0.000710771
387000;10.4764;0.0024719
388000;10.4409;0.000930366
389000;10.4107;0.00381694
390000;10.4556;0.000482868
391000;10.4608;0.000976716
392000;10.4684;0.00170466
393000;10.4631;0.00119397
394000;10.4383;0.00117662
395000;10.4538;0.000305203
396000;10.4668;0.00155047
397000;10.455;0.000419298
398000;10.4416;0.000862676
399000;10.4484;0.000208376
400000;10.4743;0.00227101
401000;10.4501;4.26095e-05
402000;10.4355;0.0014402
403000;10.4486;0.000192492
404000;10.423;0.00263911
405000;10.4672;0.00158994
406000;10.4242;0.00252671
407000;10.4595;0.000849926
408000;10.4229;0.00264441
409000;10.4406;0.000950852
410000;10.472;0.00204547
411000;10.4598;0.000879297
412000;10.4326;0.00172396
413000;10.4525;0.000180705
414000;10.4369;0.00130847
415000;10.4319;0.00179132
416000;10.4595;0.000857906
417000;10.4772;0.00254687
418000;10.4652;0.00139649
419000;10.4368;0.00132051
420000;10.4606;0.000956986
421000;10.4347;0.00151953
422000;10.4806;0.00286922
423000;10.4183;0.00308484
424000;10.4528;0.00020746
425000;10.4537;0.000296959
426000;10.457;0.000612231
427000;10.4196;0.00296473
428000;10.4619;0.00108751
429000;10.4249;0.00245944
430000;10.4287;0.0020956
431000;10.4458;0.000458677
432000;10.4465;0.000391142
433000;10.443;0.000729238
434000;10.4578;0.000689542
435000;10.4759;0.00241838
436000;10.4329;0.00169281
437000;10.4494;0.00011367
438000;10.4306;0.00191287
439000;10.4492;0.000130086
440000;10.4347;0.00152095
441000;10.4633;0.00121238
442000;10.4493;0.000126922
443000;10.4561;0.000526528
444000;10.4671;0.0015764
445000;10.4737;0.00221373
446000;10.4925;0.00401542
447000;10.4359;0.00140809
448000;10.4461;0.000428392
449000;10.4191;0.00301233
450000;10.4511;4.68628e-05
451000;10.4779;0.00261727
452000;10.4513;7.32816e-05
453000;10.4384;0.00116182
454000;10.4628;0.00116504
455000;10.4325;0.0017262
456000;10.4624;0.00113511
457000;10.4577;0.000681746
458000;10.476;0.00242917
459000;10.4601;0.0009105
460000;10.4726;0.00210216
461000;10.4583;0.000737663
462000;10.4668;0.00155407
463000;10.468;0.00166468
464000;10.4654;0.00141582
465000;10.4498;7.90338e-05
466000;10.4891;0.00368233
467000;10.4809;0.00289842
468000;10.4594;0.000845573
469000;10.4436;0.000668637
470000;10.4437;0.000656119
471000;10.4529;0.00021976
472000;10.4467;0.000373091
473000;10.4644;0.00132315
474000;10.4304;0.00193093
475000;10.4657;0.00144907
476000;10.4445;0.00058364
477000;10.4726;0.00210689
478000;10.4511;5.15964e-05
479000;10.449;0.000148394
480000;10.4528;0.000216607
481000;10.4343;0.00155724
482000;10.4547;0.000391457
483000;10.4408;0.000934836
484000;10.4574;0.000651284
485000;10.4371;0.00129113
486000;10.4393;0.00107755
487000;10.4696;0.0018176
488000;10.4637;0.00125571
489000;10.4571;0.000627837
490000;10.4612;0.0010134
491000;10.4389;0.0011196
492000;10.4349;0.00150174
493000;10.4217;0.00276739
494000;10.458;0.000705858
495000;10.4421;0.000811633
496000;10.4394;0.0010686
497000;10.4525;0.00018689
498000;10.4319;0.00178518
499000;10.4632;0.00120838
500000;10.4577;0.000684089
501000;10.4331;0.0016706
502000;10.4688;0.00174092
503000;10.4576;0.00067095
504000;10.4442;0.000613475
505000;10.4573;0.000643991
506000;10.443;0.000729367
507000;10.4539;0.000320738
508000;10.4389;0.00111629
509000;10.4419;0.000827324
510000;10.4556;0.000477351
511000;10.4687;0.00173171
512000;10.4566;0.000579789
513000;10.4326;0.00172251
514000;10.4647;0.00135165
515000;10.4345;0.00153841
516000;10.4615;0.00104917
517000;10.4654;0.00142077
518000;10.4361;0.00138337
519000;10.4425;0.000776675
520000;10.4645;0.00133207
521000;10.4609;0.000984345
522000;10.466;0.00147308
523000;10.4447;0.000558639
524000;10.4366;0.00133966
525000;10.4212;0.00281121
526000;10.4524;0.000175837
527000;10.4753;0.00236509
528000;10.4638;0.00126105
529000;10.4535;0.000281863
530000;10.4445;0.000582764
531000;10.4698;0.00183921
532000;10.4528;0.000212436
533000;10.4604;0.000934939
534000;10.4486;0.000193128
535000;10.4468;0.000359158
536000;10.4549;0.000408897
537000;10.4487;0.000176464
538000;10.4674;0.0016081
539000;10.4631;0.00119799
540000;10.4491;0.000141807
541000;10.4367;0.0013311
542000;10.4283;0.00212933
543000;10.4403;0.000979999
544000;10.4338;0.00161067
545000;10.4406;0.000959049
546000;10.4121;0.00368661
547000;10.4542;0.000342693
548000;10.483;0.00310022
549000;10.4413;0.000891777
550000;10.4508;2.11869e-05
551000;10.4647;0.00135499
552000;10.443;0.000725434
553000;10.4483;0.000217739
554000;10.4585;0.000759559
555000;10.4495;0.00010115
556000;10.4446;0.000568492
557000;10.4512;5.81659e-05
558000;10.446;0.000443286
559000;10.4545;0.000371493
560000;10.432;0.00177543
561000;10.4623;0.00112256
562000;10.4496;8.93739e-05
563000;10.454;0.000330856
564000;10.4566;0.000579814
565000;10.4527;0.000200086
566000;10.4733;0.00217213
567000;10.4496;9.73321e-05
568000;10.4313;0.00184293
569000;10.4298;0.0019859
570000;10.4528;0.000215869
571000;10.4495;0.000108225
572000;10.4409;0.000925835
573000;10.4518;0.000117931
574000;10.448;0.00024611
575000;10.4387;0.00114164
576000;10.4599;0.000887393
577000;10.4398;0.00103378
578000;10.4434;0.000686838
579000;10.4857;0.00335717
580000;10.4685;0.00171237
581000;10.4547;0.000389498
582000;10.4327;0.00171217
583000;10.4536;0.000288972
584000;10.462;0.00109293
585000;10.452;0.000131606
586000;10.4686;0.00171995
587000;10.4586;0.000768223
588000;10.4589;0.000791529
589000;10.438;0.00120827
590000;10.419;0.00301967
591000;10.4463;0.000413026
592000;10.475;0.00234013
593000;10.4652;0.00139946
594000;10.4401;0.00100177
595000;10.4364;0.00135357
596000;10.4771;0.00253711
597000;10.451;3.87891e-05
598000;10.4573;0.000644662
599000;10.452;0.000132031
600000;10.4507;6.82546e-06
601000;10.4528;0.000211129
602000;10.4568;0.000592682
603000;10.4542;0.00034634
604000;10.461;0.000997575
605000;10.481;0.00290771
606000;10.468;0.00166309
607000;10.4681;0.00167211
608000;10.4828;0.00308272
609000;10.4405;0.00096144
610000;10.447;0.000346746
611000;10.4581;0.000716419
612000;10.4254;0.00241029
613000;10.4555;0.000466589
614000;10.458;0.00070716
615000;10.4551;0.000433112
616000;10.4465;0.000393981
617000;10.4436;0.000669088
618000;10.4269;0.00226328
619000;10.4581;0.000721839
620000;10.4592;0.000827909
621000;10.4625;0.00113616
622000;10.4642;0.00129919
623000;10.4507;6.65728e-06
624000;10.433;0.00167937
625000;10.4734;0.0021786
626000;10.4513;7.12677e-05
627000;10.4543;0.000358829
628000;10.4452;0.00051083
629000;10.4711;0.00196363
630000;10.4678;0.00164715
631000;10.4689;0.00175463
632000;10.4386;0.00114988
633000;10.4655;0.00142495
634000;10.4588;0.000783924
635000;10.4719;0.00203713
636000;10.443;0.000730398
637000;10.4486;0.000188535
638000;10.4471;0.000332502
639000;10.4354;0.00145079
640000;10.4359;0.00140608
641000;10.4469;0.000351888
642000;10.4358;0.00141786
643000;10.4654;0.00141759
644000;10.4685;0.00171777
645000;10.462;0.00109642
646000;10.4456;0.000475403
