nSimulations;Delta_Antithetic;Delta_BS;Relative_Error
1000;0.638089;0.636831;0.0019757
2000;0.63803;0.636831;0.00188367
3000;0.63734;0.636831;0.000800072
4000;0.640504;0.636831;0.00576803
5000;0.642972;0.636831;0.00964402
6000;0.635551;0.636831;0.00200948
7000;0.635047;0.636831;0.00280064
8000;0.63362;0.636831;0.00504189
9000;0.636144;0.636831;0.00107888
10000;0.633863;0.636831;0.00466073
11000;0.635659;0.636831;0.00184057
12000;0.636471;0.636831;0.000565066
13000;0.634066;0.636831;0.00434089
14000;0.637608;0.636831;0.00122109
15000;0.639429;0.636831;0.00408009
16000;0.637695;0.636831;0.00135701
17000;0.637807;0.636831;0.00153368
18000;0.636223;0.636831;0.000954221
19000;0.637335;0.636831;0.000792103
20000;0.638442;0.636831;0.00253067
21000;0.636494;0.636831;0.000527981
22000;0.637541;0.636831;0.00111527
23000;0.634281;0.636831;0.00400338
24000;0.636746;0.636831;0.00013353
25000;0.636781;0.636831;7.75957e-05
26000;0.63785;0.636831;0.00160071
27000;0.636869;0.636831;6.01698e-05
28000;0.636065;0.636831;0.00120276
29000;0.635935;0.636831;0.0014072
30000;0.635367;0.636831;0.00229798
31000;0.636928;0.636831;0.000152896
32000;0.636632;0.636831;0.000311824
33000;0.636089;0.636831;0.00116397
34000;0.636326;0.636831;0.000793057
35000;0.636567;0.636831;0.000414258
36000;0.636769;0.636831;9.70661e-05
37000;0.634573;0.636831;0.00354506
38000;0.636901;0.636831;0.000110006
39000;0.636868;0.636831;5.8518e-05
40000;0.638122;0.636831;0.00202765
41000;0.636314;0.636831;0.000811874
42000;0.637045;0.636831;0.000335941
43000;0.635832;0.636831;0.00156884
44000;0.637551;0.636831;0.00113112
45000;0.638111;0.636831;0.00201002
46000;0.635369;0.636831;0.00229546
47000;0.636711;0.636831;0.000188218
48000;0.636738;0.636831;0.000146004
49000;0.635853;0.636831;0.00153506
50000;0.636071;0.636831;0.00119256
51000;0.63641;0.636831;0.000661075
52000;0.635319;0.636831;0.00237293
53000;0.636882;0.636831;8.00061e-05
54000;0.637008;0.636831;0.000279086
55000;0.635636;0.636831;0.00187619
56000;0.636725;0.636831;0.000166212
57000;0.638329;0.636831;0.00235256
58000;0.636323;0.636831;0.000796838
59000;0.636186;0.636831;0.00101179
60000;0.636745;0.636831;0.000135095
61000;0.636264;0.636831;0.000889513
62000;0.637269;0.636831;0.000689094
63000;0.636703;0.636831;0.000200092
64000;0.636458;0.636831;0.000584819
65000;0.636074;0.636831;0.00118817
66000;0.636407;0.636831;0.000665958
67000;0.638293;0.636831;0.00229578
68000;0.636455;0.636831;0.000589153
69000;0.636779;0.636831;8.13563e-05
70000;0.636536;0.636831;0.000463254
71000;0.635986;0.636831;0.00132645
72000;0.635883;0.636831;0.00148768
73000;0.636647;0.636831;0.00028829
74000;0.634824;0.636831;0.00315064
75000;0.637225;0.636831;0.000619411
76000;0.635012;0.636831;0.00285505
77000;0.636797;0.636831;5.2382e-05
78000;0.636654;0.636831;0.000277356
79000;0.637063;0.636831;0.0003643
80000;0.636445;0.636831;0.000605537
81000;0.636576;0.636831;0.000400265
82000;0.637386;0.636831;0.000872808
83000;0.636085;0.636831;0.00117091
84000;0.636933;0.636831;0.000160428
85000;0.636861;0.636831;4.84107e-05
86000;0.636864;0.636831;5.19804e-05
87000;0.636406;0.636831;0.000666206
88000;0.635764;0.636831;0.00167569
89000;0.636465;0.636831;0.000574669
90000;0.637615;0.636831;0.00123239
91000;0.636918;0.636831;0.000137097
92000;0.636754;0.636831;0.000120419
93000;0.63717;0.636831;0.000533438
