nSim;Delta_PW;Delta_PW_Ant;Delta_PW_Ant_CV;RelErr_PW;RelErr_PW_Ant;RelErr_PW_Ant_CV
1000;0.598862;0.596983;5.24842;0.893697;0.894031;0.0683638
3010;0.594125;0.592657;5.2856;0.894538;0.894799;0.0617632
5020;0.589392;0.589545;5.21525;0.895378;0.895351;0.0742507
7030;0.596914;0.593436;5.2238;0.894043;0.89466;0.0727339
9040;0.588486;0.591044;5.23035;0.895539;0.895085;0.0715711
11050;0.583716;0.592196;5.2125;0.896386;0.894881;0.0747399
13060;0.582332;0.592061;5.20661;0.896631;0.894904;0.075785
15070;0.59178;0.589825;5.21722;0.894954;0.895301;0.073902
17080;0.593528;0.590904;5.22565;0.894644;0.89511;0.0724055
19090;0.584249;0.590982;5.22294;0.896291;0.895096;0.0728869
21101;0.593272;0.589731;5.20631;0.894689;0.895318;0.0758376
23111;0.59027;0.590996;5.23578;0.895222;0.895094;0.0706072
25121;0.585606;0.591372;5.22261;0.89605;0.895027;0.0729448
27131;0.586036;0.590073;5.22084;0.895974;0.895257;0.0732593
29141;0.589683;0.591438;5.22181;0.895327;0.895015;0.0730875
31151;0.592033;0.590566;5.22416;0.894909;0.89517;0.0726699
33161;0.585588;0.59002;5.22578;0.896053;0.895267;0.0723824
35171;0.587199;0.589278;5.23118;0.895768;0.895399;0.0714241
37181;0.593487;0.590761;5.22235;0.894651;0.895135;0.0729904
39191;0.588263;0.589981;5.2317;0.895579;0.895274;0.0713305
41202;0.588638;0.58995;5.21594;0.895512;0.895279;0.0741285
43212;0.585049;0.59028;5.22622;0.896149;0.895221;0.0723047
45222;0.590825;0.590402;5.22168;0.895124;0.895199;0.0731097
47232;0.592361;0.588918;5.22537;0.894851;0.895462;0.0724551
49242;0.589024;0.589886;5.22817;0.895443;0.895291;0.0719573
51252;0.590468;0.590545;5.22123;0.895187;0.895173;0.0731904
53262;0.588905;0.591346;5.22261;0.895465;0.895031;0.0729442
55272;0.590339;0.589877;5.21111;0.89521;0.895292;0.0749856
57282;0.591376;0.590184;5.21936;0.895026;0.895238;0.0735215
59292;0.591851;0.590994;5.22463;0.894942;0.895094;0.0725859
61303;0.589787;0.589667;5.21795;0.895308;0.895329;0.0737721
63313;0.590797;0.590214;5.22337;0.895129;0.895232;0.0728105
65323;0.589382;0.589757;5.22332;0.89538;0.895313;0.0728181
67333;0.591039;0.591033;5.22525;0.895086;0.895087;0.072477
69343;0.59065;0.589776;5.21365;0.895155;0.89531;0.0745361
71353;0.593564;0.590238;5.23327;0.894638;0.895228;0.071052
73363;0.59079;0.589355;5.21569;0.89513;0.895385;0.0741739
75373;0.590736;0.59021;5.23384;0.89514;0.895233;0.0709516
77383;0.592256;0.590394;5.22731;0.89487;0.8952;0.0721106
79393;0.58985;0.590426;5.22526;0.895297;0.895195;0.0724747
81404;0.590231;0.590077;5.21745;0.895229;0.895257;0.0738603
83414;0.591598;0.589216;5.22261;0.894987;0.895409;0.0729444
85424;0.591754;0.590024;5.22562;0.894959;0.895266;0.0724109
87434;0.587414;0.589941;5.22876;0.895729;0.895281;0.071854
89444;0.590773;0.590776;5.22256;0.895133;0.895133;0.072953
91454;0.587492;0.589788;5.22219;0.895715;0.895308;0.0730203
93464;0.589534;0.5895;5.22415;0.895353;0.895359;0.072672
95474;0.592692;0.590428;5.21969;0.894792;0.895194;0.0734634
