nSimulations;Delta_MC;Delta_BS;Relative_Error
1000;0.637843;0.636831;0.00158898
2000;0.629084;0.636831;0.0121645
3000;0.638368;0.636831;0.00241417
4000;0.646042;0.636831;0.014465
5000;0.636256;0.636831;0.000903014
6000;0.626673;0.636831;0.0159507
7000;0.634142;0.636831;0.00422181
8000;0.639903;0.636831;0.00482466
9000;0.634462;0.636831;0.0037188
10000;0.647528;0.636831;0.0167983
11000;0.642666;0.636831;0.00916252
12000;0.63052;0.636831;0.00990929
13000;0.63407;0.636831;0.00433484
14000;0.639516;0.636831;0.00421625
15000;0.634753;0.636831;0.00326234
16000;0.64038;0.636831;0.00557358
17000;0.646656;0.636831;0.0154287
18000;0.632557;0.636831;0.00671012
19000;0.640068;0.636831;0.00508365
20000;0.638508;0.636831;0.00263419
21000;0.637593;0.636831;0.00119675
22000;0.638169;0.636831;0.00210221
23000;0.638914;0.636831;0.00327083
24000;0.64209;0.636831;0.00825829
25000;0.629814;0.636831;0.0110182
26000;0.637664;0.636831;0.00130856
27000;0.639779;0.636831;0.00462974
28000;0.638607;0.636831;0.00278973
29000;0.63654;0.636831;0.000456459
30000;0.637766;0.636831;0.00146894
31000;0.634915;0.636831;0.00300869
32000;0.63492;0.636831;0.00299996
33000;0.635256;0.636831;0.0024719
34000;0.638957;0.636831;0.00333863
35000;0.637083;0.636831;0.00039591
36000;0.637363;0.636831;0.000835273
37000;0.640123;0.636831;0.00516946
38000;0.63501;0.636831;0.00285943
39000;0.631007;0.636831;0.00914417
40000;0.635409;0.636831;0.00223229
41000;0.635583;0.636831;0.00195875
42000;0.635784;0.636831;0.00164342
43000;0.635836;0.636831;0.00156124
44000;0.637594;0.636831;0.00119927
45000;0.633403;0.636831;0.00538278
46000;0.63899;0.636831;0.00339082
47000;0.636226;0.636831;0.000950024
48000;0.636409;0.636831;0.00066257
49000;0.637168;0.636831;0.000529133
50000;0.636691;0.636831;0.000219345
51000;0.634073;0.636831;0.00432956
52000;0.634699;0.636831;0.00334738
53000;0.635931;0.636831;0.00141193
54000;0.638076;0.636831;0.00195577
55000;0.635818;0.636831;0.00158947
56000;0.641037;0.636831;0.00660475
57000;0.64143;0.636831;0.0072216
58000;0.629831;0.636831;0.0109906
59000;0.635186;0.636831;0.00258298
60000;0.63461;0.636831;0.00348637
61000;0.634119;0.636831;0.00425752
62000;0.636812;0.636831;2.86962e-05
63000;0.63741;0.636831;0.000909259
64000;0.635854;0.636831;0.00153346
65000;0.640113;0.636831;0.00515378
66000;0.637077;0.636831;0.000387464
67000;0.636084;0.636831;0.0011728
68000;0.636297;0.636831;0.000838297
69000;0.63562;0.636831;0.00190117
70000;0.636785;0.636831;7.10675e-05
71000;0.635921;0.636831;0.00142764
72000;0.635255;0.636831;0.0024739
73000;0.638772;0.636831;0.00304815
74000;0.637291;0.636831;0.000722221
75000;0.637466;0.636831;0.000997239
76000;0.636499;0.636831;0.000520408
77000;0.634224;0.636831;0.00409323
78000;0.63783;0.636831;0.00156999
79000;0.634852;0.636831;0.00310755
80000;0.635328;0.636831;0.0023598
81000;0.637704;0.636831;0.00137199
82000;0.637896;0.636831;0.00167355
83000;0.63675;0.636831;0.000127417
84000;0.637022;0.636831;0.000299865
85000;0.635346;0.636831;0.00233176
86000;0.639339;0.636831;0.00393888
87000;0.639909;0.636831;0.00483427
88000;0.635731;0.636831;0.00172733
89000;0.635958;0.636831;0.00137106
90000;0.633897;0.636831;0.00460611
91000;0.633679;0.636831;0.00494952
92000;0.637946;0.636831;0.00175166
93000;0.63788;0.636831;0.00164774
94000;0.638323;0.636831;0.00234365
95000;0.634979;0.636831;0.00290717
96000;0.635415;0.636831;0.00222332
97000;0.635432;0.636831;0.00219615
98000;0.634853;0.636831;0.00310624
99000;0.635535;0.636831;0.00203394
100000;0.638158;0.636831;0.00208424
101000;0.639362;0.636831;0.00397439
102000;0.635311;0.636831;0.00238644
103000;0.638897;0.636831;0.00324486
104000;0.640904;0.636831;0.00639554
105000;0.639571;0.636831;0.00430296
106000;0.640031;0.636831;0.00502564
107000;0.636997;0.636831;0.000261296
108000;0.640175;0.636831;0.00525202
109000;0.639001;0.636831;0.00340732
110000;0.637098;0.636831;0.000420233
111000;0.637038;0.636831;0.000325678
112000;0.635271;0.636831;0.00244933
113000;0.63692;0.636831;0.000140683
114000;0.633964;0.636831;0.00450202
115000;0.633502;0.636831;0.00522702
116000;0.633738;0.636831;0.00485673
117000;0.641237;0.636831;0.00691983
118000;0.635663;0.636831;0.00183318
119000;0.636588;0.636831;0.000380484
120000;0.637422;0.636831;0.000928936
121000;0.63903;0.636831;0.00345411
122000;0.638173;0.636831;0.00210745
123000;0.63546;0.636831;0.00215285
124000;0.636048;0.636831;0.00122914
125000;0.638827;0.636831;0.00313475
126000;0.636197;0.636831;0.000995488
127000;0.636849;0.636831;2.89518e-05
128000;0.635315;0.636831;0.00238016
129000;0.637144;0.636831;0.00049189
130000;0.635804;0.636831;0.001612
131000;0.636003;0.636831;0.00129984
132000;0.635681;0.636831;0.00180537
133000;0.637044;0.636831;0.000334968
134000;0.636647;0.636831;0.00028842
135000;0.638604;0.636831;0.00278403
136000;0.640987;0.636831;0.0065263
137000;0.632945;0.636831;0.00610102
138000;0.635192;0.636831;0.00257282
139000;0.63746;0.636831;0.00098834
140000;0.635556;0.636831;0.00200182
141000;0.638604;0.636831;0.00278484
142000;0.637032;0.636831;0.000316912
143000;0.637406;0.636831;0.000904124
144000;0.63714;0.636831;0.000485226
145000;0.635873;0.636831;0.00150456
146000;0.637144;0.636831;0.000492436
147000;0.636279;0.636831;0.000865974
148000;0.638203;0.636831;0.00215566
149000;0.638031;0.636831;0.00188445
150000;0.635233;0.636831;0.00250845
151000;0.636862;0.636831;4.86306e-05
152000;0.634249;0.636831;0.00405414
153000;0.636672;0.636831;0.000248567
154000;0.63642;0.636831;0.000644172
155000;0.635865;0.636831;0.0015161
156000;0.635264;0.636831;0.00246043
157000;0.634972;0.636831;0.00291877
158000;0.635787;0.636831;0.00163885
159000;0.638701;0.636831;0.00293731
160000;0.637146;0.636831;0.000494756
161000;0.636143;0.636831;0.00108028
162000;0.636622;0.636831;0.000328288
163000;0.63739;0.636831;0.000877902
164000;0.635301;0.636831;0.00240231
165000;0.634373;0.636831;0.00385955
166000;0.636647;0.636831;0.000289015
167000;0.638718;0.636831;0.00296368
168000;0.637204;0.636831;0.000586919
169000;0.635409;0.636831;0.00223234
170000;0.633953;0.636831;0.00451939
171000;0.638113;0.636831;0.00201314
172000;0.637048;0.636831;0.000341178
173000;0.638619;0.636831;0.00280749
174000;0.638617;0.636831;0.00280526
175000;0.638369;0.636831;0.00241547
176000;0.638233;0.636831;0.00220134
177000;0.636361;0.636831;0.000736803
178000;0.636786;0.636831;6.96917e-05
179000;0.63775;0.636831;0.00144377
180000;0.637851;0.636831;0.00160295
181000;0.63591;0.636831;0.00144587
182000;0.635087;0.636831;0.0027382
183000;0.63841;0.636831;0.0024799
184000;0.636395;0.636831;0.000683995
185000;0.638195;0.636831;0.00214164
186000;0.638066;0.636831;0.00194012
187000;0.636957;0.636831;0.000198949
188000;0.63602;0.636831;0.0012732
189000;0.637896;0.636831;0.00167287
190000;0.634509;0.636831;0.00364615
191000;0.635556;0.636831;0.00200224
192000;0.636927;0.636831;0.000150909
193000;0.636583;0.636831;0.000389056
194000;0.63671;0.636831;0.000189925
195000;0.636272;0.636831;0.000877655
196000;0.637857;0.636831;0.00161114
197000;0.637708;0.636831;0.00137714
198000;0.638088;0.636831;0.00197438
199000;0.634146;0.636831;0.00421547
200000;0.636597;0.636831;0.000366494
201000;0.636744;0.636831;0.000135665
202000;0.635279;0.636831;0.00243607
203000;0.635792;0.636831;0.00163082
204000;0.638495;0.636831;0.00261407
205000;0.637692;0.636831;0.00135229
206000;0.635165;0.636831;0.0026162
207000;0.638379;0.636831;0.00243113
208000;0.636899;0.636831;0.00010808
209000;0.635306;0.636831;0.00239398
210000;0.636588;0.636831;0.000380251
211000;0.639089;0.636831;0.00354654
212000;0.637014;0.636831;0.000287992
213000;0.636902;0.636831;0.000112806
214000;0.635965;0.636831;0.00135909
215000;0.636969;0.636831;0.000216637
216000;0.637427;0.636831;0.000936229
217000;0.634115;0.636831;0.00426475
218000;0.636582;0.636831;0.000390773
219000;0.635668;0.636831;0.00182557
220000;0.635921;0.636831;0.00142892
221000;0.637948;0.636831;0.00175389
222000;0.637269;0.636831;0.000688268
223000;0.636818;0.636831;2.00382e-05
224000;0.636176;0.636831;0.00102859
225000;0.636091;0.636831;0.00116215
226000;0.636813;0.636831;2.80438e-05
227000;0.637083;0.636831;0.000396388
228000;0.637201;0.636831;0.000581026
229000;0.636108;0.636831;0.00113511
230000;0.635197;0.636831;0.00256533
231000;0.637978;0.636831;0.00180206
232000;0.63528;0.636831;0.00243449
233000;0.639545;0.636831;0.00426255
234000;0.636549;0.636831;0.000442736
235000;0.635212;0.636831;0.00254235
236000;0.637437;0.636831;0.000952204
237000;0.637115;0.636831;0.000445841
238000;0.636241;0.636831;0.000926308
239000;0.637299;0.636831;0.000735863
240000;0.636053;0.636831;0.00122059
241000;0.638528;0.636831;0.00266501
242000;0.636785;0.636831;7.1225e-05
243000;0.637262;0.636831;0.000676959
244000;0.637578;0.636831;0.0011738
245000;0.636475;0.636831;0.000558466
246000;0.637596;0.636831;0.00120241
247000;0.636282;0.636831;0.000861833
248000;0.635687;0.636831;0.00179515
249000;0.636681;0.636831;0.000235449
250000;0.637364;0.636831;0.000837268
251000;0.638149;0.636831;0.00207065
252000;0.637121;0.636831;0.000456068
253000;0.636402;0.636831;0.000673312
254000;0.637041;0.636831;0.000329916
255000;0.63617;0.636831;0.00103688
256000;0.63537;0.636831;0.00229346
257000;0.636139;0.636831;0.0010864
258000;0.637445;0.636831;0.000964547
259000;0.635043;0.636831;0.00280671
260000;0.637233;0.636831;0.000631416
261000;0.638168;0.636831;0.00209957
262000;0.635331;0.636831;0.00235546
263000;0.636516;0.636831;0.000493947
264000;0.63759;0.636831;0.00119181
265000;0.635807;0.636831;0.00160756
266000;0.635694;0.636831;0.00178479
267000;0.636881;0.636831;7.88383e-05
268000;0.636317;0.636831;0.000807133
269000;0.635766;0.636831;0.00167219
270000;0.636988;0.636831;0.000246317
271000;0.636901;0.636831;0.000110527
272000;0.634547;0.636831;0.00358644
273000;0.637553;0.636831;0.00113432
274000;0.636683;0.636831;0.000231992
275000;0.637155;0.636831;0.000509683
276000;0.635886;0.636831;0.00148366
277000;0.637595;0.636831;0.0012006
278000;0.638605;0.636831;0.00278569
279000;0.637211;0.636831;0.000597697
280000;0.636508;0.636831;0.000505991
281000;0.636345;0.636831;0.000763078
282000;0.634612;0.636831;0.00348454
283000;0.638377;0.636831;0.00242874
284000;0.636828;0.636831;3.84299e-06
285000;0.636006;0.636831;0.00129492
286000;0.635498;0.636831;0.00209269
287000;0.636173;0.636831;0.00103197
288000;0.636067;0.636831;0.00119884
289000;0.636928;0.636831;0.000152737
290000;0.637094;0.636831;0.000413539
291000;0.637394;0.636831;0.000883864
292000;0.63598;0.636831;0.00133519
293000;0.636132;0.636831;0.0010975
294000;0.635794;0.636831;0.001628
295000;0.637531;0.636831;0.00110017
296000;0.637431;0.636831;0.000942119
297000;0.636664;0.636831;0.000262043
298000;0.638657;0.636831;0.00286771
299000;0.636297;0.636831;0.000838659
300000;0.635849;0.636831;0.00154157
301000;0.636956;0.636831;0.000196094
302000;0.635454;0.636831;0.0021625
303000;0.636371;0.636831;0.000722064
304000;0.637439;0.636831;0.00095598
305000;0.637943;0.636831;0.00174616
306000;0.636309;0.636831;0.000819839
307000;0.635124;0.636831;0.00267929
308000;0.635825;0.636831;0.00157967
309000;0.638478;0.636831;0.00258736
310000;0.637814;0.636831;0.0015438
311000;0.637701;0.636831;0.00136681
312000;0.636499;0.636831;0.000520464
313000;0.63781;0.636831;0.00153752
314000;0.635951;0.636831;0.00138113
315000;0.636153;0.636831;0.00106377
316000;0.637659;0.636831;0.00130049
317000;0.63647;0.636831;0.000566965
318000;0.63579;0.636831;0.00163368
319000;0.638449;0.636831;0.00254165
320000;0.635768;0.636831;0.0016679
321000;0.638399;0.636831;0.00246292
322000;0.635463;0.636831;0.00214791
323000;0.635902;0.636831;0.00145856
324000;0.63813;0.636831;0.00204057
325000;0.637456;0.636831;0.000981429
326000;0.637037;0.636831;0.000324503
327000;0.637333;0.636831;0.000788724
328000;0.636146;0.636831;0.00107441
329000;0.633483;0.636831;0.00525655
330000;0.635242;0.636831;0.00249401
331000;0.637377;0.636831;0.000857733
332000;0.638593;0.636831;0.00276777
333000;0.635872;0.636831;0.00150561
334000;0.636864;0.636831;5.31449e-05
335000;0.638264;0.636831;0.0022505
336000;0.637953;0.636831;0.00176295
337000;0.637203;0.636831;0.000585196
338000;0.635609;0.636831;0.00191769
339000;0.636895;0.636831;0.000100376
340000;0.634958;0.636831;0.00294001
341000;0.636938;0.636831;0.000168611
342000;0.635749;0.636831;0.00169895
343000;0.636485;0.636831;0.00054216
344000;0.636624;0.636831;0.000324434
345000;0.635288;0.636831;0.00242228
346000;0.638482;0.636831;0.0025923
347000;0.63741;0.636831;0.000909235
348000;0.636781;0.636831;7.78079e-05
349000;0.637449;0.636831;0.000971597
350000;0.638315;0.636831;0.00233066
351000;0.636119;0.636831;0.00111823
352000;0.635555;0.636831;0.00200237
353000;0.638495;0.636831;0.00261288
354000;0.638482;0.636831;0.00259275
355000;0.636044;0.636831;0.00123561
356000;0.636579;0.636831;0.000394943
357000;0.636816;0.636831;2.31979e-05
358000;0.636875;0.636831;6.93355e-05
359000;0.636123;0.636831;0.00111182
360000;0.637392;0.636831;0.00088097
361000;0.636262;0.636831;0.000892344
362000;0.636875;0.636831;6.94476e-05
363000;0.634226;0.636831;0.00409032
364000;0.638587;0.636831;0.00275849
365000;0.635506;0.636831;0.00207975
366000;0.63708;0.636831;0.00039111
367000;0.637188;0.636831;0.000561699
368000;0.635227;0.636831;0.00251749
369000;0.635267;0.636831;0.00245529
370000;0.636851;0.636831;3.20158e-05
371000;0.635976;0.636831;0.00134185
372000;0.638081;0.636831;0.00196394
373000;0.63673;0.636831;0.000158169
374000;0.637153;0.636831;0.000506092
375000;0.637449;0.636831;0.000970284
376000;0.637299;0.636831;0.000735968
377000;0.636684;0.636831;0.000230669
378000;0.636803;0.636831;4.39983e-05
379000;0.636778;0.636831;8.32027e-05
380000;0.638124;0.636831;0.00203051
381000;0.636513;0.636831;0.000498195
382000;0.635882;0.636831;0.00148928
383000;0.635563;0.636831;0.00199034
384000;0.636231;0.636831;0.00094191
385000;0.635929;0.636831;0.00141527
386000;0.638419;0.636831;0.00249354
387000;0.636132;0.636831;0.00109779
388000;0.636911;0.636831;0.000126407
389000;0.637688;0.636831;0.00134688
390000;0.637414;0.636831;0.000915403
391000;0.636669;0.636831;0.000253669
392000;0.63673;0.636831;0.000157641
393000;0.637232;0.636831;0.000630712
394000;0.635298;0.636831;0.00240632
395000;0.638589;0.636831;0.00276067
396000;0.637107;0.636831;0.000433524
397000;0.638346;0.636831;0.00237957
398000;0.63635;0.636831;0.000754979
399000;0.638538;0.636831;0.00268072
400000;0.63686;0.636831;4.65889e-05
401000;0.635939;0.636831;0.00140004
402000;0.637235;0.636831;0.000635179
403000;0.637517;0.636831;0.00107839
404000;0.637581;0.636831;0.00117801
405000;0.636889;0.636831;9.2015e-05
406000;0.637603;0.636831;0.00121205
407000;0.637297;0.636831;0.000731581
408000;0.638393;0.636831;0.00245369
409000;0.637415;0.636831;0.000917937
410000;0.637509;0.636831;0.00106592
411000;0.635838;0.636831;0.00155903
412000;0.637601;0.636831;0.0012104
413000;0.636129;0.636831;0.00110133
414000;0.635763;0.636831;0.00167718
415000;0.636475;0.636831;0.000559074
416000;0.635097;0.636831;0.00272165
417000;0.636839;0.636831;1.36056e-05
418000;0.63668;0.636831;0.000237113
419000;0.63614;0.636831;0.00108517
420000;0.635219;0.636831;0.00253056
421000;0.638371;0.636831;0.00241826
422000;0.636521;0.636831;0.000486598
423000;0.635746;0.636831;0.00170295
424000;0.635614;0.636831;0.00191053
425000;0.636388;0.636831;0.000695736
426000;0.637728;0.636831;0.00140981
427000;0.636219;0.636831;0.000960654
428000;0.636335;0.636831;0.000778508
429000;0.638771;0.636831;0.00304628
430000;0.637196;0.636831;0.000573667
431000;0.637173;0.636831;0.000537271
432000;0.637586;0.636831;0.00118647
433000;0.635519;0.636831;0.00206042
434000;0.638204;0.636831;0.00215638
435000;0.636925;0.636831;0.000148552
436000;0.637736;0.636831;0.00142125
437000;0.636617;0.636831;0.000334997
438000;0.636432;0.636831;0.000625517
439000;0.635491;0.636831;0.00210343
440000;0.636572;0.636831;0.000406866
441000;0.638024;0.636831;0.00187454
442000;0.636074;0.636831;0.00118742
443000;0.635226;0.636831;0.0025191
444000;0.637586;0.636831;0.00118638
445000;0.636077;0.636831;0.00118322
446000;0.63744;0.636831;0.000956222
447000;0.637579;0.636831;0.00117551
448000;0.637817;0.636831;0.00154923
449000;0.636044;0.636831;0.00123569
450000;0.637506;0.636831;0.00106017
451000;0.635581;0.636831;0.00196276
452000;0.636427;0.636831;0.000633611
453000;0.636906;0.636831;0.000117689
454000;0.635611;0.636831;0.00191576
455000;0.635505;0.636831;0.00208126
456000;0.636528;0.636831;0.000475153
457000;0.635715;0.636831;0.00175201
458000;0.638616;0.636831;0.00280308
459000;0.636708;0.636831;0.000193166
460000;0.63667;0.636831;0.000251708
461000;0.636261;0.636831;0.000894792
462000;0.636033;0.636831;0.00125231
463000;0.635464;0.636831;0.00214561
464000;0.637238;0.636831;0.000640226
465000;0.636345;0.636831;0.000761842
466000;0.636997;0.636831;0.000260583
467000;0.635144;0.636831;0.0026483
468000;0.636728;0.636831;0.000160988
469000;0.6372;0.636831;0.00058038
470000;0.6369;0.636831;0.000108636
471000;0.63695;0.636831;0.000187954
472000;0.636478;0.636831;0.000553391
473000;0.636587;0.636831;0.000382754
474000;0.638043;0.636831;0.00190328
475000;0.637119;0.636831;0.000452545
476000;0.636551;0.636831;0.00043855
477000;0.63638;0.636831;0.000707852
478000;0.637162;0.636831;0.00052087
479000;0.636743;0.636831;0.000138385
480000;0.637141;0.636831;0.000486835
481000;0.637004;0.636831;0.000272431
482000;0.637117;0.636831;0.000449529
483000;0.636889;0.636831;9.13246e-05
484000;0.636758;0.636831;0.000114012
485000;0.637236;0.636831;0.000635785
486000;0.636154;0.636831;0.00106182
487000;0.635613;0.636831;0.00191253
488000;0.636359;0.636831;0.000741334
489000;0.637702;0.636831;0.00136774
490000;0.635489;0.636831;0.00210717
491000;0.636695;0.636831;0.000212603
492000;0.636848;0.636831;2.76591e-05
493000;0.636894;0.636831;9.96414e-05
494000;0.637781;0.636831;0.00149168
495000;0.635854;0.636831;0.00153312
496000;0.636001;0.636831;0.00130304
497000;0.635503;0.636831;0.00208448
498000;0.635881;0.636831;0.00149195
499000;0.637045;0.636831;0.000336623
500000;0.637318;0.636831;0.00076568
501000;0.637864;0.636831;0.00162308
502000;0.636493;0.636831;0.000529791
503000;0.636773;0.636831;9.02807e-05
504000;0.636233;0.636831;0.000938347
505000;0.637972;0.636831;0.00179175
506000;0.637412;0.636831;0.000912976
507000;0.636924;0.636831;0.000146857
508000;0.636907;0.636831;0.000120562
509000;0.636596;0.636831;0.000368825
510000;0.636599;0.636831;0.000363266
511000;0.636609;0.636831;0.000348728
512000;0.637049;0.636831;0.000342486
513000;0.636998;0.636831;0.000262047
514000;0.636376;0.636831;0.000713879
515000;0.636109;0.636831;0.00113347
516000;0.636757;0.636831;0.000116211
517000;0.636961;0.636831;0.000205431
518000;0.638038;0.636831;0.00189594
519000;0.636963;0.636831;0.000208183
520000;0.637311;0.636831;0.000753554
521000;0.637513;0.636831;0.00107075
522000;0.636778;0.636831;8.33547e-05
523000;0.638087;0.636831;0.0019726
524000;0.635974;0.636831;0.00134501
525000;0.639052;0.636831;0.00348865
526000;0.635059;0.636831;0.00278132
527000;0.637315;0.636831;0.000760121
528000;0.637993;0.636831;0.00182452
529000;0.63698;0.636831;0.00023388
530000;0.635818;0.636831;0.00159023
531000;0.637324;0.636831;0.000774626
532000;0.636181;0.636831;0.00102012
533000;0.637479;0.636831;0.00101885
534000;0.636374;0.636831;0.000716652
535000;0.63473;0.636831;0.00329804
536000;0.637548;0.636831;0.00112693
537000;0.63611;0.636831;0.00113218
538000;0.6359;0.636831;0.00146207
539000;0.637839;0.636831;0.00158276
540000;0.637561;0.636831;0.0011476
541000;0.636958;0.636831;0.000199521
542000;0.638689;0.636831;0.00291774
543000;0.636653;0.636831;0.00027946
544000;0.636251;0.636831;0.000910323
545000;0.637546;0.636831;0.00112305
546000;0.636668;0.636831;0.000255132
547000;0.637201;0.636831;0.000581101
548000;0.637136;0.636831;0.000479764
549000;0.636632;0.636831;0.000312063
550000;0.636667;0.636831;0.000256196
551000;0.636822;0.636831;1.35916e-05
552000;0.638824;0.636831;0.00313027
553000;0.635907;0.636831;0.0014507
554000;0.635916;0.636831;0.00143694
555000;0.63731;0.636831;0.00075328
556000;0.636758;0.636831;0.000113424
557000;0.636368;0.636831;0.000726547
558000;0.636009;0.636831;0.00129022
559000;0.635557;0.636831;0.0020002
560000;0.636789;0.636831;6.60215e-05
561000;0.636653;0.636831;0.000279258
562000;0.636543;0.636831;0.000452035
563000;0.638097;0.636831;0.00198817
564000;0.635729;0.636831;0.00173012
565000;0.636169;0.636831;0.00103944
566000;0.636873;0.636831;6.71901e-05
567000;0.636062;0.636831;0.00120705
568000;0.636442;0.636831;0.00061098
569000;0.636863;0.636831;5.12185e-05
570000;0.636797;0.636831;5.27286e-05
571000;0.638263;0.636831;0.00224897
