nSimulations;Gamma_Antithetic;Gamma_BS;Relative_Error
1000;0.0172284;0.018762;0.0817383
2000;0.0148465;0.018762;0.208695
3000;0.0175869;0.018762;0.0626334
4000;0.0220092;0.018762;0.173071
5000;0.0198735;0.018762;0.0592429
6000;0.0178255;0.018762;0.0499174
7000;0.0214012;0.018762;0.140667
8000;0.0187113;0.018762;0.0027032
9000;0.0180097;0.018762;0.0400968
10000;0.0171971;0.018762;0.0834072
11000;0.0187991;0.018762;0.00197878
12000;0.0203323;0.018762;0.0836939
13000;0.019191;0.018762;0.0228618
14000;0.0182123;0.018762;0.0292987
15000;0.0186423;0.018762;0.00637853
16000;0.0191367;0.018762;0.0199698
17000;0.0187704;0.018762;0.000448072
18000;0.0190095;0.018762;0.0131904
19000;0.0190035;0.018762;0.0128726
20000;0.0183942;0.018762;0.019606
21000;0.0190957;0.018762;0.0177868
22000;0.0188094;0.018762;0.00252385
23000;0.0181228;0.018762;0.0340695
24000;0.0186196;0.018762;0.00759247
25000;0.0183714;0.018762;0.0208171
26000;0.0183467;0.018762;0.0221348
27000;0.0189319;0.018762;0.00905586
28000;0.0192379;0.018762;0.0253662
29000;0.0181865;0.018762;0.030672
30000;0.0193094;0.018762;0.0291731
31000;0.0192137;0.018762;0.0240721
32000;0.0188105;0.018762;0.00258583
33000;0.0177372;0.018762;0.0546224
34000;0.0188462;0.018762;0.00448915
35000;0.0191443;0.018762;0.020373
36000;0.0177497;0.018762;0.0539567
37000;0.018848;0.018762;0.00458104
38000;0.018855;0.018762;0.00495357
39000;0.0187757;0.018762;0.000731756
40000;0.0184197;0.018762;0.0182456
41000;0.0187236;0.018762;0.00204805
42000;0.0194214;0.018762;0.0351471
43000;0.0184852;0.018762;0.0147552
44000;0.0188164;0.018762;0.00289844
45000;0.0190086;0.018762;0.0131426
46000;0.0189028;0.018762;0.00750185
47000;0.0187628;0.018762;3.97579e-05
48000;0.0185837;0.018762;0.00950648
49000;0.01868;0.018762;0.00437404
50000;0.018757;0.018762;0.000265418
51000;0.018184;0.018762;0.0308099
52000;0.0187845;0.018762;0.00119628
53000;0.0186136;0.018762;0.0079082
54000;0.0176097;0.018762;0.0614193
55000;0.0180989;0.018762;0.0353431
56000;0.0192309;0.018762;0.024992
57000;0.0185756;0.018762;0.00993647
58000;0.018652;0.018762;0.00586276
59000;0.0192025;0.018762;0.0234757
60000;0.0192433;0.018762;0.0256507
61000;0.0195181;0.018762;0.0402976
62000;0.0185808;0.018762;0.0096599
63000;0.01854;0.018762;0.0118346
64000;0.0192762;0.018762;0.0274078
65000;0.0183155;0.018762;0.0237973
66000;0.0184902;0.018762;0.014485
67000;0.0193291;0.018762;0.0302275
68000;0.0189915;0.018762;0.0122336
69000;0.0181495;0.018762;0.0326461
70000;0.0185725;0.018762;0.010103
71000;0.0186316;0.018762;0.0069533
72000;0.0184531;0.018762;0.0164654
73000;0.0191246;0.018762;0.0193266
74000;0.0189112;0.018762;0.00795319
75000;0.0189625;0.018762;0.0106868
76000;0.0187958;0.018762;0.00179839
77000;0.0191517;0.018762;0.0207685
78000;0.0177311;0.018762;0.0549449
79000;0.0191648;0.018762;0.0214681
80000;0.0187131;0.018762;0.00260946
81000;0.0182398;0.018762;0.0278318
82000;0.0186845;0.018762;0.00413206
83000;0.0180834;0.018762;0.0361715
84000;0.0184417;0.018762;0.0170727
85000;0.0189531;0.018762;0.0101832
86000;0.0191269;0.018762;0.0194486
87000;0.0185746;0.018762;0.00999027
88000;0.0192138;0.018762;0.0240784
89000;0.0181421;0.018762;0.0330434
90000;0.0186133;0.018762;0.00792557
91000;0.0183711;0.018762;0.0208375
92000;0.018783;0.018762;0.00111702
93000;0.0186412;0.018762;0.00643702
94000;0.0183048;0.018762;0.0243689
95000;0.0186599;0.018762;0.00544386
96000;0.0194243;0.018762;0.035298
97000;0.0188104;0.018762;0.00257769
98000;0.019202;0.018762;0.0234489
99000;0.0189217;0.018762;0.00851283
100000;0.0184885;0.018762;0.0145799
101000;0.0185176;0.018762;0.0130287
102000;0.0187449;0.018762;0.000912484
103000;0.0188816;0.018762;0.00637471
104000;0.0185762;0.018762;0.00990474
105000;0.0183743;0.018762;0.0206651
106000;0.0188507;0.018762;0.0047256
107000;0.0188968;0.018762;0.00718504
108000;0.0184332;0.018762;0.0175281
109000;0.0182198;0.018762;0.0288976
110000;0.0188497;0.018762;0.00467293
111000;0.0188958;0.018762;0.00712999
112000;0.0190511;0.018762;0.0154059
113000;0.0186338;0.018762;0.00683271
114000;0.0187384;0.018762;0.00125694
115000;0.0185797;0.018762;0.00971572
116000;0.0185236;0.018762;0.012705
117000;0.0190352;0.018762;0.0145579
118000;0.0190718;0.018762;0.0165107
119000;0.0186641;0.018762;0.0052187
120000;0.0184816;0.018762;0.0149465
121000;0.0183869;0.018762;0.0199952
122000;0.0195151;0.018762;0.0401371
123000;0.0193016;0.018762;0.0287609
124000;0.0187952;0.018762;0.00176931
125000;0.0183707;0.018762;0.0208556
126000;0.0188662;0.018762;0.00555393
127000;0.0189382;0.018762;0.00938913
128000;0.0187203;0.018762;0.00222553
129000;0.019265;0.018762;0.0268084
130000;0.0185901;0.018762;0.00916045
131000;0.0185165;0.018762;0.013088
132000;0.0188665;0.018762;0.00557097
133000;0.0189686;0.018762;0.0110088
134000;0.0187677;0.018762;0.00030221
135000;0.0188502;0.018762;0.00470236
136000;0.0183275;0.018762;0.02316
137000;0.0190586;0.018762;0.0158068
138000;0.0187572;0.018762;0.000254156
