nSimulations;Gamma_MC;Gamma_BS;Relative_Error
1000;0.0267296;0.018762;0.424666
2000;0.0208361;0.018762;0.110544
3000;0.018788;0.018762;0.00138275
4000;0.0180861;0.018762;0.0360255
5000;0.0217437;0.018762;0.158923
6000;0.0163602;0.018762;0.128016
7000;0.0188821;0.018762;0.00640028
8000;0.0212584;0.018762;0.133055
9000;0.0196332;0.018762;0.0464307
10000;0.0180688;0.018762;0.0369475
11000;0.0205598;0.018762;0.0958184
12000;0.0178657;0.018762;0.0477749
13000;0.0191883;0.018762;0.0227179
14000;0.0184032;0.018762;0.0191247
15000;0.0165788;0.018762;0.116364
16000;0.0180076;0.018762;0.0402082
17000;0.0201185;0.018762;0.0722991
18000;0.0178009;0.018762;0.0512248
19000;0.0184579;0.018762;0.0162073
20000;0.0205155;0.018762;0.093458
21000;0.0189215;0.018762;0.00849882
22000;0.0180065;0.018762;0.0402672
23000;0.017707;0.018762;0.056231
24000;0.0188255;0.018762;0.003381
25000;0.0189458;0.018762;0.00979424
26000;0.0188727;0.018762;0.00590038
27000;0.0194595;0.018762;0.0371762
28000;0.0197232;0.018762;0.051228
29000;0.0188086;0.018762;0.00248233
30000;0.0188944;0.018762;0.00705612
31000;0.0184038;0.018762;0.0190913
32000;0.0180903;0.018762;0.0358035
33000;0.0185343;0.018762;0.0121398
34000;0.0177191;0.018762;0.0555863
35000;0.0193316;0.018762;0.0303586
36000;0.0185365;0.018762;0.0120184
37000;0.0187254;0.018762;0.00194905
38000;0.0195484;0.018762;0.0419135
39000;0.0191068;0.018762;0.018379
40000;0.0187342;0.018762;0.00148489
41000;0.0192415;0.018762;0.0255536
42000;0.01862;0.018762;0.00756891
43000;0.0190951;0.018762;0.0177531
44000;0.0195607;0.018762;0.042571
45000;0.0190466;0.018762;0.0151655
46000;0.0185437;0.018762;0.0116363
47000;0.0183388;0.018762;0.022559
48000;0.0189629;0.018762;0.0107048
49000;0.0181364;0.018762;0.0333439
50000;0.0186723;0.018762;0.0047815
51000;0.0178698;0.018762;0.0475539
52000;0.017586;0.018762;0.0626822
53000;0.0191374;0.018762;0.0200087
54000;0.0189664;0.018762;0.0108957
55000;0.0181622;0.018762;0.0319698
56000;0.0180022;0.018762;0.0404993
57000;0.0196759;0.018762;0.0487118
58000;0.0189319;0.018762;0.00905698
59000;0.0189361;0.018762;0.00927951
60000;0.0186726;0.018762;0.00476465
61000;0.0184269;0.018762;0.017863
62000;0.0191111;0.018762;0.0186043
63000;0.0187288;0.018762;0.00177158
64000;0.0190448;0.018762;0.0150733
65000;0.0187115;0.018762;0.00269407
66000;0.0184984;0.018762;0.0140486
67000;0.0190384;0.018762;0.0147321
68000;0.0187149;0.018762;0.00250922
69000;0.0191478;0.018762;0.0205618
70000;0.0183513;0.018762;0.0218901
71000;0.0189312;0.018762;0.00901866
72000;0.0186233;0.018762;0.00739522
73000;0.0188432;0.018762;0.00432878
74000;0.0195563;0.018762;0.0423372
75000;0.0186818;0.018762;0.00427597
