nSimulations;MC_Price;Relative_Error
1000;10.3573;0.00892512
2000;10.4176;0.00315807
3000;10.019;0.0412936
4000;10.222;0.0218719
5000;10.6166;0.0158873
6000;10.7795;0.0314747
7000;10.6128;0.0155256
8000;10.5229;0.00691873
9000;10.53;0.00759732
10000;10.3763;0.00710422
11000;10.1826;0.0256464
12000;10.4958;0.00432633
13000;10.4028;0.00456855
14000;10.5021;0.00493196
15000;10.4997;0.00470285
16000;10.496;0.00434912
17000;10.528;0.00740615
18000;10.5759;0.011989
19000;10.4443;0.000604954
20000;10.2518;0.0190234
21000;10.3257;0.0119512
22000;10.5249;0.00711113
23000;10.4521;0.000143239
24000;10.2641;0.0178478
25000;10.5055;0.00525599
26000;10.3532;0.00932101
27000;10.438;0.00120609
28000;10.5544;0.00992929
29000;10.5837;0.0127405
30000;10.4884;0.00362013
31000;10.3865;0.00612751
32000;10.4295;0.00201749
33000;10.3442;0.0101807
34000;10.6819;0.022131
35000;10.5516;0.00966468
36000;10.4723;0.00207455
37000;10.349;0.00972257
38000;10.3902;0.00577591
39000;10.6246;0.0166554
40000;10.3355;0.0110096
41000;10.5508;0.00959163
42000;10.5179;0.00644563
43000;10.4031;0.00453984
44000;10.393;0.00550893
45000;10.3302;0.0115165
46000;10.4468;0.000364269
47000;10.4409;0.000925047
48000;10.4272;0.00223282
49000;10.3914;0.00566044
50000;10.4712;0.00197112
51000;10.4873;0.00351443
52000;10.4334;0.00164858
53000;10.4783;0.00265305
54000;10.4813;0.00293982
55000;10.3748;0.00724692
56000;10.5302;0.00761862
57000;10.4534;0.000266362
58000;10.4539;0.000319449
59000;10.4007;0.00477444
60000;10.4611;0.00100267
61000;10.3571;0.0089498
62000;10.3469;0.00992189
63000;10.4946;0.00420803
64000;10.4243;0.00251233
65000;10.4282;0.0021387
66000;10.5245;0.00707566
67000;10.4446;0.000572653
68000;10.3981;0.00502498
69000;10.4356;0.00143447
70000;10.4148;0.0034227
71000;10.3881;0.0059777
72000;10.4661;0.00148406
73000;10.4543;0.000354349
74000;10.3649;0.00819894
75000;10.5052;0.0052223
76000;10.4601;0.000912233
77000;10.4751;0.00234624
78000;10.555;0.00999083
79000;10.5224;0.00686945
80000;10.4188;0.00303978
81000;10.4398;0.00103281
82000;10.3626;0.00842258
83000;10.3827;0.006497
84000;10.439;0.00110778
85000;10.531;0.00769254
86000;10.4154;0.00336463
87000;10.4186;0.00305934
88000;10.4227;0.00266924
89000;10.5266;0.00726955
90000;10.4643;0.00131381
91000;10.5175;0.00639926
92000;10.4393;0.00107706
93000;10.4434;0.000685724
94000;10.482;0.00301038
95000;10.4098;0.00390029
96000;10.448;0.000243379
97000;10.435;0.00149499
98000;10.4298;0.00199096
99000;10.4021;0.00463747
100000;10.3898;0.00581645
101000;10.4385;0.00115385
102000;10.4632;0.00120326
103000;10.4313;0.00184114
104000;10.4936;0.00411643
105000;10.4146;0.00344092
106000;10.4572;0.000637068
107000;10.4147;0.00343637
108000;10.4806;0.00287287
109000;10.4807;0.00288571
110000;10.4365;0.00134677
111000;10.5163;0.00629031
112000;10.5266;0.00727328
113000;10.4294;0.00202989
114000;10.4334;0.0016452
115000;10.4305;0.00191907
116000;10.4788;0.00269993
117000;10.4431;0.000718333
118000;10.4979;0.0045295
119000;10.483;0.00309924
120000;10.4536;0.000287092
121000;10.4493;0.000124432
122000;10.3907;0.00573019
123000;10.3427;0.01032
124000;10.3841;0.00636413
125000;10.413;0.00360051
126000;10.4754;0.00237808
127000;10.4134;0.0035576
128000;10.4747;0.00230756
129000;10.4697;0.00182764
130000;10.3943;0.00538742
131000;10.4146;0.00344688
132000;10.4587;0.000780447
133000;10.4933;0.00409048
134000;10.5019;0.00491046
135000;10.4304;0.00193451
136000;10.4931;0.00407113
137000;10.4871;0.00349846
138000;10.4905;0.00381912
139000;10.472;0.00204723
140000;10.4823;0.00303115
141000;10.411;0.00379065
142000;10.4504;1.9229e-05
143000;10.4552;0.000446185
144000;10.4873;0.00351438
145000;10.4268;0.00227482
146000;10.4607;0.000967679
147000;10.4561;0.000530618
148000;10.4085;0.0040308
149000;10.4816;0.00297185
150000;10.4294;0.00202974
151000;10.4673;0.00159606
152000;10.4531;0.000238628
153000;10.445;0.000530134
154000;10.4847;0.00326094
155000;10.4452;0.000514192
156000;10.452;0.000135739
157000;10.4912;0.00388227
158000;10.4398;0.00103435
159000;10.3436;0.0102402
160000;10.4779;0.00261168
161000;10.452;0.000136419
162000;10.4964;0.00438147
163000;10.3806;0.00669623
164000;10.438;0.00120398
165000;10.4103;0.00385336
166000;10.4818;0.00298327
167000;10.4614;0.00103466
168000;10.4595;0.000852105
169000;10.4668;0.00155246
170000;10.5059;0.00529407
171000;10.4237;0.00257524
172000;10.4515;8.89326e-05
173000;10.485;0.00329451
174000;10.5036;0.00507114
175000;10.4888;0.00366159
176000;10.4653;0.00140941
177000;10.5179;0.00644198
178000;10.4525;0.00018215
179000;10.4815;0.00295829
180000;10.4418;0.000839064
181000;10.479;0.00272025
182000;10.4197;0.00295403
183000;10.4507;1.55268e-05
184000;10.4182;0.00310234
185000;10.4987;0.00460776
186000;10.4038;0.00447698
187000;10.4543;0.000356012
188000;10.3999;0.00485192
189000;10.507;0.00540263
190000;10.4414;0.000877721
191000;10.4211;0.00282585
192000;10.3865;0.00612816
193000;10.4143;0.00346956
194000;10.4951;0.00425941
195000;10.4194;0.0029878
196000;10.4286;0.00210107
197000;10.5123;0.00590173
198000;10.4174;0.00317265
199000;10.404;0.00445783
200000;10.4004;0.00479727
201000;10.5343;0.00800802
202000;10.445;0.000531846
203000;10.4473;0.000312161
204000;10.3875;0.00603636
205000;10.4347;0.00152239
206000;10.461;0.000999593
207000;10.4905;0.00382335
208000;10.4529;0.0002256
209000;10.4939;0.00414803
210000;10.47;0.0018553
211000;10.4562;0.000537391
212000;10.4335;0.00163102
213000;10.4104;0.00384978
214000;10.4219;0.00274004
215000;10.47;0.00186139
216000;10.4687;0.00173339
217000;10.4581;0.000719454
218000;10.4136;0.00353629
219000;10.4417;0.000847221
220000;10.4468;0.000365356
221000;10.4729;0.00213793
222000;10.5037;0.00508258
223000;10.4312;0.00185552
224000;10.4585;0.000754217
225000;10.4822;0.00302461
226000;10.438;0.00120854
227000;10.4547;0.000393684
228000;10.4132;0.00357341
229000;10.3687;0.00783165
230000;10.4206;0.00286867
231000;10.4809;0.00290213
232000;10.409;0.00397743
233000;10.4043;0.00443256
234000;10.4593;0.000836709
235000;10.517;0.00635985
236000;10.4543;0.000356344
237000;10.4204;0.00289029
238000;10.4441;0.000616972
239000;10.364;0.00828537
240000;10.4388;0.00112519
241000;10.4512;6.32328e-05
242000;10.4912;0.00388912
243000;10.4202;0.00290662
244000;10.4377;0.00122978
245000;10.5282;0.00742263
246000;10.4266;0.00229591
247000;10.437;0.00130041
248000;10.4228;0.00265513
249000;10.5076;0.00545678
250000;10.4348;0.00151107
251000;10.4316;0.0018119
252000;10.4456;0.000475515
253000;10.4817;0.00297865
254000;10.4261;0.00234567
255000;10.4394;0.00107287
256000;10.4353;0.00146258
257000;10.3883;0.00595976
258000;10.4534;0.00026592
259000;10.4272;0.00224177
260000;10.431;0.00186986
261000;10.5335;0.00793258
262000;10.4933;0.00409175
263000;10.432;0.00177411
264000;10.4148;0.00342543
265000;10.4702;0.00188012
266000;10.4532;0.000246139
267000;10.4679;0.00165441
268000;10.4434;0.000690328
269000;10.4399;0.00102335
270000;10.4582;0.000733474
271000;10.3933;0.00548195
272000;10.4321;0.00177203
273000;10.4261;0.00234753
274000;10.4396;0.00104887
275000;10.4192;0.00300727
276000;10.4556;0.000483747
277000;10.46;0.000901893
278000;10.4175;0.00316273
279000;10.4686;0.00172225
280000;10.4436;0.000666305
281000;10.4481;0.000235944
282000;10.4321;0.00176859
283000;10.4239;0.00255581
284000;10.4378;0.00122425
285000;10.4729;0.00213502
286000;10.4601;0.000906576
287000;10.4509;2.63526e-05
288000;10.4476;0.00028354
289000;10.4458;0.00045553
290000;10.4494;0.000117098
291000;10.4751;0.00234715
292000;10.4205;0.00287412
293000;10.4477;0.000275885
294000;10.4582;0.000724431
295000;10.4157;0.00333441
296000;10.4836;0.00316136
297000;10.4242;0.00252413
298000;10.4624;0.00112917
299000;10.4566;0.000577048
300000;10.4231;0.00262515
301000;10.444;0.00062791
302000;10.3697;0.00774423
303000;10.4514;7.98666e-05
304000;10.4502;4.01725e-05
305000;10.4569;0.000606894
306000;10.4461;0.000425174
307000;10.4476;0.000288309
308000;10.4815;0.00296194
309000;10.461;0.000996244
310000;10.4288;0.00208563
311000;10.4439;0.00064093
312000;10.4568;0.000598694
313000;10.4293;0.00203746
314000;10.479;0.00271476
315000;10.4913;0.00390056
316000;10.4362;0.0013803
317000;10.4477;0.000274633
318000;10.4766;0.00248544
319000;10.4362;0.00137547
320000;10.4211;0.00281733
321000;10.457;0.000610496
322000;10.4666;0.00153039
323000;10.4553;0.000447989
324000;10.4142;0.00347734
325000;10.4353;0.00145801
326000;10.4532;0.000247885
327000;10.4635;0.00123399
328000;10.4579;0.000698428
329000;10.4628;0.00116731
330000;10.4468;0.00035732
331000;10.4155;0.00336102
332000;10.492;0.00396202
333000;10.4109;0.00379525
