nSimulations;MC_Price_Antithetic;Relative_Error
1000;10.3095;0.0134975
2000;10.3019;0.0142271
3000;10.1563;0.0281565
4000;10.5846;0.0128256
5000;10.5302;0.00761629
6000;10.3448;0.0101247
7000;10.3574;0.00891564
8000;10.3919;0.00561621
9000;10.27;0.0172839
10000;10.4718;0.0020333
11000;10.4246;0.00248767
12000;10.3382;0.0107535
13000;10.3848;0.00629371
14000;10.4338;0.001605
15000;10.5207;0.00670685
16000;10.5433;0.00887518
17000;10.4441;0.000618142
18000;10.4389;0.00111446
19000;10.4247;0.00247693
20000;10.4888;0.00365724
21000;10.7057;0.0244088
22000;10.5392;0.00847831
23000;10.5204;0.00667854
24000;10.4018;0.00467125
25000;10.4974;0.00448064
26000;10.5091;0.00559928
27000;10.458;0.00071385
28000;10.411;0.00378787
29000;10.5194;0.0065856
30000;10.4373;0.00126701
31000;10.3615;0.00852887
32000;10.5295;0.00755557
33000;10.3604;0.00862727
34000;10.464;0.00128375
35000;10.382;0.00656027
36000;10.422;0.00273418
37000;10.4045;0.00441325
38000;10.4245;0.00249531
39000;10.4902;0.0037873
40000;10.3882;0.00597275
41000;10.462;0.00109454
42000;10.4588;0.000789448
43000;10.4195;0.00297669
44000;10.5174;0.00638992
45000;10.5156;0.00621671
46000;10.4277;0.00219412
47000;10.4131;0.00358315
48000;10.4781;0.00263739
49000;10.4273;0.00223124
50000;10.4763;0.00245807
51000;10.4496;9.14091e-05
52000;10.4414;0.000879569
53000;10.3962;0.00520004
54000;10.3589;0.00877418
55000;10.392;0.00560163
56000;10.3595;0.00871219
57000;10.5168;0.00633621
58000;10.4424;0.000784383
59000;10.4804;0.0028537
60000;10.4572;0.00063052
61000;10.4625;0.00113961
62000;10.4688;0.00174647
63000;10.4919;0.0039556
64000;10.4722;0.00206429
65000;10.4445;0.000580981
66000;10.4678;0.00164986
67000;10.4273;0.00222592
68000;10.4154;0.00336282
69000;10.4316;0.00182046
70000;10.5285;0.00745316
71000;10.4663;0.00150175
72000;10.4939;0.00414069
73000;10.4874;0.00352235
74000;10.457;0.000616207
75000;10.4088;0.00399577
76000;10.4802;0.00283187
77000;10.4487;0.000184907
78000;10.4756;0.00239294
79000;10.419;0.00302087
80000;10.4713;0.0019857
81000;10.4375;0.00125144
82000;10.4491;0.00014125
83000;10.4723;0.00207827
84000;10.5408;0.00863393
85000;10.4783;0.00264809
86000;10.4472;0.000319122
87000;10.5274;0.00734842
88000;10.4271;0.00224342
89000;10.4954;0.00429251
90000;10.5076;0.00546011
91000;10.4404;0.000971543
92000;10.4824;0.00304085
93000;10.3938;0.00543818
94000;10.4659;0.00146319
95000;10.4521;0.000145634
96000;10.4807;0.00287892
97000;10.4669;0.00156347
98000;10.5363;0.00820491
99000;10.421;0.00282622
100000;10.4114;0.00375089
101000;10.4691;0.00177091
102000;10.4159;0.0033164
103000;10.4473;0.00031172
104000;10.4711;0.00196364
105000;10.4608;0.000979861
106000;10.4738;0.00222433
107000;10.4467;0.000369119
108000;10.4995;0.00468313
109000;10.4455;0.000488097
110000;10.4928;0.00404192
111000;10.4118;0.00370662
112000;10.4896;0.00373635
113000;10.4305;0.00192509
114000;10.4141;0.00349574
115000;10.4996;0.0046903
116000;10.4365;0.00135214
117000;10.4973;0.00447404
118000;10.439;0.00110633
119000;10.4609;0.000984247
120000;10.448;0.000244928
121000;10.474;0.00223839
122000;10.4502;3.54718e-05
123000;10.434;0.00158981
124000;10.4431;0.000718577
125000;10.4633;0.00122138
126000;10.4634;0.00122711
127000;10.4922;0.00397981
128000;10.5067;0.0053681
129000;10.4498;7.03546e-05
130000;10.4429;0.000739476
131000;10.4851;0.00330267
132000;10.3811;0.00664445
133000;10.4614;0.00103057
134000;10.4326;0.00171869
135000;10.3928;0.00553114
136000;10.4469;0.000352145
137000;10.4472;0.000320184
138000;10.3835;0.00641916
139000;10.4838;0.00317725
140000;10.4221;0.00272318
141000;10.4195;0.00296958
142000;10.4275;0.00220557
143000;10.4856;0.00335386
144000;10.4378;0.00122748
145000;10.4325;0.00173329
146000;10.4198;0.00294454
147000;10.5149;0.00615417
148000;10.4326;0.00171829
149000;10.4317;0.00181116
150000;10.4829;0.00309337
151000;10.4222;0.00271509
152000;10.4675;0.00161903
153000;10.4796;0.00277408
154000;10.4896;0.00373615
155000;10.4641;0.0012981
156000;10.4855;0.00334496
157000;10.4473;0.000316349
158000;10.4105;0.00383364
159000;10.4563;0.000551073
160000;10.413;0.00359509
161000;10.4663;0.00150233
162000;10.4368;0.00131746
163000;10.4297;0.00200027
164000;10.4253;0.002416
165000;10.4341;0.0015812
166000;10.4529;0.000218209
167000;10.4489;0.000160289
168000;10.4134;0.00355526
169000;10.4621;0.00110546
170000;10.4356;0.00143214
171000;10.4469;0.00034929
172000;10.4749;0.0023255
173000;10.4097;0.00391392
174000;10.4259;0.00235769
175000;10.4351;0.00148499
176000;10.4886;0.00363476
177000;10.4148;0.00342619
178000;10.4426;0.000760066
179000;10.4238;0.00256748
180000;10.4447;0.000567465
181000;10.4242;0.00252652
182000;10.4615;0.00104409
183000;10.3822;0.00654793
184000;10.4592;0.000826824
185000;10.4572;0.000631777
186000;10.4335;0.00163768
187000;10.4402;0.000996175
188000;10.4416;0.00086032
189000;10.4821;0.00301619
190000;10.487;0.00348288
191000;10.4541;0.000337051
192000;10.4629;0.00117784
193000;10.4115;0.0037366
194000;10.4958;0.0043314
195000;10.4455;0.000487873
196000;10.47;0.00186177
197000;10.4325;0.00173423
198000;10.4256;0.00239395
199000;10.3966;0.00516084
200000;10.4638;0.00126305
201000;10.457;0.000609246
202000;10.4139;0.00351397
203000;10.4329;0.00169648
204000;10.4466;0.000380562
205000;10.4431;0.00071241
206000;10.472;0.00205359
207000;10.439;0.00110384
208000;10.4453;0.000509625
209000;10.4653;0.00140725
