nSimulations;Price;Relative_Error
1000;5.757;inf
3010;5.75049;inf
5020;5.90913;inf
7030;5.80619;inf
9040;5.86786;inf
11050;5.96139;inf
13060;5.83807;inf
15070;5.80392;inf
17080;5.8321;inf
19090;5.82419;inf
21101;5.85092;inf
23111;5.83098;inf
25121;5.89831;inf
27131;5.82841;inf
29141;5.8587;inf
31151;5.8025;inf
33161;5.90401;inf
35171;5.81067;inf
37181;5.80725;inf
39191;5.85733;inf
41202;5.8406;inf
43212;5.84983;inf
45222;5.84553;inf
47232;5.85615;inf
49242;5.86721;inf
51252;5.90055;inf
53262;5.89719;inf
55272;5.8249;inf
57282;5.86829;inf
59292;5.86246;inf
61303;5.83892;inf
63313;5.86045;inf
65323;5.88311;inf
67333;5.85633;inf
69343;5.83839;inf
71353;5.86589;inf
73363;5.83556;inf
75373;5.86587;inf
77383;5.82263;inf
79393;5.82256;inf
81404;5.85032;inf
83414;5.83312;inf
85424;5.86584;inf
87434;5.87217;inf
89444;5.85961;inf
91454;5.87015;inf
93464;5.8187;inf
95474;5.84647;inf
97484;5.87093;inf
99494;5.86902;inf
101505;5.84154;inf
103515;5.83506;inf
105525;5.84938;inf
107535;5.86802;inf
109545;5.8779;inf
111555;5.872;inf
113565;5.85131;inf
115575;5.86147;inf
117585;5.8292;inf
119595;5.88689;inf
121606;5.85174;inf
123616;5.87393;inf
125626;5.8782;inf
127636;5.82532;inf
129646;5.87775;inf
131656;5.86478;inf
133666;5.85282;inf
135676;5.86761;inf
137686;5.85919;inf
139696;5.86251;inf
141707;5.83585;inf
143717;5.84446;inf
145727;5.84748;inf
147737;5.85724;inf
149747;5.87396;inf
151757;5.87826;inf
153767;5.86489;inf
155777;5.83087;inf
157787;5.83517;inf
159797;5.82566;inf
161808;5.84656;inf
163818;5.85711;inf
165828;5.87023;inf
167838;5.83236;inf
169848;5.86764;inf
171858;5.85468;inf
173868;5.88078;inf
175878;5.86107;inf
177888;5.8596;inf
179898;5.86799;inf
181909;5.85138;inf
183919;5.83262;inf
185929;5.87247;inf
187939;5.84819;inf
189949;5.88692;inf
191959;5.85132;inf
193969;5.86952;inf
195979;5.85259;inf
197989;5.866;inf
200000;5.8603;inf
