nSimulations;Price;Relative_Error
1000;5.9611;inf
3010;5.89873;inf
5020;5.87103;inf
7030;5.83331;inf
9040;5.87123;inf
11050;5.85585;inf
13060;5.86926;inf
15070;5.80891;inf
17080;5.82603;inf
19090;5.88529;inf
21101;5.851;inf
23111;5.86882;inf
25121;5.85033;inf
27131;5.85469;inf
29141;5.85989;inf
31151;5.88052;inf
33161;5.86108;inf
35171;5.88637;inf
37181;5.8311;inf
39191;5.87053;inf
41202;5.84291;inf
43212;5.86528;inf
45222;5.83935;inf
47232;5.86178;inf
49242;5.86801;inf
51252;5.87574;inf
53262;5.8437;inf
55272;5.87874;inf
57282;5.86263;inf
59292;5.86243;inf
61303;5.86175;inf
63313;5.85489;inf
65323;5.85467;inf
67333;5.85307;inf
69343;5.86273;inf
71353;5.86189;inf
73363;5.8456;inf
75373;5.85127;inf
77383;5.85928;inf
79393;5.88281;inf
81404;5.85046;inf
83414;5.85082;inf
85424;5.86991;inf
87434;5.86733;inf
89444;5.8612;inf
91454;5.83853;inf
93464;5.85196;inf
95474;5.84851;inf
97484;5.85508;inf
99494;5.85645;inf
101505;5.86672;inf
103515;5.85196;inf
105525;5.85852;inf
107535;5.8504;inf
109545;5.85895;inf
111555;5.85083;inf
113565;5.86881;inf
115575;5.85664;inf
117585;5.86797;inf
119595;5.86687;inf
121606;5.85934;inf
123616;5.86458;inf
125626;5.85768;inf
127636;5.86947;inf
129646;5.8518;inf
131656;5.86889;inf
133666;5.84979;inf
135676;5.86201;inf
137686;5.85784;inf
139696;5.85685;inf
141707;5.8561;inf
143717;5.86005;inf
145727;5.86503;inf
147737;5.85268;inf
149747;5.86285;inf
151757;5.86222;inf
153767;5.85562;inf
155777;5.84739;inf
157787;5.84931;inf
159797;5.84673;inf
161808;5.8424;inf
163818;5.8399;inf
165828;5.85584;inf
167838;5.87152;inf
169848;5.86729;inf
171858;5.8536;inf
173868;5.86156;inf
175878;5.86274;inf
177888;5.85178;inf
179898;5.85366;inf
181909;5.84769;inf
183919;5.85027;inf
185929;5.85684;inf
187939;5.84314;inf
189949;5.85354;inf
191959;5.86388;inf
193969;5.85796;inf
195979;5.8583;inf
197989;5.84858;inf
200000;5.86702;inf
