nSimulations;Price;Relative_Error
1000;5.84609;inf
3010;5.85184;inf
5020;5.85148;inf
7030;5.85178;inf
9040;5.84893;inf
11050;5.85217;inf
13060;5.84982;inf
15070;5.85115;inf
17080;5.84918;inf
19090;5.84963;inf
21101;5.85049;inf
23111;5.84728;inf
25121;5.85003;inf
27131;5.8498;inf
29141;5.84916;inf
31151;5.84836;inf
33161;5.849;inf
35171;5.84944;inf
37181;5.85056;inf
39191;5.85072;inf
41202;5.84825;inf
43212;5.84975;inf
45222;5.84907;inf
47232;5.85008;inf
49242;5.84932;inf
51252;5.84992;inf
53262;5.84893;inf
55272;5.84963;inf
57282;5.84894;inf
59292;5.85029;inf
61303;5.84959;inf
63313;5.85017;inf
65323;5.85014;inf
67333;5.84924;inf
69343;5.84999;inf
71353;5.85119;inf
73363;5.84915;inf
75373;5.85046;inf
77383;5.85014;inf
79393;5.84961;inf
81404;5.84939;inf
83414;5.85042;inf
85424;5.84988;inf
87434;5.84952;inf
89444;5.85057;inf
91454;5.85036;inf
93464;5.84953;inf
95474;5.85058;inf
97484;5.8497;inf
99494;5.8491;inf
101505;5.84975;inf
103515;5.84903;inf
105525;5.85021;inf
107535;5.85034;inf
109545;5.84959;inf
111555;5.85018;inf
113565;5.85031;inf
115575;5.8492;inf
117585;5.84923;inf
119595;5.85007;inf
121606;5.84975;inf
123616;5.8496;inf
125626;5.84868;inf
127636;5.84967;inf
129646;5.84904;inf
131656;5.84908;inf
133666;5.84878;inf
135676;5.84975;inf
137686;5.8494;inf
139696;5.84925;inf
141707;5.84955;inf
143717;5.84868;inf
145727;5.85043;inf
147737;5.84979;inf
149747;5.85003;inf
151757;5.84985;inf
153767;5.84982;inf
155777;5.84948;inf
157787;5.8492;inf
159797;5.84985;inf
161808;5.8501;inf
163818;5.84933;inf
165828;5.84948;inf
167838;5.84927;inf
169848;5.84976;inf
171858;5.84955;inf
173868;5.84924;inf
175878;5.84968;inf
177888;5.84885;inf
179898;5.85006;inf
181909;5.85025;inf
183919;5.84908;inf
185929;5.8501;inf
187939;5.84961;inf
189949;5.84936;inf
191959;5.84926;inf
193969;5.84951;inf
195979;5.85027;inf
197989;5.84988;inf
200000;5.84982;inf
