nSimulations;Vega_Antithetic;Vega_BS;Relative_Error
1000;0;37.524;1
2000;-0.00889516;37.524;1.00024
3000;0;37.524;1
4000;0;37.524;1
5000;0;37.524;1
6000;0;37.524;1
7000;-0.00340567;37.524;1.00009
8000;-0.00318948;37.524;1.00008
9000;-0.071458;37.524;1.0019
10000;-0.00266073;37.524;1.00007
11000;-0.000272441;37.524;1.00001
12000;-0.00120101;37.524;1.00003
13000;0;37.524;1
14000;-0.000663501;37.524;1.00002
15000;-0.00149735;37.524;1.00004
16000;-0.000781891;37.524;1.00002
17000;-3.8007e-05;37.524;1
18000;-0.0147079;37.524;1.00039
19000;-0.000340837;37.524;1.00001
20000;-0.0180986;37.524;1.00048
21000;-0.00681435;37.524;1.00018
22000;-0.00312974;37.524;1.00008
23000;-0.00250801;37.524;1.00007
24000;-0.000101467;37.524;1
25000;-0.00558126;37.524;1.00015
26000;-0.010135;37.524;1.00027
27000;-0.0141423;37.524;1.00038
28000;-0.0304832;37.524;1.00081
29000;-0.0274172;37.524;1.00073
30000;-0.00342021;37.524;1.00009
31000;-0.000437693;37.524;1.00001
32000;-0.0066132;37.524;1.00018
33000;-0.0171938;37.524;1.00046
34000;-0.00710334;37.524;1.00019
35000;-0.00253649;37.524;1.00007
36000;-0.040362;37.524;1.00108
37000;-0.00411897;37.524;1.00011
38000;-0.0335613;37.524;1.00089
39000;-0.00295119;37.524;1.00008
40000;-2.50725;37.524;1.06682
41000;-0.00923675;37.524;1.00025
42000;-0.000682609;37.524;1.00002
43000;-0.00580298;37.524;1.00015
44000;-0.0011455;37.524;1.00003
45000;-0.0243276;37.524;1.00065
46000;-0.00231387;37.524;1.00006
47000;-0.0186605;37.524;1.0005
48000;-0.000900895;37.524;1.00002
49000;-0.037964;37.524;1.00101
50000;-0.93368;37.524;1.02488
51000;-0.00416952;37.524;1.00011
52000;-0.0458746;37.524;1.00122
53000;-0.15394;37.524;1.0041
54000;-0.041823;37.524;1.00111
55000;-0.00393768;37.524;1.0001
56000;-0.00728564;37.524;1.00019
57000;-0.00531939;37.524;1.00014
58000;-0.00230549;37.524;1.00006
59000;-0.00230309;37.524;1.00006
60000;-0.0141879;37.524;1.00038
61000;-0.0304161;37.524;1.00081
62000;-0.00255395;37.524;1.00007
63000;-0.0317807;37.524;1.00085
64000;-2.36004;37.524;1.06289
65000;-0.0120708;37.524;1.00032
66000;-0.00823687;37.524;1.00022
67000;-0.00156383;37.524;1.00004
68000;-0.0170469;37.524;1.00045
69000;-0.00369969;37.524;1.0001
70000;-0.00509661;37.524;1.00014
71000;-0.00543127;37.524;1.00014
72000;-0.0237154;37.524;1.00063
73000;-0.00108226;37.524;1.00003
74000;-0.0143054;37.524;1.00038
75000;-0.00691116;37.524;1.00018
76000;-0.00100703;37.524;1.00003
77000;-0.00422127;37.524;1.00011
78000;-0.000708326;37.524;1.00002
79000;-0.000943081;37.524;1.00003
80000;-0.113378;37.524;1.00302
81000;-0.00517876;37.524;1.00014
82000;-0.0216843;37.524;1.00058
83000;-0.172806;37.524;1.00461
84000;-0.0173733;37.524;1.00046
85000;-0.018285;37.524;1.00049
86000;-2.63039;37.524;1.0701
87000;-0.00586401;37.524;1.00016
88000;-0.146639;37.524;1.00391
89000;-0.120891;37.524;1.00322
90000;-0.0440122;37.524;1.00117
91000;-0.00220023;37.524;1.00006
92000;-0.00446889;37.524;1.00012
93000;-0.0258648;37.524;1.00069
94000;-0.0147522;37.524;1.00039
95000;-0.301799;37.524;1.00804
96000;-0.00468198;37.524;1.00012
97000;-0.0283455;37.524;1.00076
98000;-0.0472656;37.524;1.00126
99000;-0.245093;37.524;1.00653
100000;-0.044931;37.524;1.0012
101000;-0.00463333;37.524;1.00012
102000;-1.3726;37.524;1.03658
103000;-0.178828;37.524;1.00477
104000;-0.00454665;37.524;1.00012
105000;-0.0176899;37.524;1.00047
106000;-0.0379281;37.524;1.00101
107000;-0.0143963;37.524;1.00038
108000;-0.0732087;37.524;1.00195
109000;-0.0260735;37.524;1.00069
110000;-0.0120392;37.524;1.00032
111000;-0.0343845;37.524;1.00092
112000;-0.00576336;37.524;1.00015
113000;-0.0373793;37.524;1.001
114000;-0.153314;37.524;1.00409
115000;-0.00983518;37.524;1.00026
116000;-0.00607526;37.524;1.00016
117000;-0.0153352;37.524;1.00041
118000;-0.0340579;37.524;1.00091
119000;-0.0281805;37.524;1.00075
120000;-0.00437985;37.524;1.00012
121000;-0.00331004;37.524;1.00009
122000;-0.0101395;37.524;1.00027
123000;-0.0186447;37.524;1.0005
124000;-0.00763894;37.524;1.0002
125000;-0.0366487;37.524;1.00098
126000;-0.37864;37.524;1.01009
127000;-0.00678502;37.524;1.00018
128000;-0.0204541;37.524;1.00055
129000;-0.0536214;37.524;1.00143
130000;-0.0111474;37.524;1.0003
131000;-0.0290683;37.524;1.00077
132000;-0.0206008;37.524;1.00055
133000;-0.00692209;37.524;1.00018
134000;-0.0133797;37.524;1.00036
135000;-0.0572776;37.524;1.00153
136000;-0.0221753;37.524;1.00059
137000;-0.00439274;37.524;1.00012
138000;-0.00625287;37.524;1.00017
139000;-0.0480672;37.524;1.00128
140000;-0.0123806;37.524;1.00033
141000;-0.00706254;37.524;1.00019
142000;-0.159383;37.524;1.00425
143000;-0.00828591;37.524;1.00022
144000;-0.0152322;37.524;1.00041
145000;-0.0135215;37.524;1.00036
146000;-0.0273493;37.524;1.00073
147000;-0.0158379;37.524;1.00042
148000;-0.0336324;37.524;1.0009
149000;-0.00488664;37.524;1.00013
150000;-0.00667032;37.524;1.00018
151000;-0.149636;37.524;1.00399
152000;-0.00483251;37.524;1.00013
153000;-0.0252167;37.524;1.00067
154000;-0.00536498;37.524;1.00014
155000;-0.673119;37.524;1.01794
156000;-0.00707888;37.524;1.00019
157000;-0.210245;37.524;1.0056
158000;-0.00809426;37.524;1.00022
159000;-0.00739617;37.524;1.0002
160000;-0.00644728;37.524;1.00017
161000;-0.112146;37.524;1.00299
162000;-0.00739003;37.524;1.0002
163000;-0.00414128;37.524;1.00011
164000;-0.0131757;37.524;1.00035
165000;-0.16375;37.524;1.00436
166000;-0.0529008;37.524;1.00141
167000;-0.00401958;37.524;1.00011
168000;-0.00485829;37.524;1.00013
169000;-0.0760854;37.524;1.00203
170000;-0.0237985;37.524;1.00063
171000;-0.0104993;37.524;1.00028
172000;-0.00735783;37.524;1.0002
173000;-0.00831395;37.524;1.00022
174000;-0.0131951;37.524;1.00035
175000;-0.0262223;37.524;1.0007
176000;-0.00536321;37.524;1.00014
177000;-0.0118059;37.524;1.00031
178000;-0.010233;37.524;1.00027
179000;-0.0097012;37.524;1.00026
180000;-0.0323818;37.524;1.00086
181000;-0.00562619;37.524;1.00015
182000;-0.00716604;37.524;1.00019
183000;-0.0222938;37.524;1.00059
184000;-0.784769;37.524;1.02091
185000;-0.00707641;37.524;1.00019
186000;-0.590753;37.524;1.01574
187000;-0.0120999;37.524;1.00032
188000;-0.00739985;37.524;1.0002
189000;-0.0412699;37.524;1.0011
190000;-1.15055;37.524;1.03066
191000;-0.00506122;37.524;1.00013
192000;-0.0062793;37.524;1.00017
193000;-0.0248395;37.524;1.00066
194000;-0.00490756;37.524;1.00013
195000;-0.211062;37.524;1.00562
196000;-0.00473443;37.524;1.00013
197000;-0.092557;37.524;1.00247
198000;-0.0643223;37.524;1.00171
199000;-0.0331055;37.524;1.00088
200000;-0.116254;37.524;1.0031
201000;-0.0152603;37.524;1.00041
202000;-0.100184;37.524;1.00267
203000;-1.01884;37.524;1.02715
204000;-0.0189847;37.524;1.00051
205000;-0.020942;37.524;1.00056
206000;-0.0287067;37.524;1.00077
207000;-0.863817;37.524;1.02302
208000;-0.0287528;37.524;1.00077
209000;-0.0559843;37.524;1.00149
210000;-0.0250602;37.524;1.00067
211000;-0.0115927;37.524;1.00031
212000;-0.0343405;37.524;1.00092
213000;-0.00642356;37.524;1.00017
214000;-0.00730238;37.524;1.00019
215000;-0.0136963;37.524;1.00036
216000;-0.00546646;37.524;1.00015
217000;-0.0223489;37.524;1.0006
218000;-0.0241553;37.524;1.00064
219000;-0.0518977;37.524;1.00138
220000;-0.00614109;37.524;1.00016
221000;-0.0176764;37.524;1.00047
222000;-0.0306881;37.524;1.00082
223000;-0.00998084;37.524;1.00027
224000;-0.0201945;37.524;1.00054
225000;-0.00871513;37.524;1.00023
226000;-0.00650034;37.524;1.00017
227000;-0.0836958;37.524;1.00223
228000;-0.00559615;37.524;1.00015
229000;-0.00455812;37.524;1.00012
230000;-0.0667748;37.524;1.00178
231000;-0.0153966;37.524;1.00041
232000;-0.0296926;37.524;1.00079
233000;-0.112609;37.524;1.003
234000;-0.01454;37.524;1.00039
235000;-0.217817;37.524;1.0058
236000;-0.0661358;37.524;1.00176
237000;-0.116959;37.524;1.00312
238000;-0.0281996;37.524;1.00075
239000;-0.00650693;37.524;1.00017
240000;-0.00558953;37.524;1.00015
241000;-0.0292664;37.524;1.00078
242000;-0.00648134;37.524;1.00017
243000;-0.0274353;37.524;1.00073
244000;-0.0722616;37.524;1.00193
245000;-0.0842844;37.524;1.00225
246000;-0.0705047;37.524;1.00188
247000;-0.0247863;37.524;1.00066
248000;-0.60579;37.524;1.01614
249000;-0.0132901;37.524;1.00035
250000;-0.0317251;37.524;1.00085
251000;-0.0947867;37.524;1.00253
252000;-0.024213;37.524;1.00065
253000;-0.0206002;37.524;1.00055
254000;-0.00596491;37.524;1.00016
255000;-0.588297;37.524;1.01568
256000;-0.0139835;37.524;1.00037
257000;-0.340979;37.524;1.00909
258000;-0.00733193;37.524;1.0002
259000;-0.0129666;37.524;1.00035
260000;-0.16856;37.524;1.00449
261000;-0.0380285;37.524;1.00101
262000;-0.0197586;37.524;1.00053
263000;-0.0163979;37.524;1.00044
264000;-0.0147761;37.524;1.00039
265000;-0.046844;37.524;1.00125
266000;-1.45893;37.524;1.03888
267000;-0.0188245;37.524;1.0005
268000;-0.0109169;37.524;1.00029
269000;-0.00521451;37.524;1.00014
270000;-0.00734196;37.524;1.0002
271000;-0.0829721;37.524;1.00221
272000;-0.0315274;37.524;1.00084
273000;-0.0806707;37.524;1.00215
274000;-0.00500369;37.524;1.00013
275000;-0.0188091;37.524;1.0005
276000;-0.0225136;37.524;1.0006
277000;-0.0440507;37.524;1.00117
278000;-0.00210483;37.524;1.00006
279000;-0.0280577;37.524;1.00075
280000;-35.5709;37.524;1.94795
281000;-0.0227349;37.524;1.00061
282000;-0.0688404;37.524;1.00183
283000;-0.0190232;37.524;1.00051
284000;-0.019422;37.524;1.00052
285000;-0.911313;37.524;1.02429
286000;-0.00792141;37.524;1.00021
287000;-0.256574;37.524;1.00684
288000;-0.00623965;37.524;1.00017
289000;-0.264147;37.524;1.00704
290000;-0.00623645;37.524;1.00017
291000;-0.347925;37.524;1.00927
292000;-0.0559186;37.524;1.00149
293000;-0.00395375;37.524;1.00011
294000;-0.0185812;37.524;1.0005
295000;-0.0440093;37.524;1.00117
296000;-0.0116521;37.524;1.00031
297000;-0.0428654;37.524;1.00114
298000;-0.0218422;37.524;1.00058
299000;-0.0148666;37.524;1.0004
300000;-0.179243;37.524;1.00478
301000;-0.0373857;37.524;1.001
302000;-0.104166;37.524;1.00278
303000;-0.0906374;37.524;1.00242
304000;-0.00743779;37.524;1.0002
305000;-0.0104977;37.524;1.00028
306000;-0.246134;37.524;1.00656
307000;-0.00666017;37.524;1.00018
308000;-0.474327;37.524;1.01264
309000;-0.0119741;37.524;1.00032
310000;-0.233157;37.524;1.00621
