nSimulations;Vega_MC;Vega_BS;Relative_Error
1000;0;37.524;1
2000;0;37.524;1
3000;0;37.524;1
4000;-0.0970896;37.524;1.00259
5000;0;37.524;1
6000;0.138326;37.524;0.996314
7000;0.140648;37.524;0.996252
8000;-0.0686294;37.524;1.00183
9000;-0.000786637;37.524;1.00002
10000;-0.00232584;37.524;1.00006
11000;-0.0024209;37.524;1.00006
12000;0.0200645;37.524;0.999465
13000;-0.00335002;37.524;1.00009
14000;-8.79175e-05;37.524;1
15000;-0.00722717;37.524;1.00019
16000;0;37.524;1
17000;0.201268;37.524;0.994636
18000;-0.00224259;37.524;1.00006
19000;0.0015124;37.524;0.99996
20000;-1.22169;37.524;1.03256
21000;0.00139494;37.524;0.999963
22000;0.000296534;37.524;0.999992
23000;-0.00806285;37.524;1.00021
24000;-0.0506328;37.524;1.00135
25000;0.0252389;37.524;0.999327
26000;0.0106646;37.524;0.999716
27000;-0.00158884;37.524;1.00004
28000;-0.0414467;37.524;1.0011
29000;-0.0456049;37.524;1.00122
30000;-0.519693;37.524;1.01385
31000;-2.74417;37.524;1.07313
32000;0.00100787;37.524;0.999973
33000;-0.0657498;37.524;1.00175
34000;-0.00107481;37.524;1.00003
35000;-0.00939575;37.524;1.00025
36000;0.0022542;37.524;0.99994
37000;-6.33311e-05;37.524;1
38000;-0.00125382;37.524;1.00003
39000;-0.0233574;37.524;1.00062
40000;-0.000467972;37.524;1.00001
41000;-0.0196161;37.524;1.00052
42000;-0.00615063;37.524;1.00016
43000;-0.0979335;37.524;1.00261
44000;-0.0261794;37.524;1.0007
45000;-0.0299405;37.524;1.0008
46000;0.0290894;37.524;0.999225
47000;0.0065982;37.524;0.999824
48000;-41.5816;37.524;2.10813
49000;-7.90995;37.524;1.2108
50000;-0.0100508;37.524;1.00027
51000;0.0042294;37.524;0.999887
52000;-0.0096549;37.524;1.00026
53000;-0.0379397;37.524;1.00101
54000;8.99815;37.524;0.760203
55000;-0.311404;37.524;1.0083
56000;2.66094;37.524;0.929087
57000;-0.0265584;37.524;1.00071
58000;-0.0486069;37.524;1.0013
59000;-0.0060522;37.524;1.00016
60000;0.0191477;37.524;0.99949
61000;-0.938951;37.524;1.02502
62000;3.24732;37.524;0.91346
63000;-0.0158416;37.524;1.00042
64000;0.00112511;37.524;0.99997
65000;-0.0219947;37.524;1.00059
66000;-0.00810084;37.524;1.00022
67000;-0.00798922;37.524;1.00021
68000;0.103917;37.524;0.997231
69000;0.132916;37.524;0.996458
70000;-0.11185;37.524;1.00298
71000;-0.0305975;37.524;1.00082
72000;-0.00893394;37.524;1.00024
73000;0.126794;37.524;0.996621
74000;-0.177779;37.524;1.00474
75000;0.0309781;37.524;0.999174
76000;0.175369;37.524;0.995326
77000;0.279864;37.524;0.992542
78000;0.0353964;37.524;0.999057
79000;0.00132625;37.524;0.999965
80000;0.00454533;37.524;0.999879
81000;-0.0452089;37.524;1.0012
82000;-0.0349114;37.524;1.00093
83000;-0.0021909;37.524;1.00006
84000;-0.176769;37.524;1.00471
85000;-0.00790454;37.524;1.00021
86000;-0.0334157;37.524;1.00089
87000;-0.0127171;37.524;1.00034
88000;0.167238;37.524;0.995543
89000;-0.0394905;37.524;1.00105
90000;-0.0769841;37.524;1.00205
91000;-0.0273257;37.524;1.00073
92000;-4.84726;37.524;1.12918
93000;-0.00781443;37.524;1.00021
94000;-0.017813;37.524;1.00047
95000;-0.0800736;37.524;1.00213
96000;-15.9035;37.524;1.42382
97000;0.301663;37.524;0.991961
98000;-0.00355024;37.524;1.00009
99000;0.0290234;37.524;0.999227
100000;-0.0539058;37.524;1.00144
101000;-0.00667567;37.524;1.00018
102000;-0.0217874;37.524;1.00058
103000;-0.175102;37.524;1.00467
104000;-0.0305178;37.524;1.00081
105000;-0.00495195;37.524;1.00013
106000;0.00278093;37.524;0.999926
107000;0.0961903;37.524;0.997437
108000;-0.0103187;37.524;1.00027
109000;0.0254407;37.524;0.999322
110000;0.0489937;37.524;0.998694
111000;-0.107657;37.524;1.00287
112000;6.14569;37.524;0.83622
113000;-0.0273756;37.524;1.00073
114000;-0.0135232;37.524;1.00036
115000;-0.0194903;37.524;1.00052
116000;-0.00345089;37.524;1.00009
117000;-0.00259043;37.524;1.00007
118000;0.0211324;37.524;0.999437
119000;-0.00364438;37.524;1.0001
120000;-0.0252978;37.524;1.00067
121000;0.0290093;37.524;0.999227
122000;-5.23901;37.524;1.13962
123000;-0.0152029;37.524;1.00041
124000;-0.00126291;37.524;1.00003
125000;-0.00806468;37.524;1.00021
126000;0.411937;37.524;0.989022
127000;-0.00353627;37.524;1.00009
128000;0.0868348;37.524;0.997686
129000;-5.57692;37.524;1.14862
130000;-0.452837;37.524;1.01207
131000;-0.0100398;37.524;1.00027
132000;-0.0205025;37.524;1.00055
133000;-0.081335;37.524;1.00217
134000;-0.013045;37.524;1.00035
135000;0.021507;37.524;0.999427
136000;-0.00401617;37.524;1.00011
137000;0.0651613;37.524;0.998263
138000;-0.0207458;37.524;1.00055
139000;1.79858;37.524;0.952069
140000;-0.128173;37.524;1.00342
141000;-0.00741279;37.524;1.0002
142000;-0.115695;37.524;1.00308
143000;-0.128466;37.524;1.00342
144000;0.0293842;37.524;0.999217
145000;-0.0750047;37.524;1.002
146000;-0.0369593;37.524;1.00098
147000;-0.0387819;37.524;1.00103
148000;-0.0158608;37.524;1.00042
149000;-0.0329706;37.524;1.00088
150000;0.043273;37.524;0.998847
151000;-0.0168653;37.524;1.00045
152000;0.0101501;37.524;0.99973
153000;-30.8817;37.524;1.82298
154000;0.0706894;37.524;0.998116
155000;-0.0217509;37.524;1.00058
156000;-3.55384;37.524;1.09471
157000;0.00437314;37.524;0.999883
158000;-0.509236;37.524;1.01357
159000;-2.77619;37.524;1.07398
160000;-0.148747;37.524;1.00396
161000;0.131596;37.524;0.996493
162000;-0.0627187;37.524;1.00167
163000;-5.12595;37.524;1.1366
164000;-4.5097;37.524;1.12018
165000;-0.00758679;37.524;1.0002
166000;0.0739987;37.524;0.998028
167000;-0.0664806;37.524;1.00177
168000;0.0445941;37.524;0.998812
169000;-0.00392444;37.524;1.0001
170000;-0.00175919;37.524;1.00005
171000;0.146417;37.524;0.996098
172000;-0.218571;37.524;1.00582
173000;0.00146498;37.524;0.999961
174000;-0.0327093;37.524;1.00087
175000;0.0100033;37.524;0.999733
176000;-0.0268951;37.524;1.00072
177000;-0.646069;37.524;1.01722
178000;-0.0311287;37.524;1.00083
179000;-0.0205619;37.524;1.00055
180000;-0.0853833;37.524;1.00228
181000;-0.038603;37.524;1.00103
182000;-0.0382897;37.524;1.00102
183000;0.0263829;37.524;0.999297
184000;0.00924766;37.524;0.999754
185000;-0.053819;37.524;1.00143
186000;-0.0198836;37.524;1.00053
187000;0.160443;37.524;0.995724
188000;-0.00129238;37.524;1.00003
189000;-0.0683525;37.524;1.00182
190000;-0.373129;37.524;1.00994
191000;-0.273312;37.524;1.00728
192000;-0.0273757;37.524;1.00073
193000;-0.918124;37.524;1.02447
194000;-0.0628903;37.524;1.00168
195000;-0.537546;37.524;1.01433
196000;0.799951;37.524;0.978682
197000;-0.00491774;37.524;1.00013
198000;0.0715951;37.524;0.998092
199000;0.00032292;37.524;0.999991
200000;-0.0952581;37.524;1.00254
201000;-0.0221876;37.524;1.00059
202000;-0.0133024;37.524;1.00035
203000;-1000.28;37.524;27.657
204000;-0.56954;37.524;1.01518
205000;-0.0011265;37.524;1.00003
206000;-0.409346;37.524;1.01091
207000;-0.159233;37.524;1.00424
208000;-0.0337003;37.524;1.0009
209000;-0.0303552;37.524;1.00081
210000;-0.32839;37.524;1.00875
211000;-0.192186;37.524;1.00512
212000;1.14447;37.524;0.9695
213000;-0.0174186;37.524;1.00046
214000;-0.0452363;37.524;1.00121
215000;-0.119041;37.524;1.00317
216000;-1.88168;37.524;1.05015
217000;-0.105538;37.524;1.00281
218000;0.0429338;37.524;0.998856
219000;-0.0563598;37.524;1.0015
220000;-0.0276109;37.524;1.00074
221000;0.00625185;37.524;0.999833
222000;-0.0239235;37.524;1.00064
223000;-0.0140344;37.524;1.00037
224000;-0.0152587;37.524;1.00041
225000;-0.0175666;37.524;1.00047
226000;0.0205704;37.524;0.999452
227000;-0.097407;37.524;1.0026
228000;0.0308651;37.524;0.999177
229000;-0.186756;37.524;1.00498
230000;-0.0113535;37.524;1.0003
231000;-0.027131;37.524;1.00072
232000;-0.0034978;37.524;1.00009
233000;-0.0438628;37.524;1.00117
234000;-0.336885;37.524;1.00898
235000;-0.140582;37.524;1.00375
236000;-0.0170146;37.524;1.00045
237000;0.00220519;37.524;0.999941
238000;2.01242;37.524;0.94637
239000;-0.0113121;37.524;1.0003
240000;-0.00067376;37.524;1.00002
241000;-2.05172;37.524;1.05468
242000;152.285;37.524;3.05832
243000;-0.134778;37.524;1.00359
244000;-23.5665;37.524;1.62804
245000;0.26965;37.524;0.992814
246000;-0.129295;37.524;1.00345
247000;-0.0841146;37.524;1.00224
248000;-0.0809119;37.524;1.00216
