Run;Delta_PW;Delta_PW_Ant;Delta_PW_Ant_CV
0;0.581891;0.590477;5.22204
1;0.584138;0.588223;5.21547
2;0.585353;0.590029;5.22952
3;0.584834;0.5914;5.22553
4;0.588202;0.59064;5.22197
5;0.589659;0.589373;5.23924
6;0.591992;0.589183;5.21515
7;0.596519;0.591295;5.23988
8;0.584123;0.58937;5.21535
9;0.58652;0.588023;5.21774
10;0.593381;0.589461;5.2241
11;0.589171;0.590159;5.22601
12;0.592958;0.591089;5.2172
13;0.588225;0.591043;5.2311
14;0.593697;0.591193;5.20967
15;0.591748;0.59017;5.20256
16;0.586053;0.589702;5.21467
17;0.588691;0.589411;5.22246
18;0.592476;0.589975;5.21869
19;0.596086;0.589485;5.23735
20;0.592091;0.589785;5.21919
21;0.592796;0.589979;5.20943
22;0.593382;0.59012;5.21881
23;0.592487;0.590527;5.21765
24;0.592088;0.590567;5.21564
25;0.58671;0.589085;5.22925
26;0.590965;0.589959;5.22325
27;0.590862;0.589298;5.22009
28;0.584044;0.590817;5.24242
29;0.592175;0.5923;5.22309
30;0.591857;0.590585;5.20258
31;0.588842;0.592;5.22906
32;0.587226;0.59179;5.21752
33;0.589971;0.589756;5.23225
34;0.588278;0.590653;5.21677
35;0.587914;0.590575;5.23594
36;0.590362;0.59244;5.22512
37;0.588588;0.590565;5.24707
38;0.603935;0.588101;5.21522
39;0.588814;0.590229;5.22651
40;0.587868;0.590239;5.22539
41;0.587398;0.59064;5.23099
42;0.589978;0.589282;5.21911
43;0.586095;0.588501;5.23303
44;0.585342;0.58992;5.22202
45;0.592739;0.590507;5.23471
46;0.594799;0.589904;5.21997
47;0.597342;0.590932;5.22659
48;0.592667;0.589951;5.21476
49;0.592139;0.589392;5.23385
50;0.591577;0.591486;5.22339
51;0.580494;0.590537;5.21997
52;0.586284;0.590733;5.21838
53;0.597247;0.590201;5.21684
54;0.58558;0.590893;5.24001
55;0.587075;0.591648;5.21602
56;0.588537;0.589184;5.22011
57;0.588475;0.588898;5.22147
58;0.587974;0.589031;5.22157
59;0.593863;0.590638;5.21574
60;0.586857;0.589468;5.22464
61;0.586549;0.590441;5.23418
62;0.590718;0.591635;5.22755
63;0.591034;0.589014;5.21219
64;0.588016;0.589429;5.22676
65;0.584816;0.589697;5.21336
66;0.588875;0.588598;5.22043
67;0.589188;0.589422;5.21972
68;0.5926;0.590833;5.22986
69;0.59959;0.590585;5.21358
70;0.587992;0.588371;5.22484
71;0.590256;0.5893;5.22547
72;0.592275;0.589531;5.22417
73;0.587728;0.588782;5.23485
74;0.590299;0.591923;5.21761
75;0.590432;0.589502;5.22721
76;0.5843;0.590637;5.22945
77;0.586989;0.590807;5.23534
78;0.5873;0.59072;5.21711
79;0.581552;0.590609;5.23746
80;0.593312;0.591233;5.21598
81;0.584511;0.590363;5.20982
82;0.5936;0.590541;5.21375
83;0.596779;0.589638;5.22036
84;0.589935;0.590304;5.22507
85;0.589801;0.590504;5.21494
86;0.594885;0.590123;5.23142
87;0.589038;0.590133;5.23128
88;0.592628;0.589372;5.23634
89;0.590054;0.589141;5.21284
90;0.593292;0.589116;5.22401
91;0.587655;0.589577;5.22535
92;0.589488;0.590857;5.23697
93;0.591264;0.590089;5.21552
94;0.595144;0.591278;5.22994
95;0.588613;0.590796;5.24134
96;0.589459;0.590377;5.22931
97;0.598033;0.592531;5.21708
98;0.598113;0.589841;5.21629
99;0.585345;0.591089;5.22284
100;0.591567;0.591354;5.21262
101;0.585016;0.590248;5.21631
102;0.593593;0.590355;5.22286
103;0.592919;0.593229;5.22961
104;0.587881;0.586964;5.22117
105;0.588275;0.59005;5.2224
106;0.5868;0.589085;5.21357
107;0.58873;0.588778;5.22063
108;0.594573;0.589237;5.20321
109;0.602477;0.589364;5.22121
110;0.585443;0.589246;5.22376
111;0.594652;0.591393;5.21871
112;0.588766;0.588629;5.21499
113;0.586483;0.589231;5.23268
114;0.590179;0.587653;5.21893
115;0.597718;0.590291;5.2119
116;0.589173;0.591726;5.23408
117;0.592207;0.590265;5.23262
118;0.593068;0.589678;5.2433
119;0.591878;0.588976;5.24025
120;0.585712;0.590864;5.22567
121;0.588441;0.590277;5.22455
122;0.586439;0.591506;5.22235
123;0.594119;0.590111;5.22472
124;0.580953;0.590596;5.22255
125;0.599137;0.590692;5.23533
126;0.589712;0.589971;5.22607
127;0.59419;0.59012;5.22108
128;0.591651;0.588851;5.2257
129;0.584889;0.59109;5.21014
130;0.59126;0.589471;5.21883
131;0.592246;0.589151;5.21167
132;0.595006;0.591458;5.22225
133;0.593612;0.590524;5.21539
134;0.588704;0.588519;5.23623
135;0.589313;0.589794;5.2218
136;0.590639;0.590718;5.21593
137;0.587419;0.590696;5.21314
138;0.583599;0.591221;5.22168
139;0.593356;0.591208;5.22878
140;0.590421;0.590628;5.22535
141;0.597985;0.589101;5.23564
142;0.584593;0.58981;5.22166
143;0.595032;0.591163;5.23406
144;0.594208;0.591583;5.21676
145;0.586341;0.592174;5.22629
