S0;Delta_PW;Delta_PW_Ant;Delta_PW_Ant_CV;Delta_Geo_Exact
50;0;0;nan;6.28195e-09
52;0;0;nan;4.64143e-08
54;0;0;nan;2.8749e-07
56;0;1.69962e-05;nan;1.51841e-06
58;0;1.69535e-05;4.03778e-05;6.94143e-06
60;3.55865e-05;3.23942e-05;2.71349e-05;2.78327e-05
62;0.000124318;0.000109911;0.000267916;9.90414e-05
64;0.000219206;0.000429473;0.00056492;0.000316077
66;0.000683476;0.000773342;0.00110344;0.000913204
68;0.00181954;0.00198423;0.00294271;0.0024089
70;0.00379298;0.00362846;0.0066998;0.00584602
72;0.00679357;0.00691437;0.0145975;0.0131432
74;0.0134735;0.0131387;0.029037;0.0275471
76;0.0204624;0.0215109;0.0554516;0.054135
78;0.0359383;0.0354416;0.100742;0.100275
80;0.0557707;0.0547709;0.173456;0.175919
82;0.0786373;0.0784595;0.2861;0.293613
84;0.116158;0.112816;0.4511;0.468121
86;0.152651;0.156656;0.683646;0.715674
88;0.203018;0.203208;0.998408;1.05287
90;0.262279;0.26019;1.40825;1.49541
92;0.323995;0.321138;1.9197;2.05681
94;0.387576;0.38851;2.53721;2.7473
96;0.461571;0.455282;3.18673;3.57309
98;0.527661;0.524558;3.13043;4.536
100;0.591977;0.589327;5.21607;5.63355
102;0.650151;0.65164;6.36676;6.85947
104;0.710445;0.708965;7.61772;8.2044
106;0.758867;0.760005;8.92829;9.65683
108;0.804419;0.803631;10.2841;11.2039
110;0.843377;0.840491;11.6638;12.8326
112;0.869887;0.871417;13.1472;14.5298
114;0.897987;0.896087;14.4772;16.2837
116;0.9169;0.916751;15.843;18.0833
118;0.932072;0.932988;17.2398;19.9193
120;0.944573;0.944571;18.6752;21.7836
122;0.95377;0.953107;19.7953;23.6696
124;0.959085;0.959925;20.3242;25.5721
126;0.965743;0.964999;22.0309;27.4867
128;0.969874;0.968537;22.4726;29.4104
130;0.97104;0.970835;23.0222;31.3405
132;0.972447;0.97253;24.0537;33.2752
134;0.97403;0.97367;23.9647;35.2132
136;0.974101;0.97432;25.4899;37.1535
138;0.975106;0.974867;25.886;39.0954
140;0.975527;0.97532;28.7531;41.0383
142;0.975941;0.975478;34.6398;42.982
144;0.975696;0.975566;34.2218;44.9262
146;0.975977;0.975825;42.9018;46.8707
148;0.976104;0.975828;43.3772;48.8154
150;0.976215;0.975901;50.3143;50.7603
