Run;Delta_MC;Delta_Antithetic
0;0.633124;0.638164
1;0.638899;0.637559
2;0.639722;0.637254
3;0.640486;0.637723
4;0.630264;0.639543
5;0.639346;0.635103
6;0.632968;0.636509
7;0.642382;0.635849
8;0.634384;0.639485
9;0.640543;0.636707
10;0.634551;0.63801
11;0.637191;0.634662
12;0.63697;0.63379
13;0.640905;0.637552
14;0.635086;0.637421
15;0.633565;0.636124
16;0.637739;0.639514
17;0.644182;0.635028
18;0.640526;0.637806
19;0.641856;0.638365
20;0.636358;0.635042
21;0.638549;0.634176
22;0.634795;0.636944
23;0.631489;0.635373
24;0.632457;0.635646
25;0.637339;0.637387
26;0.631023;0.637361
27;0.641837;0.636696
28;0.64168;0.638281
29;0.64044;0.636273
30;0.641788;0.635853
31;0.639713;0.634827
32;0.637624;0.635363
33;0.633019;0.635374
34;0.637598;0.634378
35;0.63669;0.638354
36;0.63454;0.637331
37;0.637772;0.63738
38;0.636976;0.636952
39;0.629216;0.635291
40;0.633975;0.639636
41;0.644678;0.63726
42;0.637485;0.63639
43;0.634252;0.635645
44;0.636231;0.636007
45;0.637868;0.636478
46;0.633265;0.636112
47;0.642726;0.639963
48;0.630602;0.638086
49;0.641859;0.637933
50;0.645687;0.635376
51;0.63964;0.635597
52;0.636135;0.63718
53;0.636934;0.635435
54;0.639116;0.637554
55;0.633507;0.635723
56;0.642198;0.637395
57;0.637251;0.6365
58;0.639735;0.63312
59;0.635814;0.637851
60;0.633293;0.637078
61;0.639001;0.637719
62;0.641712;0.637511
63;0.636429;0.635798
64;0.632225;0.635901
65;0.630941;0.635021
66;0.637298;0.634865
67;0.631855;0.636714
68;0.635728;0.636601
69;0.637655;0.637574
70;0.635455;0.636724
71;0.646566;0.636875
72;0.641723;0.636304
73;0.632765;0.636126
74;0.636636;0.638222
75;0.631736;0.636435
76;0.634472;0.638575
77;0.64021;0.634098
78;0.632146;0.636318
79;0.636191;0.639316
80;0.639713;0.636267
81;0.639939;0.63394
82;0.628288;0.635866
83;0.631106;0.639049
84;0.636868;0.636496
85;0.631529;0.634977
86;0.638629;0.637881
87;0.631814;0.634314
88;0.637999;0.636611
89;0.632082;0.636526
90;0.636054;0.636662
91;0.638223;0.636186
92;0.63813;0.636155
93;0.64198;0.636258
94;0.640404;0.636533
95;0.633399;0.638437
96;0.639394;0.637556
97;0.64022;0.635565
98;0.639834;0.63728
99;0.637099;0.637095
100;0.634646;0.636351
101;0.636643;0.634842
102;0.642796;0.632079
103;0.635024;0.635921
104;0.640227;0.637678
105;0.637521;0.639925
106;0.6362;0.638606
107;0.635763;0.63434
108;0.642789;0.6392
109;0.630481;0.634885
110;0.633054;0.634729
111;0.634249;0.637575
112;0.631712;0.634022
113;0.641683;0.637477
114;0.635165;0.636898
115;0.64397;0.635243
116;0.634056;0.638449
117;0.636086;0.639118
118;0.635718;0.639055
119;0.636197;0.635878
120;0.635614;0.638551
121;0.639632;0.637364
122;0.636591;0.634818
123;0.643076;0.638457
124;0.631271;0.637812
125;0.63732;0.639429
126;0.640655;0.63729
127;0.637305;0.637949
128;0.635585;0.637278
129;0.632238;0.63821
130;0.634357;0.635928
131;0.637544;0.63617
132;0.641789;0.635395
133;0.63846;0.639645
134;0.630451;0.637119
135;0.637033;0.636272
136;0.632042;0.634418
137;0.630564;0.632738
138;0.634562;0.635756
139;0.631331;0.637388
140;0.634281;0.638388
141;0.635175;0.638953
142;0.649276;0.635446
143;0.6294;0.633903
144;0.637803;0.639042
145;0.642956;0.639198
146;0.639575;0.633241
147;0.639746;0.637928
148;0.635969;0.636691
149;0.642232;0.637175
150;0.633723;0.635639
151;0.630264;0.636904
152;0.638762;0.635944
153;0.629668;0.638581
154;0.63829;0.638646
155;0.630317;0.634723
156;0.636658;0.638073
157;0.637616;0.636371
158;0.64027;0.639962
159;0.635997;0.638621
160;0.636416;0.633993
161;0.637158;0.63688
162;0.630448;0.6376
163;0.640401;0.637498
164;0.645424;0.636896
165;0.639222;0.636679
166;0.636462;0.635489
167;0.638553;0.636639
168;0.636087;0.638103
169;0.644608;0.639364
170;0.636722;0.638716
171;0.633617;0.639178
172;0.629808;0.636753
173;0.643347;0.636211
174;0.643737;0.635956
175;0.639396;0.636375
176;0.632612;0.63965
177;0.636304;0.63659
178;0.630673;0.638416
179;0.629863;0.636932
180;0.635655;0.635147
181;0.636062;0.63945
182;0.644054;0.636467
183;0.641874;0.636677
184;0.634359;0.636614
185;0.643725;0.635593
186;0.642453;0.635902
187;0.633944;0.637094
188;0.634815;0.636666
189;0.639271;0.637931
190;0.631156;0.637129
191;0.62932;0.637512
192;0.628936;0.636005
193;0.639631;0.638186
194;0.639965;0.639298
195;0.639376;0.63424
196;0.632262;0.635386
197;0.643093;0.636177
198;0.640273;0.634685
199;0.63453;0.638276
200;0.644745;0.638552
201;0.639423;0.635456
202;0.63008;0.63498
203;0.631244;0.635027
204;0.641326;0.638897
205;0.635476;0.636375
206;0.637152;0.636521
207;0.639637;0.63744
208;0.635808;0.635954
209;0.626925;0.635856
210;0.6374;0.636851
211;0.644866;0.63804
212;0.643257;0.636084
213;0.62855;0.634237
214;0.639526;0.635349
215;0.640641;0.635111
216;0.648542;0.636025
217;0.636016;0.637814
218;0.637617;0.637199
219;0.635348;0.63526
220;0.641294;0.63538
221;0.638225;0.636749
222;0.638619;0.636337
223;0.638556;0.637463
224;0.642634;0.63705
225;0.634046;0.636196
226;0.644579;0.636602
227;0.633755;0.637658
228;0.63324;0.634534
229;0.630104;0.634982
230;0.635062;0.639378
231;0.638424;0.636002
232;0.635428;0.636583
233;0.634069;0.635206
234;0.638287;0.637837
235;0.637265;0.63476
236;0.631867;0.636355
237;0.631336;0.637668
238;0.638032;0.640029
239;0.638136;0.636388
240;0.647783;0.636595
241;0.632269;0.63885
242;0.628069;0.636292
243;0.646067;0.637486
244;0.640504;0.636575
245;0.635104;0.635044
246;0.633416;0.63623
247;0.636174;0.636417
248;0.636766;0.633399
249;0.640602;0.635907
250;0.637986;0.637941
251;0.633575;0.637435
252;0.63748;0.636899
253;0.639259;0.637134
254;0.639621;0.636801
255;0.637993;0.636689
256;0.636033;0.635132
257;0.635327;0.637385
258;0.637082;0.638175
259;0.636419;0.636197
260;0.642109;0.635767
261;0.638524;0.635947
262;0.639739;0.638288
263;0.642685;0.634909
264;0.63434;0.635903
265;0.64071;0.636559
266;0.6318;0.636766
267;0.641296;0.637892
268;0.632362;0.636817
269;0.643981;0.637085
270;0.643382;0.637922
271;0.635197;0.634705
272;0.635089;0.641418
273;0.634691;0.638542
274;0.635108;0.63798
275;0.642457;0.637178
276;0.645665;0.636234
277;0.629903;0.635831
278;0.642286;0.633983
279;0.636396;0.638016
280;0.630457;0.636524
281;0.642359;0.63822
282;0.637043;0.633982
283;0.64299;0.639068
284;0.638453;0.636239
285;0.635153;0.633255
286;0.639411;0.636352
287;0.628216;0.638757
288;0.634064;0.63624
289;0.639608;0.637242
290;0.64571;0.636265
291;0.63404;0.635174
292;0.640724;0.637087
293;0.638295;0.636367
294;0.634208;0.636012
295;0.633708;0.635969
296;0.632028;0.636643
297;0.63705;0.638366
298;0.634505;0.634331
299;0.633201;0.636389
