Run;Delta_MC;Delta_Antithetic
0;0.645185;0.635811
1;0.63242;0.635863
2;0.637601;0.636049
3;0.63535;0.637365
4;0.635858;0.637856
5;0.642301;0.637092
6;0.632783;0.638177
7;0.639111;0.636918
8;0.626353;0.637274
9;0.635581;0.636218
10;0.633657;0.6341
11;0.635037;0.638035
12;0.631018;0.634534
13;0.640039;0.635757
14;0.638421;0.637017
15;0.636399;0.639458
16;0.636841;0.637903
17;0.632976;0.637716
18;0.638257;0.637258
19;0.633644;0.634696
20;0.634455;0.635842
21;0.63686;0.637703
22;0.63565;0.636233
23;0.639359;0.637723
24;0.640814;0.636193
25;0.639029;0.635455
26;0.640362;0.636068
27;0.640911;0.636801
28;0.630719;0.637232
29;0.633847;0.63638
30;0.641656;0.636162
31;0.640931;0.635699
32;0.630812;0.635553
33;0.634338;0.635032
34;0.636113;0.637452
35;0.640675;0.635419
36;0.642203;0.636276
37;0.632026;0.636538
38;0.631093;0.636469
39;0.641287;0.635204
40;0.640246;0.637079
41;0.644479;0.63745
42;0.633072;0.636654
43;0.632931;0.636316
44;0.634846;0.638141
45;0.634928;0.636617
46;0.641136;0.6347
47;0.637043;0.635481
48;0.635206;0.636955
49;0.630839;0.637206
50;0.636105;0.637054
51;0.635197;0.637733
52;0.634969;0.638797
53;0.633363;0.635898
54;0.633648;0.638139
55;0.635662;0.637779
56;0.640821;0.637243
57;0.636613;0.636427
58;0.634515;0.636982
59;0.640906;0.637715
60;0.642216;0.636001
61;0.636083;0.637846
62;0.634643;0.639319
63;0.638453;0.635887
64;0.633449;0.634272
65;0.63454;0.634693
66;0.62839;0.636932
67;0.635914;0.637984
68;0.634706;0.636244
69;0.632802;0.634575
70;0.635246;0.636807
71;0.637571;0.635579
72;0.632076;0.636946
73;0.633594;0.636019
74;0.644938;0.635191
75;0.636439;0.638947
76;0.64281;0.637466
77;0.636559;0.637178
78;0.637955;0.637641
79;0.635383;0.634223
80;0.635336;0.635655
81;0.640183;0.635892
82;0.633492;0.634723
83;0.635476;0.636952
84;0.63467;0.637083
85;0.636557;0.635047
86;0.64038;0.637161
87;0.634441;0.635159
88;0.631456;0.63735
89;0.633617;0.634958
90;0.639029;0.636898
91;0.635973;0.63804
92;0.639319;0.636292
93;0.63418;0.637904
94;0.634265;0.638938
95;0.643297;0.63644
96;0.638937;0.634173
97;0.64193;0.635329
98;0.63146;0.637199
99;0.633611;0.636275
100;0.637351;0.636586
101;0.639997;0.637444
102;0.632202;0.636489
103;0.646341;0.635817
104;0.637794;0.635737
105;0.634481;0.634587
106;0.634484;0.636248
107;0.639354;0.637682
108;0.642354;0.636523
109;0.63757;0.63749
110;0.644692;0.635435
111;0.632984;0.633256
112;0.643307;0.638789
113;0.63336;0.633583
114;0.637978;0.636592
115;0.637902;0.634289
116;0.631228;0.637213
117;0.640189;0.637757
118;0.647097;0.63452
119;0.63413;0.635925
120;0.639315;0.637205
121;0.632942;0.638247
122;0.636021;0.63731
123;0.636108;0.634595
124;0.640835;0.636299
125;0.635314;0.634693
126;0.637611;0.637435
127;0.63819;0.6365
128;0.638;0.637553
129;0.637246;0.638737
130;0.638691;0.636462
131;0.637151;0.635645
132;0.640773;0.63453
133;0.643159;0.637612
134;0.635299;0.636986
135;0.638206;0.636236
136;0.633596;0.63612
137;0.634462;0.635877
138;0.641138;0.634998
139;0.638389;0.635894
140;0.63317;0.637263
141;0.633238;0.635488
142;0.638448;0.636535
143;0.635283;0.6369
144;0.638171;0.637228
145;0.636219;0.637175
146;0.629723;0.636324
147;0.640573;0.635634
148;0.635008;0.636494
149;0.633991;0.638077
150;0.638632;0.636196
151;0.636956;0.636782
152;0.640832;0.63777
153;0.638392;0.63671
154;0.645333;0.637469
155;0.636803;0.635318
156;0.639439;0.636567
157;0.640225;0.638444
158;0.643613;0.637728
159;0.628997;0.635653
160;0.639618;0.637815
161;0.639335;0.638606
162;0.63216;0.636053
163;0.636917;0.636954
164;0.63786;0.634862
165;0.637789;0.634542
166;0.633597;0.638839
167;0.642614;0.636108
168;0.640203;0.636968
169;0.638194;0.638632
170;0.638756;0.638365
171;0.642631;0.637585
172;0.628883;0.637614
173;0.634539;0.636162
174;0.635433;0.637728
175;0.634107;0.636147
176;0.643549;0.638489
177;0.639729;0.63734
178;0.635945;0.638308
179;0.637529;0.636387
180;0.633431;0.638273
181;0.639259;0.63522
182;0.642386;0.635113
183;0.633044;0.638416
184;0.633721;0.636171
185;0.635949;0.634463
186;0.639002;0.634679
187;0.636774;0.637652
188;0.638043;0.638493
189;0.638788;0.637056
190;0.639254;0.635926
191;0.632286;0.636044
192;0.636353;0.638383
193;0.635927;0.637274
194;0.634989;0.637543
195;0.640194;0.636848
196;0.633586;0.636085
197;0.635853;0.638438
198;0.633574;0.640148
199;0.641555;0.636539
200;0.637094;0.635158
201;0.635901;0.63569
202;0.630901;0.641661
203;0.641904;0.639393
204;0.643581;0.634845
205;0.63369;0.635517
206;0.633227;0.63424
207;0.631222;0.635279
208;0.643974;0.634341
209;0.643462;0.634534
210;0.637301;0.6368
211;0.639943;0.6361
212;0.639371;0.635256
213;0.640829;0.636507
214;0.634256;0.637481
215;0.641204;0.635412
216;0.638655;0.63653
217;0.642101;0.635349
218;0.631698;0.637533
219;0.638681;0.637805
220;0.640102;0.634287
221;0.639011;0.640632
222;0.633349;0.635753
223;0.639338;0.635766
224;0.63388;0.635399
225;0.634508;0.635857
226;0.636175;0.634467
227;0.639649;0.636487
228;0.636819;0.638917
229;0.630202;0.637294
230;0.634431;0.637534
231;0.638163;0.637284
232;0.63901;0.637279
233;0.637458;0.636961
234;0.6376;0.636067
235;0.634489;0.637507
236;0.633383;0.636631
237;0.63714;0.637027
238;0.633572;0.6373
239;0.642083;0.638043
240;0.635742;0.635996
241;0.64119;0.637647
242;0.642928;0.63643
243;0.639058;0.637029
244;0.635942;0.636721
245;0.635883;0.636994
246;0.633368;0.636324
247;0.636049;0.635337
248;0.632838;0.635887
249;0.644024;0.63367
250;0.632746;0.637244
251;0.638753;0.63662
252;0.635035;0.63711
253;0.634254;0.636343
254;0.632823;0.637409
255;0.629759;0.637092
256;0.631743;0.637819
257;0.640628;0.635859
258;0.637102;0.634969
259;0.633456;0.636268
260;0.643604;0.634059
261;0.636423;0.634255
262;0.631123;0.636727
263;0.635633;0.635269
264;0.638252;0.637048
265;0.6428;0.637206
266;0.645876;0.635721
267;0.633269;0.635952
268;0.6354;0.636087
269;0.639037;0.636519
270;0.635412;0.637098
271;0.637651;0.634089
272;0.636058;0.636988
273;0.628477;0.637022
274;0.641053;0.637612
275;0.641828;0.637913
276;0.634056;0.637864
277;0.635641;0.635692
278;0.640179;0.636955
279;0.633852;0.636878
280;0.63773;0.637126
281;0.636396;0.635975
282;0.629067;0.637223
283;0.634419;0.636738
284;0.636752;0.636282
285;0.639136;0.637421
286;0.63319;0.636863
287;0.641252;0.636728
288;0.638891;0.636773
289;0.632156;0.640216
290;0.635924;0.635928
291;0.63734;0.638074
292;0.636917;0.634868
293;0.639376;0.638046
294;0.63779;0.636561
295;0.638248;0.635575
296;0.632692;0.637344
297;0.632741;0.636821
298;0.636199;0.633965
299;0.642475;0.635945
300;0.63297;0.636114
301;0.629201;0.637268
302;0.637513;0.638312
303;0.635678;0.635624
304;0.631453;0.636468
305;0.63664;0.637129
306;0.6365;0.635116
307;0.642494;0.636949
308;0.638926;0.637062
309;0.636309;0.637371
310;0.643998;0.634306
311;0.63908;0.635487
312;0.63466;0.637686
313;0.636148;0.636132
314;0.629282;0.63691
315;0.632677;0.634497
316;0.635636;0.636601
317;0.640266;0.637908
318;0.632698;0.636432
319;0.638623;0.636845
320;0.634997;0.638362
321;0.639794;0.638406
322;0.637206;0.634894
323;0.635032;0.635141
324;0.638638;0.637071
325;0.636369;0.635797
326;0.637225;0.63817
327;0.64477;0.636098
328;0.636972;0.637901
329;0.630285;0.636014
330;0.636341;0.635794
331;0.632984;0.63666
332;0.639066;0.636318
333;0.635628;0.634884
334;0.639779;0.636153
335;0.634965;0.637058
336;0.6395;0.637723
337;0.632228;0.63506
338;0.627182;0.637393
339;0.636823;0.638972
340;0.643146;0.639349
341;0.639654;0.635559
342;0.6351;0.635885
343;0.640383;0.636083
344;0.634308;0.637498
345;0.642764;0.636647
346;0.637646;0.636771
347;0.634737;0.63711
348;0.639594;0.637432
349;0.637885;0.637509
350;0.645368;0.634355
351;0.642528;0.636064
352;0.641414;0.635245
353;0.630029;0.637968
354;0.634938;0.635212
355;0.640441;0.638249
356;0.630927;0.637795
357;0.636066;0.636658
358;0.637158;0.637452
359;0.640087;0.638846
360;0.632805;0.636668
361;0.630723;0.637472
362;0.629878;0.637274
363;0.633844;0.636793
364;0.638263;0.633084
365;0.644127;0.638291
366;0.634171;0.635384
367;0.62963;0.637151
368;0.636126;0.634326
369;0.636206;0.637483
370;0.637516;0.637291
371;0.632391;0.63698
372;0.63358;0.635601
373;0.640377;0.637245
374;0.636052;0.636665
375;0.639743;0.636604
376;0.639771;0.636599
377;0.643536;0.634409
378;0.643452;0.637185
379;0.634618;0.63794
380;0.637738;0.636205
381;0.635004;0.636486
382;0.642574;0.639615
383;0.633089;0.63695
384;0.63193;0.633525
385;0.638615;0.634638
386;0.629272;0.634298
387;0.632563;0.63599
388;0.633803;0.635965
389;0.638828;0.634687
390;0.641688;0.635816
391;0.636185;0.638063
392;0.63585;0.637258
393;0.63981;0.636278
394;0.640968;0.639939
395;0.634297;0.634496
