S0;Delta_MC;Delta_Antithetic;Delta_BS
50;0.00103888;0.0012713;0.000917433
52;0.00210097;0.00156332;0.00175222
54;0.00286513;0.00331281;0.00315779
56;0.00572214;0.00484961;0.00540018
58;0.00937918;0.00680957;0.00880696
60;0.0136567;0.0139869;0.0137577
62;0.0215042;0.0207363;0.0206663
64;0.0311025;0.0305254;0.0299563
66;0.0424453;0.0434594;0.042032
68;0.0548554;0.0584022;0.0572469
70;0.0786729;0.077376;0.0758754
72;0.0982257;0.0964629;0.0980885
74;0.122817;0.123606;0.123938
76;0.152339;0.155671;0.153347
78;0.187055;0.188609;0.186114
80;0.225784;0.227125;0.221922
82;0.257181;0.261676;0.260354
84;0.301963;0.300031;0.300916
86;0.34521;0.345573;0.343064
88;0.381235;0.387882;0.386227
90;0.434087;0.429493;0.429832
92;0.472021;0.476253;0.473327
94;0.519741;0.515177;0.516202
96;0.561854;0.558493;0.557996
98;0.60081;0.598469;0.598314
100;0.63291;0.637134;0.636831
102;0.672111;0.671803;0.673289
104;0.706156;0.705224;0.707503
106;0.739887;0.740644;0.739351
108;0.768025;0.767883;0.768771
110;0.797961;0.795906;0.795754
112;0.818026;0.819633;0.820335
114;0.839095;0.842746;0.842586
116;0.862119;0.862723;0.862605
118;0.878379;0.879479;0.880516
120;0.890075;0.897475;0.896455
122;0.909959;0.910575;0.910567
124;0.921523;0.922363;0.923002
126;0.933054;0.932501;0.93391
128;0.942657;0.944789;0.943437
130;0.951327;0.951769;0.951726
132;0.956709;0.958735;0.958909
134;0.962185;0.964891;0.965111
136;0.972321;0.970796;0.970448
138;0.974862;0.974692;0.975026
140;0.978133;0.978721;0.978941
142;0.983794;0.982277;0.98228
144;0.986451;0.984814;0.985118
146;0.987184;0.987188;0.987525
148;0.990221;0.988905;0.989562
150;0.989751;0.991313;0.991281
