Run;Gamma_MC;Gamma_Antithetic
0;0.0200972;0.0184091
1;0.01886;0.0210572
2;0.0193385;0.0182839
3;0.019517;0.0169956
4;0.0190422;0.0177944
5;0.0180641;0.0199716
6;0.0186456;0.0186795
7;0.0177445;0.0176054
8;0.0189258;0.0184902
9;0.0189861;0.0167242
10;0.0209397;0.0187096
11;0.0178929;0.0189069
12;0.0185077;0.0201957
13;0.019143;0.0176468
14;0.0176727;0.0194255
15;0.0186309;0.0182534
16;0.0172863;0.019698
17;0.0200554;0.0197969
18;0.0184185;0.0184826
19;0.0177202;0.018114
20;0.0189691;0.0195329
21;0.0169501;0.0185376
22;0.0176488;0.0179963
23;0.0185524;0.0180772
24;0.0176541;0.0190916
25;0.0170756;0.0198928
26;0.0175719;0.0182589
27;0.0192694;0.0180653
28;0.0178593;0.0180206
29;0.0183127;0.0184021
30;0.0192642;0.0196728
31;0.019009;0.0191957
32;0.0193783;0.0175309
33;0.0199701;0.0175266
34;0.0195045;0.0184978
35;0.0171174;0.0179223
36;0.0190801;0.0184128
37;0.0189942;0.0198973
38;0.0176485;0.0204803
39;0.0184233;0.0192387
40;0.018088;0.0190182
41;0.0179957;0.0199427
42;0.0190452;0.0190751
43;0.0183943;0.0186718
44;0.0197421;0.0178138
45;0.017676;0.0194148
46;0.017694;0.0202051
47;0.0194383;0.0188321
48;0.0197234;0.018738
49;0.0182123;0.0191984
50;0.0210872;0.0181882
51;0.0203147;0.0179111
52;0.0177118;0.019286
53;0.0179449;0.0191207
54;0.0172567;0.0188545
55;0.0189952;0.0185982
56;0.0193104;0.018598
57;0.0187629;0.0182115
58;0.0185669;0.0174965
59;0.0200526;0.0194159
60;0.0213949;0.0202877
61;0.0183411;0.0200065
62;0.0182322;0.0203632
63;0.019934;0.0203371
64;0.0187614;0.0188468
65;0.0184518;0.0195926
66;0.019532;0.0180573
67;0.0185093;0.0186963
68;0.0196703;0.0190025
69;0.0206962;0.0191145
70;0.0182041;0.0173509
71;0.0186741;0.0180737
72;0.0186016;0.0198609
73;0.0185418;0.0179653
74;0.0182764;0.0173265
75;0.0175075;0.0187142
76;0.0195004;0.0196682
77;0.01807;0.0177673
78;0.0188995;0.0192843
79;0.0183785;0.0186703
80;0.0184373;0.0193295
81;0.0201832;0.0165732
82;0.0180575;0.0178211
83;0.018414;0.0201874
84;0.0182727;0.0172564
85;0.0186667;0.0181822
86;0.0183277;0.0195062
87;0.0188465;0.0200825
88;0.0188217;0.0179777
89;0.0183654;0.0178721
90;0.0176415;0.0204365
91;0.0180622;0.0183648
92;0.0197155;0.0188968
93;0.0187785;0.0185346
94;0.0191096;0.0201293
95;0.0191864;0.0192634
96;0.018949;0.0204502
97;0.0182243;0.0168744
98;0.0185955;0.0181543
99;0.01862;0.0186247
100;0.0186571;0.0191655
101;0.0181202;0.0184579
102;0.0184636;0.0185191
103;0.0195164;0.0208055
104;0.020505;0.0186823
105;0.0177701;0.0195618
106;0.0182996;0.0189285
107;0.018762;0.0193331
108;0.0178165;0.0195551
109;0.0189766;0.0191327
110;0.0204568;0.0183921
111;0.019436;0.0200972
112;0.01783;0.0187801
113;0.0196956;0.0187545
114;0.0205436;0.0186277
115;0.0193809;0.0179833
