Run;Gamma_MC;Gamma_Antithetic
0;0.0177202;0.0187245
1;0.0182856;0.0185538
2;0.0181869;0.0203731
3;0.0184964;0.0199045
4;0.0181607;0.0188569
5;0.0180257;0.0187683
6;0.01773;0.0179336
7;0.0190474;0.0192269
8;0.0187862;0.0201479
9;0.0180086;0.0185693
10;0.0179057;0.019462
11;0.0187386;0.0176896
12;0.0176613;0.0184274
13;0.0183251;0.0186472
14;0.0188551;0.0174215
15;0.0184824;0.0193484
16;0.0190034;0.0185377
17;0.0186849;0.0179947
18;0.0182851;0.0189093
19;0.0177763;0.0196932
20;0.0176873;0.0179151
21;0.0185867;0.0184571
22;0.0179638;0.0185559
23;0.0195852;0.0186201
24;0.0180063;0.0187992
25;0.0185114;0.0188747
26;0.0190537;0.0187835
27;0.0182784;0.0178597
28;0.019051;0.0190571
29;0.01953;0.0179922
30;0.0193452;0.0173844
31;0.0188915;0.0172798
32;0.0187384;0.0182324
33;0.018834;0.0184185
34;0.0183913;0.0175526
35;0.0196639;0.0184587
36;0.0176267;0.0191929
37;0.0181979;0.0187289
38;0.0194301;0.0197978
39;0.0182249;0.0181468
40;0.0193333;0.0192078
41;0.0187958;0.01893
42;0.0186506;0.0179208
43;0.0172904;0.0182061
44;0.0192664;0.0184379
45;0.0179815;0.0192824
46;0.0185746;0.0196239
47;0.0182421;0.018516
48;0.0191247;0.0186695
49;0.0192737;0.018595
50;0.0183543;0.0170788
51;0.019202;0.0195094
52;0.0199974;0.0181102
53;0.0193704;0.0197486
54;0.0191968;0.0179924
55;0.0180874;0.0192392
56;0.0196355;0.0185399
57;0.020053;0.0187999
58;0.0192683;0.019386
59;0.0193582;0.0178891
60;0.0186216;0.0179144
61;0.0190977;0.0188187
62;0.0191254;0.0182553
63;0.0186604;0.0174484
64;0.019436;0.0197401
65;0.0190047;0.0181072
66;0.0177441;0.0198049
67;0.0182699;0.0186036
68;0.018088;0.0174429
69;0.0175604;0.0192766
70;0.0189513;0.0199515
71;0.0186008;0.0180674
72;0.020555;0.0183473
73;0.0199241;0.0175395
74;0.019788;0.0178794
75;0.0178228;0.0190906
76;0.0190507;0.0180176
77;0.0181499;0.0183435
78;0.0188781;0.018205
79;0.0194501;0.0192863
80;0.0191305;0.0182691
81;0.0197997;0.0189641
82;0.0180458;0.0201692
83;0.0187575;0.0185961
84;0.0193465;0.0202485
85;0.0183067;0.0212917
86;0.0183008;0.0191063
87;0.0193679;0.0187116
88;0.0194168;0.0194929
89;0.0184156;0.0190635
90;0.0197878;0.0194607
91;0.0192729;0.0185101
92;0.0186359;0.0190419
93;0.0185178;0.0189633
94;0.0190156;0.0190984
95;0.018327;0.0193973
96;0.0185309;0.0193729
97;0.018627;0.0190753
98;0.0201877;0.019082
99;0.0188857;0.0190403
100;0.0182893;0.0191715
101;0.0203792;0.0169737
102;0.0198751;0.0183356
103;0.0195942;0.0179147
104;0.0193229;0.0190436
105;0.0195283;0.0181819
106;0.0186809;0.0186559
107;0.0177427;0.0183844
108;0.0190703;0.0193306
109;0.0179525;0.0178575
110;0.0189752;0.0195826
111;0.0196316;0.0186895
112;0.0196031;0.0186001
113;0.0192161;0.018023
114;0.0186186;0.0176898
115;0.0182695;0.0180795
116;0.0193447;0.0192385
117;0.0196718;0.0191846
118;0.0205395;0.018728
119;0.018016;0.0200414
120;0.018021;0.0185198
121;0.0187615;0.0195116
122;0.0190032;0.0179005
123;0.0180411;0.018375
