S0;Gamma_MC;Gamma_Antithetic;Gamma_BS
50;0.000101434;0.000473716;0.00031109
52;0.000564871;0.000725593;0.000540578
54;0.000900996;0.000801854;0.000887168
56;0.00162124;0.00129552;0.0013826
58;0.00224732;0.00239674;0.00205595
60;0.00298404;0.00285136;0.00292946
62;0.00370773;0.00419;0.00401467
64;0.0060655;0.00553842;0.00530936
66;0.00708305;0.00714578;0.00679603
68;0.00855723;0.00915369;0.00844194
70;0.0114075;0.00977159;0.0102009
72;0.0119949;0.0120691;0.0120165
74;0.0135055;0.0138903;0.0138263
76;0.0146885;0.0157612;0.015566
78;0.017009;0.017391;0.0171747
80;0.019101;0.0184784;0.0185982
82;0.0199406;0.0192225;0.0197922
84;0.0214373;0.0198991;0.0207245
86;0.0213968;0.022336;0.0213757
88;0.0216958;0.0215977;0.021739
90;0.0213002;0.0216815;0.0218197
92;0.0216581;0.0205537;0.0216332
94;0.0216327;0.0212355;0.0212028
96;0.019845;0.0202461;0.0205583
98;0.0195654;0.0198456;0.019733
100;0.0180208;0.0188735;0.018762
102;0.0175841;0.0171855;0.0176807
104;0.0165628;0.0167913;0.0165229
106;0.0149809;0.0153531;0.0153199
108;0.0143207;0.0145022;0.0140997
110;0.0128907;0.0129223;0.0128865
112;0.0110924;0.0113736;0.0117006
114;0.0106493;0.0103977;0.0105582
116;0.00974665;0.00971686;0.00947184
118;0.00863244;0.0078711;0.00845055
120;0.00737558;0.00727064;0.00750025
122;0.00661593;0.00665841;0.00662416
124;0.00588073;0.00582895;0.0058233
126;0.00515987;0.00518097;0.00509683
128;0.00444671;0.00467204;0.00444251
130;0.00374648;0.00396896;0.00385702
132;0.00340212;0.00282287;0.00333628
134;0.00278055;0.00298149;0.00287571
136;0.00225292;0.00244788;0.00247049
138;0.0021988;0.00212304;0.00211569
140;0.00171843;0.00163565;0.00180645
142;0.00159031;0.00152033;0.00153806
144;0.00136114;0.00110097;0.00130605
146;0.00108861;0.00098776;0.00110623
148;0.000958622;0.00089974;0.000934734
150;0.000851207;0.000724478;0.00078803
