Run;Vega_MC;Vega_Antithetic
0;0;-0.160041
1;-0.00321422;-0.001995
2;-0.00539595;-0.0147946
3;-0.0132262;0
4;-0.00588838;-0.00797722
5;0.17316;0
6;0;0
7;0.000114052;0
8;-0.299869;-0.000609105
9;0;-0.000774068
10;0.0002923;-0.00173215
11;0.000641899;-0.00583782
12;-0.0109484;-0.0125262
13;-0.000589384;-0.00164297
14;0.000153989;-0.0029802
15;0;-0.0033018
16;0.0136641;-0.12229
17;0.00206822;-0.0161051
18;0.270326;-0.00092546
19;0.00358597;-1.80173e-05
20;0;-0.0025552
21;-0.0238961;-0.0111435
22;-0.00294446;-0.000226475
23;-0.00381302;-0.043371
24;-4.1419e-05;-0.0263833
25;0;-0.0838124
26;-0.00204637;-0.000604481
27;-0.0327954;-0.0126804
28;0.00646777;-0.0365545
29;0.00349773;0
30;-0.000269425;-0.168571
31;0.0290411;-0.00606353
32;-0.0131129;-0.0282154
33;0.00191676;-0.00197832
34;-0.0456861;-0.00496143
35;-0.0213117;-0.00995312
36;-0.00178259;-0.00733022
37;-3.06356;-0.0184489
38;-0.146665;-0.00401985
39;0.00642963;-0.0106469
40;-0.00777169;-0.43833
41;4.03248e-05;0
42;-0.00709432;-0.0109013
43;0.000758009;-0.0102721
44;-0.0646658;-0.000301171
45;0;-0.000230009
46;-0.000674443;-0.00195897
47;-0.00855193;-0.00279082
48;-0.00189192;-0.0830212
49;-0.00120862;-0.0662337
50;-0.00172115;-0.0027798
51;0.00127577;-0.292165
52;0.00134293;-1.17377e-05
53;-0.0199766;-0.0588397
54;-0.000712373;0
55;0.00317165;-0.0123749
56;-0.0187958;-0.0440909
57;-0.087394;-0.0045754
58;-0.0036409;-0.00390127
59;0;-0.000620012
60;0.0137042;-0.00437228
61;-0.0138848;-0.0256284
62;0;-0.00888247
63;-0.00778892;-0.223239
64;-0.00256535;-0.00247118
65;-0.000701237;-0.0038925
66;13.4819;-0.0126537
67;0;-0.0168135
68;-0.0244342;-3.86416e-05
69;-0.000891181;-0.00532346
70;-1.3739;-0.0131113
71;0.980802;-0.000716658
72;-0.014643;-0.00567526
73;0.058163;0
74;-0.000383922;-0.0036129
75;-0.0019595;-0.00506098
76;-0.0030895;-0.00212072
77;0.989977;-0.00956969
78;-0.00305886;-0.429319
79;0.0134669;0
80;-0.0805793;0
81;-0.0131378;-0.00262658
82;0.0025109;-0.0024887
83;0.131498;-0.0341992
84;-0.0578598;-0.187907
85;-0.000450073;-0.00529819
86;0.0218661;-0.00625786
87;-0.00281978;-0.0110386
88;-0.0574754;-0.00333332
89;0;-0.00360292
90;0.00327257;0
91;-0.00814648;-0.00757634
92;-0.0010258;-6.782e-05
93;-0.00560589;-0.0158232
94;0.000118912;0
95;-0.0367542;-0.00501975
96;-0.00492317;-0.00848602
97;-0.00393071;-0.0043248
98;0;-0.000263187
99;-0.00037039;0
100;0.014469;-0.00589811
101;-0.0608301;-0.0250454
102;-0.104181;0
103;-0.00114264;0
104;-0.00114581;-5.17876e-05
105;0.00646746;-0.0214793
106;0.00324622;-0.0316163
107;0.00461386;-0.165747
108;-0.00222966;-0.00392306
109;0.0652698;-0.00264936
110;-0.0760337;-0.0243041
111;0.0263924;-0.0207242
112;0.000190449;-0.00740593
113;-0.000189015;-0.00351229
114;0.00106955;-0.00389869
115;0.113904;0
116;0.0124018;-0.000153071
117;-0.000208265;-0.0502362
118;-0.0545325;-0.00138604
119;0.00436222;-0.000119573
120;-0.00154073;-0.000203097
121;-0.00205764;-0.00561272
122;-0.000216399;-0.000492235
123;0.000719377;-0.972049
124;-0.0038436;0
125;0.00371543;-0.00160985
126;-0.000148999;-0.000587614
127;-0.0012047;-0.00124344
128;-0.00997471;0
129;0.000860437;-0.0063508
130;0;-0.00764804
131;-0.0106997;-0.0088551
132;-0.0433891;-0.0324109
133;0.0698916;0
134;-0.00108746;-0.000549531
135;-0.0016845;-0.0116682
136;-60.8065;-0.000519539
137;-0.00874424;-0.0112727
138;-0.0995858;-0.00355191
139;-0.00169247;-0.000316538
140;-0.0416814;-0.000969903
141;-0.039823;-0.000526795
142;-0.00050177;-0.0124683
143;-0.00135043;-0.00311407
144;-0.1185;-0.00326272
145;0.000295792;-0.00178292
146;-0.00162368;-0.00281475
147;0.0425917;-0.63442
148;0.000507469;-0.0616038
149;-0.0870191;-3.65096e-05
150;0.000355695;-0.000311117
151;-0.0134792;0
152;-0.0607248;-0.803347
