Run;Vega_MC;Vega_Antithetic
0;0.00296384;-0.00903697
1;-3.33402;-0.0260663
2;-0.000627952;-0.00496059
3;-0.00159572;-0.284134
4;-0.0289535;-0.012142
5;-0.000279843;-0.00979283
6;1.5939e-05;-0.013013
7;0.00164615;0
8;-0.0136561;-0.000871827
9;-0.0385434;-0.00989467
10;0.673516;-0.0102368
11;0.107214;-0.00134063
12;0.775455;0
13;-0.00581474;-0.000273003
14;0.169254;-0.0213725
15;-0.454314;-0.00956314
16;-0.000648877;-0.00657176
17;-0.0480682;-0.000566199
18;-0.172862;-0.0570346
19;-0.0408941;0
20;0.356154;-0.0286674
21;-0.117298;-0.465274
22;-0.00652084;-0.00558714
23;0.447944;-0.000110921
24;-0.000251559;-0.000320429
25;-0.0185788;-0.0851104
26;-0.0121354;-8.13507e-05
27;4.46252;-0.000194904
28;-0.0311451;-0.317463
29;0.000181727;-0.00107905
30;-1.15684;-0.00356212
31;-0.00316998;-0.000825802
32;-0.00154674;-0.00118732
33;-0.160573;-0.00205511
34;-0.000289943;-0.0467561
35;-0.000189277;-0.0352568
36;0.00339879;0
37;-7.30322e-05;-0.00170276
38;0.00426867;-0.000348135
39;-0.123113;-0.29806
40;0.0134443;-0.0138359
41;-0.00542924;-0.0039319
42;-0.000206796;-0.00582019
43;-0.00295743;-6.3932e-06
44;-0.627715;-0.0318766
45;-0.0285381;-0.0169194
46;-0.0276404;-0.00252608
47;0.000398358;0
48;-0.000426405;-0.00023111
49;-0.00163861;-0.00139245
50;0.00460215;-0.00143341
51;0;-0.005836
52;-0.0108488;-0.00737679
53;-9.61394e-05;-0.0121367
54;-0.00868124;-0.0261724
55;0.0424223;-0.134965
56;-7.51985;-0.0404739
57;0.000470878;-0.00949368
58;0.0203865;-0.00255836
59;-0.000319475;-0.00245568
60;0.0203879;-0.584674
61;0.0256713;-0.000523792
62;0.00105418;-0.00210435
63;-0.0463393;-0.00441463
64;-0.589125;-0.00977029
65;-0.238585;-0.0390324
66;-12.3616;-0.00255298
67;-0.00943698;-0.00289351
68;-0.155767;-0.0151128
69;-0.00063041;-0.000199839
70;0.00365754;-0.00127302
71;-2.99606;-0.00172018
72;0.0942298;-0.00753885
73;-0.00549908;-0.0035708
74;-0.00606732;-0.000784095
75;-0.0109804;-0.632401
76;-0.0234216;0
77;0.298455;-0.0185921
78;-0.0915359;-0.0144428
79;-0.103313;-0.0187787
80;0.14587;-0.0148564
81;0.000511329;-0.0658996
82;-0.00322378;-0.0157932
83;0.00312106;-0.000741813
84;-0.00397571;-0.000124541
85;-0.0150466;-0.000716097
86;-0.449655;-0.00193298
87;0.235485;-0.0120212
88;-0.00415743;-0.0136303
89;-0.0278932;-0.00504533
90;-0.00263419;-0.000825891
91;-0.0558981;-0.00171185
92;-0.00562717;-0.0192457
93;0.116626;-0.000152707
94;-0.030254;-0.041771
95;-0.549489;-0.00130668
96;0.00196333;-1.15197
97;-0.0290409;-0.00261209
98;0.00440092;-0.0101126
99;-0.000175553;-0.00204658
100;-0.0850161;-0.027568
101;0.0240301;-0.0179719
102;-0.273339;-0.0184585
103;-0.00254111;-0.0147874
104;-0.00445359;-0.0038921
105;0.0282756;-0.00558716
106;-0.105857;-0.00168288
107;0.000810113;-0.00497406
108;-0.0233238;-0.00379303
109;0.0151131;-0.00894245
110;2.16741e-05;-0.00253099
111;-0.0150788;-0.00205517
112;-0.0999945;-0.0103678
113;-0.0167351;-0.0158951
114;-0.00129684;-0.157619
115;0.0202665;-10.1032
116;0.00580992;-0.00165637
117;-0.154038;-0.0582792
118;0.00363973;-0.00063138
119;0.0113239;-0.000412151
120;-0.0293886;-0.00175576
121;-0.000254721;-0.000701435
122;-0.000171109;-0.0078717
123;-0.00568;-0.00298334
124;-0.00202869;-0.00761608
125;-0.0974485;-0.0368836
126;-0.00108405;-0.000444862
127;-0.00783253;-0.0163693
128;-0.0577039;-0.000492362
129;-0.0359542;-0.00115893
130;-0.0055597;-0.100408
131;0.165833;-0.0112836
132;-0.0759872;-0.00290962
133;-0.00588555;-0.00217093
134;-0.00122394;-0.00495147
135;-0.0153812;-0.0119859
136;0;-0.000877648
137;0.0203226;-0.000690932
138;0.169296;0
139;3.44371;-0.00251044
140;-0.029596;-0.00743967
141;-0.00404672;0
142;-0.00234515;-0.00335248
143;-0.163226;-0.0289365
144;0.0778928;0
145;0.000390067;-0.00125673
146;0.00178486;0
147;0.00144334;-0.00106509
148;0.0171665;-0.000230522
149;-0.00185873;0
150;-0.566426;-0.0012979
151;-0.0146275;-2.28164e-05
152;0;-33.3016
153;0.00274236;0
154;0.394017;-0.00427168
155;-0.362952;-0.00110793
156;-0.00781304;-0.000916872
157;-0.00255812;-0.00852994
158;-0.0381481;-0.0037714
159;-0.0101635;-0.000499912
160;-0.045025;-0.00485161
161;-0.0083416;-0.0020329
162;-0.370013;-0.00342192
163;-0.0109408;-0.00459131
164;-0.0746303;-0.0158329
165;-0.0082066;-3.39523
166;-1.13483;-0.0120886
167;-0.0132848;-0.000543493
168;-0.0101702;-0.00105455
169;0.000287343;-0.0115567
170;0.0477284;-0.000729091
171;0.320652;-0.0399599
172;0.322168;-1.98837
173;-0.000136089;-0.00163787
174;-0.0525039;-0.00878829
175;0.00110687;-0.0977652
176;-0.0114502;0
177;0.0107693;-0.00349872
178;-0.00478891;-0.00297054
179;-0.00969185;-0.00209174
180;-0.0138282;-0.0107554
181;-0.0743992;-0.0289321
182;-0.0073067;-0.00174781
183;-0.00100844;-0.00246155
184;-0.0111816;-0.055157
185;0.000462024;-0.00177174
186;-0.00167576;-0.000663801
187;-0.00572796;-0.00646055
188;0.0273262;-0.00475176
189;-0.119355;-0.0130994
190;-0.00494121;-0.0019384
191;0.0155227;-0.000245929
192;-0.00155717;-0.00124097
193;-0.000362868;-27.2208
194;0.000495086;-0.00357923
195;-0.00174799;-0.00169323
196;1.11386;-0.00240817
197;-0.211847;-0.00103457
198;-0.0116106;-0.00238899
199;-0.0117424;-0.00019395
200;-0.182291;0
201;-0.0718758;0
202;0.0166315;-0.00235868
203;-0.00499039;-0.0434025
204;0.0160253;-0.00290983
205;-0.0174526;-0.000774549
206;-0.00610249;0
207;0.00188426;-0.0360788
208;-0.0014679;-0.036427
209;-0.0174306;0
210;-0.00990496;-0.00268861
211;0.00615786;0
212;-1.18475e-05;-0.00506031
213;-0.238884;-0.00367106
214;1.19785;-0.00233009
215;0.00282761;0
216;-0.193993;-0.00041596
217;-0.00951255;-0.0247978
218;-0.0140593;-0.00608455
219;0.000416697;-0.00255048
220;0.0343883;0
221;-0.000958698;-0.563015
222;0.000403953;-0.0122194
223;-0.000500981;-0.00103671
224;0.00207606;-0.0115266
225;0.0515944;-0.00113557
226;-0.00296172;-0.00836854
227;-0.00599145;-0.0526163
228;0.0304469;-0.0239997
229;-0.00879042;-0.0147673
230;-0.00496838;-0.000347953
231;0.00158902;-0.066526
232;0.000789471;-0.0058849
233;0.0165829;-0.000997245
234;0.0261906;-0.00506624
235;-0.000353502;-0.0179936
236;-0.00960409;-0.0205656
237;0.0140201;-0.0530807
238;-0.00322761;-0.0336884
239;-0.0433867;-0.0420043
240;-1.31418;-0.00731115
241;0.00479146;-0.0120301
242;-0.0167677;-0.19553
243;-0.0121183;-0.00284487
244;-0.00352304;-0.0030127
245;-0.0203508;-0.0212373
246;-0.0259642;-0.264994
247;0.0254246;-0.0128763
248;-0.0117248;-0.00678886
249;-0.0101963;-0.00998626
250;-0.152314;-0.00726997
251;-0.0114563;-0.0180763
252;0.00599172;-0.0058973
253;0.0337567;-0.00381187
254;0;-0.00198928
255;-0.016183;-0.00130588
256;-0.0645233;0
257;-0.845136;0
258;-0.00206479;-0.0741972
259;0.0341933;-0.00267692
260;-0.0219389;-0.0129766
261;-0.0001501;-0.00771299
262;-0.0397835;-0.283128
263;-0.00139904;-0.000531844
264;-0.00373342;0
