S0;Vega_MC;Vega_Antithetic;Vega_BS
50;-0.301052;-0.643031;0.155545
52;5.34842;-0.786401;0.292345
54;0.458696;-0.401243;0.517397
56;-2.24937;-0.934403;0.867168
58;-2.28092;-0.754528;1.38324
60;-1.20739;-0.996265;2.10921
62;-0.919929;-0.719226;3.08648
64;-0.357307;-0.648936;4.34943
66;0.396141;-1.094;5.9207
68;0.465087;-0.549856;7.8071
70;13.275;-1.99277;9.9969
72;-0.013744;-0.92621;12.4587
74;-0.298263;-0.931507;15.1425
76;-0.11871;-0.701771;17.9819
78;653.634;-2.77395;20.8982
80;-0.436044;-2.75216;23.8057
82;-0.657346;-0.120936;26.6166
84;-0.240117;-0.431876;29.2464
86;-0.144396;-0.986271;31.6189
88;0.349226;-0.216203;33.6694
90;0.173047;-0.130074;35.348
92;-0.936303;-0.0301367;36.6206
94;-0.00534509;-0.0140716;37.4696
96;-0.209487;-0.0154809;37.893
98;-0.231206;-0.00161609;37.9031
100;-1.06053;-0.00329436;37.524
102;-0.0142747;-0.00309105;36.7901
104;0.0280158;-0.0282758;35.7424
106;-0.000656687;-0.000342287;34.4269
108;-0.00524499;-0.000252487;32.8918
110;-0.000416076;-0.000145773;31.1854
112;0.00108081;-0.00209852;29.3544
114;0;0;27.4428
116;0;0;25.4906
118;0;0;23.5331
120;0;0;21.6007
122;0;-0.00167493;19.7188
124;0;0;17.9078
126;0;-0.000471326;16.1835
128;0;0;14.5572
130;0;0;13.0367
132;0;0;11.6263
134;0;0;10.3272
136;0;0;9.13883
138;0;0;8.05825
140;0;0;7.0813
142;0;0;6.20271
144;0;0;5.41646
146;0;0;4.71608
148;0;0;4.09488
150;0;0;3.54614
